[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:08] ,hero_spawn,0,2팀,Viol2t,주노,0,0
[00:00:10] ,hero_spawn,0,2팀,Mealgaru,레킹볼,0,0
[00:00:10] ,hero_spawn,0,2팀,Proper,브리기테,0,0
[00:00:10] ,hero_spawn,0,1팀,SP1NT,시메트라,0,0
[00:00:11] ,hero_spawn,0,1팀,Fielder,아나,0,0
[00:00:18] ,hero_swap,0,1팀,Fielder,키리코,아나,0
[00:00:23] ,hero_spawn,0,2팀,shu,미즈키,0,0
[00:00:26] ,hero_spawn,0,1팀,MER1T,캐서디,0,0
[00:00:41] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:43] ,hero_swap,0,2팀,Proper,캐서디,브리기테,0
[00:00:53] ,hero_spawn,0,2팀,knife,엠레,0,0
[00:00:54] ,hero_swap,0,2팀,knife,시메트라,엠레,0
[00:00:55] ,hero_swap,0,1팀,ChiYo,주노,루시우,0
[00:00:59] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:01:07] ,hero_swap,0,1팀,ChiYo,루시우,주노,0
[00:01:10] ,hero_swap,0,2팀,Mealgaru,시그마,레킹볼,0
[00:01:14] ,hero_swap,0,2팀,Viol2t,모이라,일리아리,0
[00:01:18] ,hero_swap,0,2팀,Viol2t,주노,모이라,0
[00:01:22] ,hero_swap,0,1팀,MER1T,소전,캐서디,0
[00:01:50] ,hero_swap,0,1팀,HanBin,시그마,D.Va,0
[00:01:50] ,hero_swap,0,1팀,ChiYo,미즈키,루시우,0
[00:01:54] ,hero_swap,0,1팀,MER1T,캐서디,소전,0
[00:02:08] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:09] ,hero_swap,0,1팀,HanBin,D.Va,시그마,0
[00:02:10] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:15] ,hero_swap,0,2팀,Viol2t,브리기테,주노,0
[00:02:16] ,hero_swap,0,2팀,Viol2t,주노,브리기테,0
[00:02:17] ,hero_swap,0,1팀,ChiYo,주노,미즈키,0
[00:02:19] ,hero_swap,0,1팀,Fielder,아나,키리코,0
[00:02:20] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:20] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:25] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:26] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:33] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:33] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:42] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:42] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:48] ,hero_swap,0,2팀,Viol2t,우양,주노,0
[00:02:49] ,hero_swap,0,2팀,Viol2t,주노,우양,0
[00:02:52] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:53] ,hero_swap,0,1팀,Fielder,일리아리,아나,0
[00:02:53] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:56] ,hero_swap,0,2팀,Viol2t,일리아리,주노,0
[00:02:57] ,hero_swap,0,2팀,Viol2t,주노,일리아리,0
[00:02:57] ,hero_swap,0,1팀,MER1T,소전,캐서디,0
[00:03:03] ,setup_complete,0,1,29.99
[00:03:06] ,hero_swap,2.96,1팀,SP1NT,트레이서,시메트라,2.96
[00:03:07] ,hero_swap,3.73,2팀,Viol2t,키리코,주노,3.73
[00:03:43] ,point_progress,40.19,1,2팀,0,33.35
[00:03:46] ,****,42.61,2팀,knife,시메트라,1팀,MER1T,소전,Secondary Fire,52.34,0,0
[00:03:46] ,defensive_assist,42.83,2팀,shu,미즈키,0
[00:03:46] ,defensive_assist,42.94,2팀,Viol2t,키리코,0
[00:03:48] ,point_progress,44.85,1,2팀,0,66.61
[00:03:50] ,point_progress,46.62,1,2팀,0,99.91
[00:03:50] ,objective_captured,46.64,1,2팀,0,0,0.02,0
[00:04:19] ,****,76.16,2팀,Mealgaru,시그마,1팀,SP1NT,트레이서,Primary Fire,35,0,0
[00:04:19] ,defensive_assist,76.21,2팀,shu,미즈키,0
[00:04:19] ,defensive_assist,76.22,2팀,Viol2t,키리코,0
[00:04:23] ,ultimate_charged,80.33,2팀,Proper,캐서디,0,1
[00:04:35] ,ultimate_charged,91.72,2팀,Viol2t,키리코,0,1
[00:04:42] ,****,99.40,2팀,Viol2t,키리코,1팀,HanBin,D.Va,0,115,True,0
[00:04:53] ,****,109.80,2팀,Proper,캐서디,1팀,Fielder,일리아리,Primary Fire,54.82,True,0
[00:04:59] ,ultimate_charged,115.95,1팀,SP1NT,트레이서,0,1
[00:05:00] ,objective_updated,116.63,2,0,4
[00:05:00] ,objective_captured,116.63,2,All Teams,4,0,0,40
[00:05:00] ,player_stat,116.65,2,2팀,Proper,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Proper,캐서디,3,1,0,2381.49,0,2381.49,0,632.30,0,689.18,0,0,0,1,0,0,0,0,0,0,0,8,0.21,0,0,0,93,38,41,0,0,0.48,116.65
[00:05:00] ,player_stat,116.65,2,2팀,knife,엠레,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,knife,시메트라,1,1,0,1470.45,0,1470.43,0,1079.51,0,1119.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,43,0,0,0.23,116.65
[00:05:00] ,player_stat,116.65,2,2팀,Mealgaru,레킹볼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Mealgaru,시그마,2,1,0,1300.09,0,1246.95,0,1807.62,0,1969.31,2636.58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,58,18,26,0,0,0.41,116.65
[00:05:00] ,player_stat,116.65,2,1팀,HanBin,D.Va,0,0,1,1565.66,539.52,894.72,0,2805.29,0,3747.23,4032.31,0,0,0,0,0,0,0,0,0,0,42,0.10,0,0,0,2000,417,1306,0,0,0.24,116.65
[00:05:00] ,player_stat,116.65,2,1팀,HanBin,시그마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,1팀,Fielder,아나,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,1팀,Fielder,키리코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,1팀,Fielder,일리아리,0,0,1,1713.46,266.71,1219.50,1301.74,739.74,523.74,1296.78,0,0,0,0,0,0,0,0,0,0,0,3,0.13,0,0,0,48,23,20,0,0,0.53,116.65
[00:05:00] ,player_stat,116.65,2,2팀,shu,미즈키,1,0,0,728.00,0,728.00,1674.71,732.17,0,810.86,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,12,54,0,0,0.18,116.65
[00:05:00] ,player_stat,116.65,2,1팀,SP1NT,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96
[00:05:00] ,player_stat,116.65,2,1팀,SP1NT,트레이서,0,0,1,1286.02,164.97,937.30,0,619.24,114.40,960.43,0,0,0,1,0,0,0,0,0,0,0,15,0.07,0,0,0,706,215,418,0,0,0.34,113.69
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,주노,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,3.73
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,일리아리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,모이라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,우양,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,2팀,Viol2t,키리코,2,1,0,1312,0,1312,2786.11,426.62,0,443.62,0,2,0,1,0,0,0,1,0,0,0,4,0.21,0,0,0,95,19,57,0,0,0.25,112.92
[00:05:00] ,player_stat,116.65,2,1팀,MER1T,캐서디,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,1팀,MER1T,소전,0,0,1,3310.86,1241.86,1782,0,543.47,0,771.85,0,0,0,0,0,0,0,0,0,0,0,32,0.20,0,0,0,809,161,508,0,0,0.24,116.65
[00:05:00] ,player_stat,116.65,2,1팀,ChiYo,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:00] ,player_stat,116.65,2,1팀,ChiYo,주노,0,0,0,648.40,423.53,182.63,0,232.66,0,362.58,0,0,0,0,0,0,0,0,0,0,0,27,0.05,0,0,0,1162,561,546,0,0,0.51,116.65
[00:05:00] ,player_stat,116.65,2,1팀,ChiYo,미즈키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:05:08] ,ultimate_charged,124.92,1팀,ChiYo,주노,0,1
[00:05:12] ,ultimate_charged,129.07,1팀,MER1T,소전,0,1
[00:05:22] ,ultimate_charged,139.21,1팀,Fielder,일리아리,0,1
[00:05:25] ,ultimate_charged,142.03,2팀,knife,시메트라,0,1
[00:05:29] ,ultimate_charged,145.66,2팀,shu,미즈키,0,1
[00:05:31] ,ultimate_start,148.43,1팀,Fielder,일리아리,0,1
[00:05:33] ,ultimate_start,150.29,2팀,shu,미즈키,0,1
[00:05:33] ,ultimate_start,150.35,2팀,knife,시메트라,0,1
[00:05:38] ,ultimate_charged,155.01,2팀,Mealgaru,시그마,0,1
[00:05:39] ,ultimate_start,156.13,1팀,SP1NT,트레이서,0,1
[00:05:39] ,ultimate_end,156.32,1팀,SP1NT,트레이서,0,1
[00:05:40] ,ultimate_end,156.63,1팀,Fielder,일리아리,0,1
[00:05:40] ,ultimate_end,156.81,2팀,shu,미즈키,0,1
[00:05:45] ,point_progress,162.34,2,2팀,4,33.30
[00:05:46] ,ultimate_end,162.60,2팀,knife,시메트라,0,1
[00:05:47] ,point_progress,163.75,2,2팀,4,66.70
[00:05:48] ,ultimate_charged,164.49,1팀,HanBin,D.Va,0,1
[00:05:48] ,point_progress,165.08,2,2팀,4,99.90
[00:05:48] ,objective_captured,165.10,2,2팀,4,0,0.02,0
[00:05:50] ,ultimate_start,167.05,1팀,MER1T,소전,0,1
[00:05:51] ,ultimate_start,168.15,2팀,Viol2t,키리코,0,1
[00:05:53] ,ultimate_start,170.46,1팀,ChiYo,주노,0,1
[00:05:54] ,ultimate_start,170.75,2팀,Proper,캐서디,0,1
[00:05:55] ,ultimate_start,171.53,2팀,Mealgaru,시그마,0,1
[00:05:55] ,****,171.53,2팀,Mealgaru,시그마,1팀,MER1T,소전,Primary Fire,29.17,0,0
[00:05:55] ,ultimate_end,171.53,1팀,MER1T,소전,0,1
[00:05:55] ,defensive_assist,171.60,2팀,shu,미즈키,0
[00:05:55] ,offensive_assist,171.66,2팀,Viol2t,키리코,0
[00:05:55] ,defensive_assist,171.66,2팀,Viol2t,키리코,0
[00:05:55] ,ultimate_start,171.93,1팀,HanBin,D.Va,0,1
[00:05:56] ,****,173.08,1팀,Fielder,일리아리,2팀,shu,미즈키,Primary Fire,12.16,0,0
[00:05:56] ,****,173.16,1팀,HanBin,D.Va,2팀,Mealgaru,시그마,Ultimate,446.32,0,0
[00:05:56] ,ultimate_end,173.16,2팀,Mealgaru,시그마,0,1
[00:05:56] ,remech_charged,173.16,1팀,HanBin,D.Va,0,2
[00:05:56] ,offensive_assist,173.47,1팀,Fielder,일리아리,0
[00:05:57] ,ultimate_end,173.50,1팀,HanBin,D.Va,0,2
[00:05:57] ,ultimate_end,173.60,2팀,Proper,캐서디,0,1
[00:05:59] ,point_progress,175.50,2,2팀,4,33.57
[00:05:59] ,dva_remech,175.64,1팀,HanBin,D.Va,2
[00:06:00] ,point_progress,176.83,2,2팀,4,66.78
[00:06:01] ,objective_captured,178.37,2,1팀,4,0,18.97,0
[00:06:02] ,ultimate_end,178.99,1팀,ChiYo,주노,0,1
[00:06:02] ,ultimate_end,179.09,2팀,Viol2t,키리코,0,1
[00:06:09] ,hero_swap,185.84,1팀,MER1T,엠레,소전,69.19
[00:06:47] ,point_progress,223.52,2,2팀,4,33.35
[00:06:48] ,****,224.77,1팀,SP1NT,트레이서,2팀,Proper,캐서디,Primary Fire,3.60,0,0
[00:06:48] ,point_progress,224.91,2,2팀,4,67.25
[00:06:52] ,objective_captured,228.80,2,2팀,4,72.02,18.97,0
[00:06:53] ,****,229.95,2팀,shu,미즈키,1팀,SP1NT,트레이서,Primary Fire,4.36,0,0
[00:06:53] ,defensive_assist,230.02,2팀,Viol2t,키리코,0
[00:07:08] ,ultimate_charged,244.66,1팀,Fielder,일리아리,0,2
[00:07:08] ,ultimate_start,245.19,1팀,Fielder,일리아리,0,2
[00:07:13] ,ultimate_charged,250.19,1팀,HanBin,D.Va,0,3
[00:07:16] ,point_progress,253.02,2,2팀,4,33.58
[00:07:16] ,ultimate_end,253.39,1팀,Fielder,일리아리,0,2
[00:07:17] ,ultimate_charged,253.69,2팀,Viol2t,키리코,0,2
[00:07:17] ,ultimate_start,253.77,2팀,Viol2t,키리코,0,2
[00:07:18] ,ultimate_charged,255.23,2팀,Proper,캐서디,0,2
[00:07:19] ,ultimate_charged,256.37,1팀,SP1NT,트레이서,0,2
[00:07:20] ,ultimate_start,256.97,1팀,HanBin,D.Va,0,3
[00:07:21] ,ultimate_start,258.14,1팀,SP1NT,트레이서,0,2
[00:07:21] ,remech_charged,258.22,1팀,HanBin,D.Va,0,4
[00:07:21] ,****,258.22,1팀,HanBin,D.Va,2팀,Viol2t,키리코,Ultimate,202.50,0,0
[00:07:21] ,ultimate_charged,258.30,2팀,knife,시메트라,0,2
[00:07:21] ,ultimate_end,258.33,1팀,SP1NT,트레이서,0,2
[00:07:22] ,ultimate_end,258.56,1팀,HanBin,D.Va,0,4
[00:07:22] ,****,259.36,1팀,SP1NT,트레이서,2팀,knife,시메트라,Ultimate,235.50,0,0
[00:07:23] ,****,259.65,1팀,MER1T,엠레,2팀,Proper,캐서디,Primary Fire,8.29,0,0
[00:07:23] ,dva_remech,260.37,1팀,HanBin,D.Va,4
[00:07:24] ,****,260.59,2팀,Mealgaru,시그마,1팀,Fielder,일리아리,Ability 2,64.86,0,0
[00:07:24] ,offensive_assist,261.02,2팀,Viol2t,키리코,0
[00:07:24] ,****,261.44,1팀,MER1T,엠레,2팀,shu,미즈키,Ability 2,94.14,0,0
[00:07:28] ,ultimate_end,264.99,2팀,Viol2t,키리코,0,2
[00:07:30] ,****,267.29,1팀,ChiYo,주노,2팀,Mealgaru,시그마,Primary Fire,2.13,0,0
[00:07:30] ,ultimate_charged,267.31,2팀,Mealgaru,시그마,0,2
[00:07:32] ,point_progress,268.54,2,2팀,4,66.85
[00:07:33] ,objective_captured,269.87,2,1팀,4,72.04,77.60,0
[00:07:34] ,hero_swap,271.50,2팀,Viol2t,주노,키리코,154.85
[00:07:39] ,hero_swap,275.66,2팀,Viol2t,라이프위버,주노,4.16
[00:07:39] ,ultimate_charged,276.20,1팀,ChiYo,주노,0,2
