[00:00:00] ,match_start,0,왕의 길,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:11] ,hero_spawn,0,2팀,Proud,아나,0,0
[00:00:12] ,hero_spawn,0,2팀,ZEST,리퍼,0,0
[00:00:14] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:15] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:23] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:23] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:25] ,hero_spawn,0,1팀,CheckMate,메이,0,0
[00:00:33] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:00:41] ,hero_swap,0,2팀,skewed,제트팩 캣,키리코,0
[00:00:53] ,hero_spawn,0,2팀,Bliss,일리아리,0,0
[00:01:18] ,hero_spawn,0,2팀,DONGHAK,해저드,0,0
[00:01:19] ,hero_swap,0,1팀,CheckMate,시메트라,메이,0
[00:01:23] ,hero_swap,0,2팀,skewed,키리코,제트팩 캣,0
[00:01:34] ,hero_swap,0,1팀,CheckMate,메이,시메트라,0
[00:01:48] ,hero_swap,0,2팀,Proud,메이,아나,0
[00:01:54] ,hero_swap,0,2팀,ZEST,에코,리퍼,0
[00:02:15] ,hero_swap,0,2팀,Bliss,루시우,일리아리,0
[00:02:18] ,hero_swap,0,2팀,Proud,겐지,메이,0
[00:02:22] ,hero_swap,0,2팀,ZEST,벤데타,에코,0
[00:02:34] ,hero_swap,0,2팀,skewed,주노,키리코,0
[00:02:34] ,hero_swap,0,2팀,DONGHAK,마우가,해저드,0
[00:02:35] ,setup_complete,0,1,239.99
[00:02:39] ,hero_swap,3.33,2팀,skewed,키리코,주노,3.33
[00:03:06] ,****,30.56,1팀,MER1T,바스티온,2팀,Proud,겐지,Primary Fire,11.30,0,0
[00:03:06] ,offensive_assist,30.58,1팀,CheckMate,메이,0
[00:03:06] ,defensive_assist,30.67,1팀,Fielder,키리코,0
[00:03:06] ,offensive_assist,30.70,1팀,Someone,라마트라,0
[00:03:06] ,defensive_assist,30.72,1팀,ChiYo,미즈키,0
[00:03:06] ,****,30.99,1팀,CheckMate,메이,2팀,skewed,키리코,Primary Fire,3.95,0,0
[00:03:07] ,defensive_assist,31.12,1팀,Fielder,키리코,0
[00:03:07] ,offensive_assist,31.15,1팀,Someone,라마트라,0
[00:03:07] ,defensive_assist,31.17,1팀,ChiYo,미즈키,0
[00:03:08] ,****,32.27,2팀,ZEST,벤데타,1팀,Fielder,키리코,Primary Fire,98.54,0,0
[00:03:08] ,offensive_assist,32.48,2팀,DONGHAK,마우가,0
[00:03:08] ,defensive_assist,32.48,2팀,DONGHAK,마우가,0
[00:03:08] ,defensive_assist,32.54,2팀,skewed,키리코,0
[00:03:09] ,****,33.07,1팀,Someone,라마트라,2팀,DONGHAK,마우가,Ability 1,45.71,0,0
[00:03:09] ,offensive_assist,33.41,1팀,CheckMate,메이,0
[00:03:09] ,defensive_assist,33.46,1팀,ChiYo,미즈키,0
[00:03:09] ,offensive_assist,33.50,1팀,Fielder,키리코,0
[00:03:09] ,defensive_assist,33.50,1팀,Fielder,키리코,0
[00:03:09] ,****,34.00,2팀,Bliss,루시우,1팀,MER1T,바스티온,Melee,1.54,0,0
[00:03:10] ,offensive_assist,34.35,2팀,DONGHAK,마우가,0
[00:03:10] ,defensive_assist,34.35,2팀,DONGHAK,마우가,0
[00:03:10] ,offensive_assist,34.45,2팀,skewed,키리코,0
[00:03:10] ,defensive_assist,34.45,2팀,skewed,키리코,0
[00:03:12] ,****,36.42,1팀,ChiYo,미즈키,2팀,ZEST,벤데타,Primary Fire,4,0,0
[00:03:12] ,****,36.70,1팀,Someone,라마트라,2팀,Bliss,루시우,Melee,5.41,0,0
[00:03:12] ,defensive_assist,36.74,1팀,ChiYo,미즈키,0
[00:03:12] ,defensive_assist,36.74,1팀,ChiYo,미즈키,0
[00:03:12] ,offensive_assist,36.77,1팀,Fielder,키리코,0
[00:03:12] ,defensive_assist,36.77,1팀,Fielder,키리코,0
[00:03:13] ,offensive_assist,37.18,1팀,CheckMate,메이,0
[00:03:41] ,point_progress,65.36,1,2팀,0,33.35
[00:03:43] ,****,67.05,2팀,DONGHAK,마우가,1팀,MER1T,바스티온,0,1.20,0,0
[00:03:43] ,defensive_assist,67.26,2팀,DONGHAK,마우가,0
[00:03:43] ,offensive_assist,67.29,2팀,Bliss,루시우,0
[00:03:43] ,defensive_assist,67.33,2팀,skewed,키리코,0
[00:03:44] ,****,68.46,1팀,Fielder,키리코,2팀,DONGHAK,마우가,0,5.69,0,0
[00:03:44] ,defensive_assist,68.62,1팀,Fielder,키리코,0
[00:03:44] ,defensive_assist,68.64,1팀,ChiYo,미즈키,0
[00:03:44] ,offensive_assist,68.77,1팀,Someone,라마트라,0
[00:03:46] ,****,70.89,1팀,Fielder,키리코,2팀,skewed,키리코,0,29.26,0,0
[00:03:46] ,defensive_assist,70.97,1팀,Fielder,키리코,0
[00:03:46] ,defensive_assist,70.99,1팀,ChiYo,미즈키,0
[00:03:47] ,****,71.63,2팀,ZEST,벤데타,1팀,CheckMate,메이,Primary Fire,65.42,0,0
[00:03:49] ,defensive_assist,73.36,1팀,ChiYo,미즈키,0
[00:03:49] ,****,73.36,1팀,Someone,라마트라,2팀,Bliss,루시우,Ability 1,18.37,0,0
[00:03:49] ,defensive_assist,73.79,1팀,Fielder,키리코,0
[00:03:56] ,****,80.54,1팀,ChiYo,미즈키,2팀,Proud,겐지,Melee,25.57,0,0
[00:03:56] ,defensive_assist,80.84,1팀,Fielder,키리코,0
[00:03:56] ,defensive_assist,80.88,1팀,ChiYo,미즈키,0
[00:03:56] ,offensive_assist,80.99,1팀,Someone,라마트라,0
[00:04:11] ,ultimate_charged,95.66,1팀,Someone,라마트라,0,1
[00:04:19] ,ultimate_charged,103.08,1팀,ChiYo,미즈키,0,1
[00:04:25] ,ultimate_charged,109.56,2팀,skewed,키리코,0,1
[00:04:26] ,ultimate_charged,110.52,2팀,Proud,겐지,0,1
[00:04:26] ,ultimate_charged,110.99,1팀,CheckMate,메이,0,1
[00:04:27] ,****,111.90,1팀,MER1T,바스티온,2팀,Proud,겐지,Primary Fire,10.20,0,0
[00:04:27] ,defensive_assist,111.91,1팀,ChiYo,미즈키,0
[00:04:28] ,defensive_assist,112.33,1팀,Fielder,키리코,0
[00:04:28] ,offensive_assist,112.38,1팀,CheckMate,메이,0
[00:04:31] ,ultimate_charged,115.05,1팀,Fielder,키리코,0,1
[00:04:35] ,ultimate_start,119.24,2팀,skewed,키리코,0,1
[00:04:36] ,ultimate_start,120.09,1팀,ChiYo,미즈키,0,1
[00:04:36] ,ultimate_start,120.12,1팀,Fielder,키리코,0,1
[00:04:36] ,ultimate_charged,120.78,1팀,MER1T,바스티온,0,1
[00:04:42] ,ultimate_end,126.60,1팀,ChiYo,미즈키,0,1
[00:04:44] ,ultimate_charged,128.27,2팀,Bliss,루시우,0,1
[00:04:46] ,****,130.28,1팀,Someone,라마트라,2팀,ZEST,벤데타,Ability 1,46.61,0,0
[00:04:46] ,ultimate_end,130.33,2팀,skewed,키리코,0,1
[00:04:46] ,offensive_assist,130.68,1팀,Fielder,키리코,0
[00:04:47] ,ultimate_end,131.34,1팀,Fielder,키리코,0,1
[00:04:50] ,ultimate_start,134.04,2팀,Bliss,루시우,0,1
[00:04:51] ,ultimate_start,135.20,2팀,Proud,겐지,0,1
