[00:00:00] ,match_start,0,리알토,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:14] ,hero_spawn,0,1팀,SP1NT,파라,0,0
[00:00:19] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:21] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:30] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:31] ,hero_spawn,0,2팀,ZEST,시메트라,0,0
[00:00:33] ,hero_spawn,0,2팀,Jasm1ne,D.Va,0,0
[00:00:34] ,hero_swap,0,1팀,ChiYo,바티스트,브리기테,0
[00:00:34] ,hero_spawn,0,2팀,Bliss,미즈키,0,0
[00:00:35] ,hero_swap,0,1팀,Fielder,라이프위버,키리코,0
[00:00:36] ,hero_spawn,0,2팀,Proud,루시우,0,0
[00:00:37] ,hero_swap,0,2팀,Bliss,바티스트,미즈키,0
[00:00:42] ,hero_spawn,0,1팀,MER1T,캐서디,0,0
[00:00:42] ,hero_swap,0,2팀,Bliss,미즈키,바티스트,0
[00:00:50] ,hero_swap,0,1팀,ChiYo,미즈키,바티스트,0
[00:00:57] ,hero_swap,0,2팀,Bliss,바티스트,미즈키,0
[00:01:02] ,hero_swap,0,2팀,Bliss,엠레,바티스트,0
[00:01:04] ,hero_swap,0,1팀,HanBin,라마트라,D.Va,0
[00:01:11] ,hero_swap,0,1팀,Fielder,키리코,라이프위버,0
[00:01:19] ,hero_swap,0,2팀,Proud,애쉬,루시우,0
[00:01:25] ,hero_swap,0,2팀,Proud,소전,애쉬,0
[00:01:27] ,hero_swap,0,2팀,Proud,캐서디,소전,0
[00:01:31] ,hero_swap,0,2팀,ZEST,파라,시메트라,0
[00:01:35] ,hero_swap,0,2팀,Proud,소전,캐서디,0
[00:01:42] ,hero_swap,0,1팀,HanBin,D.Va,라마트라,0
[00:01:43] ,hero_swap,0,1팀,Fielder,일리아리,키리코,0
[00:01:47] ,hero_swap,0,1팀,ChiYo,주노,미즈키,0
[00:01:51] ,hero_swap,0,2팀,Proud,프레야,소전,0
[00:02:02] ,hero_swap,0,2팀,Bliss,루시우,엠레,0
[00:02:03] ,hero_swap,0,2팀,Proud,엠레,프레야,0
[00:02:08] ,setup_complete,0,1,239.99
[00:02:29] ,payload_progress,20.62,1,2팀,0,10.01
[00:02:50] ,****,42.38,2팀,ZEST,파라,1팀,Fielder,일리아리,Ability 2,186.48,0,True
[00:02:50] ,defensive_assist,42.43,2팀,skewed,키리코,0
[00:02:55] ,****,46.93,2팀,Proud,엠레,1팀,MER1T,캐서디,Primary Fire,18,0,0
[00:02:55] ,offensive_assist,47.04,2팀,Bliss,루시우,0
[00:02:55] ,defensive_assist,47.04,2팀,Bliss,루시우,0
[00:02:55] ,defensive_assist,47.13,2팀,skewed,키리코,0
[00:03:00] ,****,52.25,2팀,Jasm1ne,D.Va,1팀,ChiYo,주노,0,21.73,True,0
