[00:00:00] ,match_start,0,서킷 로얄,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:12] ,hero_spawn,0,2팀,HeeSang,메이,0,0
[00:00:13] ,hero_spawn,0,2팀,MAX,해저드,0,0
[00:00:15] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:15] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:17] ,hero_spawn,0,2팀,CH0R0NG,라인하르트,0,0
[00:00:23] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:24] ,hero_spawn,0,2팀,vigilante,도미나,0,0
[00:00:25] ,hero_swap,0,2팀,MAX,정커퀸,해저드,0
[00:00:36] ,hero_spawn,0,2팀,LIP,바스티온,0,0
[00:00:44] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:00:53] ,hero_spawn,0,1팀,CheckMate,메이,0,0
[00:01:24] ,hero_swap,0,2팀,MAX,라마트라,정커퀸,0
[00:01:39] ,hero_swap,0,2팀,vigilante,루시우,도미나,0
[00:01:50] ,hero_swap,0,2팀,MAX,도미나,라마트라,0
[00:01:53] ,hero_swap,0,2팀,HeeSang,파라,메이,0
[00:02:10] ,hero_swap,0,2팀,MAX,D.Va,도미나,0
[00:02:14] ,hero_swap,0,1팀,ChiYo,주노,루시우,0
[00:02:27] ,hero_swap,0,2팀,vigilante,키리코,루시우,0
[00:02:28] ,setup_complete,0,1,239.99
[00:02:28] ,hero_swap,0.16,2팀,CH0R0NG,루시우,라인하르트,0.16
[00:02:29] ,hero_swap,1.30,2팀,LIP,소전,바스티온,1.30
[00:02:43] ,hero_swap,14.91,2팀,MAX,도미나,D.Va,14.91
[00:02:51] ,****,22.56,2팀,CH0R0NG,루시우,1팀,CheckMate,메이,Secondary Fire,24,0,0
[00:02:51] ,defensive_assist,22.64,2팀,vigilante,키리코,0
[00:02:54] ,****,25.95,2팀,MAX,도미나,1팀,MER1T,바스티온,0,24.85,0,0
[00:02:54] ,defensive_assist,26.38,2팀,vigilante,키리코,0
[00:02:58] ,****,29.49,2팀,MAX,도미나,1팀,Someone,라마트라,0,59.22,0,0
[00:02:58] ,offensive_assist,29.63,2팀,CH0R0NG,루시우,0
[00:02:58] ,defensive_assist,29.68,2팀,vigilante,키리코,0
[00:02:58] ,payload_progress,30.34,1,2팀,0,10.01
[00:03:09] ,hero_swap,40.83,1팀,CheckMate,파라,메이,40.83
