[00:00:00] ,match_start,0,루나사피,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:14] ,hero_spawn,0,2팀,skewed,주노,0,0
[00:00:16] ,hero_swap,0,2팀,skewed,키리코,주노,0
[00:00:20] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:25] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:29] ,hero_spawn,0,2팀,Bliss,라이프위버,0,0
[00:00:29] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:31] ,hero_spawn,0,2팀,ZEST,벤데타,0,0
[00:00:31] ,hero_spawn,0,2팀,DONGHAK,솔저: 76,0,0
[00:00:35] ,hero_swap,0,2팀,Bliss,주노,라이프위버,0
[00:00:36] ,hero_spawn,0,2팀,Proud,소전,0,0
[00:00:37] ,hero_swap,0,2팀,Bliss,브리기테,주노,0
[00:00:44] ,hero_spawn,0,1팀,MER1T,소전,0,0
[00:01:08] ,hero_spawn,0,1팀,Someone,정커퀸,0,0
[00:01:08] ,hero_swap,0,2팀,DONGHAK,오리사,솔저: 76,0
[00:01:09] ,hero_swap,0,2팀,skewed,주노,키리코,0
[00:01:11] ,hero_swap,0,1팀,ChiYo,시온,브리기테,0
[00:01:19] ,hero_swap,0,1팀,ChiYo,시에라,시온,0
[00:01:20] ,hero_swap,0,1팀,ChiYo,시온,시에라,0
[00:01:25] ,hero_swap,0,2팀,skewed,시온,주노,0
[00:01:28] ,hero_swap,0,1팀,ChiYo,솔저: 76,시온,0
[00:01:28] ,hero_swap,0,1팀,ChiYo,시온,솔저: 76,0
[00:01:33] ,hero_swap,0,2팀,skewed,주노,시온,0
[00:01:35] ,hero_swap,0,2팀,ZEST,시온,벤데타,0
[00:01:37] ,hero_swap,0,1팀,ChiYo,파라,시온,0
[00:01:38] ,hero_swap,0,1팀,ChiYo,시온,파라,0
[00:01:44] ,hero_swap,0,1팀,Someone,도미나,정커퀸,0
[00:01:58] ,hero_swap,0,2팀,ZEST,벤데타,시온,0
[00:01:58] ,hero_swap,0,1팀,Someone,시그마,도미나,0
[00:02:07] ,hero_swap,0,1팀,ChiYo,미즈키,시온,0
[00:02:12] ,hero_swap,0,1팀,MER1T,캐서디,소전,0
[00:02:31] ,hero_swap,0,2팀,skewed,제트팩 캣,주노,0
[00:02:31] ,hero_swap,0,2팀,skewed,주노,제트팩 캣,0
[00:02:37] ,setup_complete,0,1,599.99
[00:02:38] ,ability_2_used,0.77,2팀,ZEST,벤데타,0
[00:02:38] ,ability_2_used,0.93,2팀,DONGHAK,오리사,0
[00:02:38] ,ability_1_used,1.06,2팀,skewed,주노,0
[00:02:38] ,ability_1_used,1.36,2팀,Proud,소전,0
[00:02:39] ,ability_1_used,1.42,1팀,ChiYo,미즈키,0
[00:02:39] ,ability_1_used,1.65,2팀,ZEST,벤데타,0
[00:02:39] ,ability_2_used,1.76,1팀,CheckMate,시메트라,0
[00:02:40] ,ability_1_used,3.09,1팀,MER1T,캐서디,0
[00:02:46] ,ability_1_used,9.14,2팀,Proud,소전,0
[00:02:48] ,ability_2_used,10.82,2팀,DONGHAK,오리사,0
[00:02:53] ,ability_1_used,15.82,1팀,CheckMate,시메트라,0
[00:02:54] ,ability_2_used,16.53,2팀,Bliss,브리기테,0
[00:02:55] ,ability_1_used,17.54,1팀,CheckMate,시메트라,0
[00:02:56] ,ability_1_used,19.02,1팀,CheckMate,시메트라,0
[00:02:57] ,ability_2_used,20.05,2팀,ZEST,벤데타,0
[00:02:57] ,ability_2_used,20.08,2팀,skewed,주노,0
[00:02:58] ,ability_2_used,20.96,2팀,Proud,소전,0
[00:02:58] ,ability_1_used,21.22,2팀,skewed,주노,0
[00:02:59] ,ability_2_used,21.47,1팀,Someone,시그마,0
[00:02:59] ,ability_2_used,21.84,1팀,CheckMate,시메트라,0
[00:02:59] ,ability_2_used,21.87,2팀,DONGHAK,오리사,0
[00:02:59] ,ability_1_used,22.00,2팀,ZEST,벤데타,0
[00:02:59] ,ability_1_used,22.13,1팀,ChiYo,미즈키,0
[00:03:00] ,ability_1_used,22.46,1팀,MER1T,캐서디,0
[00:03:01] ,ability_1_used,23.92,1팀,Someone,시그마,0
[00:03:01] ,ability_2_used,23.98,1팀,Fielder,키리코,0
[00:03:02] ,ability_2_used,24.50,1팀,MER1T,캐서디,0
[00:03:02] ,ability_2_used,24.90,2팀,Bliss,브리기테,0
[00:03:02] ,ability_2_used,25.07,1팀,ChiYo,미즈키,0
[00:03:02] ,ability_1_used,25.14,2팀,DONGHAK,오리사,0
[00:03:02] ,ability_1_used,25.26,2팀,Proud,소전,0
[00:03:02] ,ability_1_used,25.28,2팀,Bliss,브리기테,0
[00:03:03] ,ability_2_used,26.14,2팀,Bliss,브리기테,0
[00:03:05] ,ability_1_used,27.52,1팀,CheckMate,시메트라,0
[00:03:05] ,ability_1_used,27.94,1팀,MER1T,캐서디,0
[00:03:06] ,ability_2_used,28.56,2팀,ZEST,벤데타,0
[00:03:07] ,****,30.38,2팀,ZEST,벤데타,1팀,CheckMate,시메트라,Primary Fire,42.15,0,0
[00:03:08] ,ability_2_used,30.66,2팀,DONGHAK,오리사,0
[00:03:08] ,offensive_assist,30.70,2팀,Bliss,브리기테,0
[00:03:08] ,defensive_assist,30.70,2팀,Bliss,브리기테,0
[00:03:08] ,ability_1_used,31.41,2팀,Bliss,브리기테,0
[00:03:09] ,ability_1_used,32.38,2팀,skewed,주노,0
[00:03:10] ,ability_2_used,32.66,1팀,Someone,시그마,0
[00:03:10] ,ability_1_used,32.69,2팀,ZEST,벤데타,0
[00:03:10] ,ability_1_used,32.75,1팀,Fielder,키리코,0
[00:03:10] ,ability_1_used,33.17,1팀,ChiYo,미즈키,0
[00:03:11] ,****,33.46,2팀,Proud,소전,1팀,Someone,시그마,Primary Fire,7.05,0,0
[00:03:11] ,offensive_assist,33.52,2팀,Bliss,브리기테,0
[00:03:11] ,defensive_assist,33.52,2팀,Bliss,브리기테,0
[00:03:11] ,****,33.58,2팀,DONGHAK,오리사,1팀,MER1T,캐서디,Melee,7.07,0,0
[00:03:11] ,defensive_assist,33.98,2팀,Bliss,브리기테,0
[00:03:11] ,ability_2_used,34.05,2팀,Bliss,브리기테,0
[00:03:12] ,ability_2_used,34.77,2팀,Bliss,브리기테,0
[00:03:12] ,****,35.15,2팀,ZEST,벤데타,1팀,ChiYo,미즈키,Primary Fire,77.15,0,0
[00:03:12] ,ability_2_used,35.25,2팀,skewed,주노,0
[00:03:12] ,offensive_assist,35.31,2팀,DONGHAK,오리사,0
[00:03:12] ,defensive_assist,35.36,2팀,Bliss,브리기테,0
[00:03:13] ,ability_1_used,36.08,2팀,Bliss,브리기테,0
[00:03:15] ,****,37.49,2팀,DONGHAK,오리사,1팀,Fielder,키리코,Primary Fire,21.19,True,0
[00:03:15] ,defensive_assist,37.68,2팀,Bliss,브리기테,0
[00:03:21] ,ability_1_used,43.58,1팀,MER1T,캐서디,0
[00:03:25] ,ability_2_used,47.55,1팀,CheckMate,시메트라,0
[00:03:25] ,ability_1_used,48.11,1팀,Fielder,키리코,0
[00:03:26] ,ability_2_used,49.33,2팀,ZEST,벤데타,0
[00:03:27] ,ability_2_used,50.19,2팀,Proud,소전,0
[00:03:32] ,ability_1_used,54.69,2팀,ZEST,벤데타,0
[00:03:37] ,ability_1_used,60.14,1팀,CheckMate,시메트라,0
[00:03:38] ,ability_2_used,60.91,2팀,Bliss,브리기테,0
[00:03:39] ,ability_1_used,61.89,1팀,CheckMate,시메트라,0
[00:03:40] ,ability_1_used,62.69,2팀,Proud,소전,0
[00:03:40] ,ability_2_used,63.01,2팀,Bliss,브리기테,0
[00:03:40] ,ability_1_used,63.04,1팀,CheckMate,시메트라,0
[00:03:40] ,ability_1_used,63.18,1팀,ChiYo,미즈키,0
[00:03:43] ,ability_2_used,65.55,2팀,skewed,주노,0
[00:03:43] ,ability_2_used,65.82,2팀,ZEST,벤데타,0
[00:03:44] ,ability_1_used,66.46,2팀,skewed,주노,0
[00:03:44] ,ability_2_used,66.51,2팀,DONGHAK,오리사,0
[00:03:44] ,ability_2_used,66.54,1팀,Someone,시그마,0
[00:03:44] ,ability_1_used,66.94,1팀,MER1T,캐서디,0
[00:03:44] ,ability_1_used,67.17,2팀,DONGHAK,오리사,0
[00:03:44] ,ability_1_used,67.34,2팀,ZEST,벤데타,0
[00:03:45] ,ability_2_used,67.44,1팀,MER1T,캐서디,0
[00:03:45] ,ability_2_used,67.89,1팀,ChiYo,미즈키,0
[00:03:45] ,ability_2_used,68.06,1팀,CheckMate,시메트라,0
[00:03:45] ,****,68.17,1팀,ChiYo,미즈키,2팀,ZEST,벤데타,Ability 2,40.59,0,0
[00:03:45] ,defensive_assist,68.30,1팀,ChiYo,미즈키,0
[00:03:46] ,defensive_assist,68.64,1팀,Fielder,키리코,0
[00:03:47] ,ability_2_used,69.79,1팀,Fielder,키리코,0
[00:03:47] ,ability_2_used,69.95,2팀,Bliss,브리기테,0
[00:03:47] ,ability_1_used,69.98,1팀,Someone,시그마,0
