[00:00:00] ,match_start,0,남극 반도,쟁탈,1팀,2팀
[00:00:01] ,round_start,0,1,0,0,0,0
[00:00:08] ,hero_spawn,0,2팀,HeeSang,시온,0,0
[00:00:09] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:09] ,hero_spawn,0,2팀,vigilante,루시우,0,0
[00:00:11] ,hero_swap,0,2팀,HeeSang,시메트라,시온,0
[00:00:11] ,hero_spawn,0,1팀,Fielder,모이라,0,0
[00:00:17] ,hero_spawn,0,1팀,ChiYo,우양,0,0
[00:00:19] ,hero_swap,0,2팀,MAX,시그마,라마트라,0
[00:00:19] ,hero_swap,0,1팀,ChiYo,루시우,우양,0
[00:00:23] ,hero_spawn,0,2팀,STALK3R,시온,0,0
[00:00:24] ,hero_spawn,0,2팀,CH0R0NG,바티스트,0,0
[00:00:25] ,hero_spawn,0,1팀,SP1NT,라인하르트,0,0
[00:00:30] ,hero_swap,0,1팀,Fielder,시온,모이라,0
[00:00:39] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:54] ,hero_swap,0,1팀,SP1NT,해저드,라인하르트,0
[00:00:56] ,hero_swap,0,2팀,vigilante,주노,루시우,0
[00:00:59] ,hero_swap,0,1팀,SP1NT,벤데타,해저드,0
[00:01:02] ,hero_spawn,0,1팀,MER1T,소전,0,0
[00:01:09] ,hero_swap,0,1팀,SP1NT,시메트라,벤데타,0
[00:01:11] ,hero_swap,0,1팀,MER1T,바스티온,소전,0
[00:01:16] ,hero_swap,0,1팀,Fielder,브리기테,시온,0
[00:01:17] ,hero_swap,0,1팀,ChiYo,주노,루시우,0
[00:01:17] ,hero_swap,0,1팀,MER1T,시온,바스티온,0
[00:01:17] ,hero_swap,0,2팀,CH0R0NG,미즈키,바티스트,0
[00:01:19] ,setup_complete,0,1,29.99
[00:01:19] ,ability_2_used,0.02,2팀,HeeSang,시메트라,0
[00:01:20] ,ability_2_used,0.91,1팀,SP1NT,시메트라,0
[00:01:21] ,ability_1_used,2.24,2팀,STALK3R,시온,0
[00:01:21] ,ability_1_used,2.50,1팀,HanBin,마우가,0
[00:01:21] ,ability_2_used,2.66,2팀,STALK3R,시온,0
[00:01:22] ,ability_2_used,2.80,1팀,ChiYo,주노,0
[00:01:22] ,ability_1_used,2.96,1팀,MER1T,시온,0
[00:01:22] ,hero_swap,3.28,1팀,SP1NT,벤데타,시메트라,3.28
[00:01:22] ,ability_1_used,3.44,1팀,SP1NT,벤데타,0
[00:01:24] ,ability_2_used,4.77,1팀,MER1T,시온,0
[00:01:24] ,hero_swap,4.85,2팀,vigilante,키리코,주노,4.85
[00:01:24] ,ability_1_used,5.62,2팀,HeeSang,시메트라,0
[00:01:25] ,ability_1_used,5.79,2팀,vigilante,키리코,0
[00:01:25] ,ability_1_used,6.58,2팀,HeeSang,시메트라,0
[00:01:27] ,ability_2_used,8.26,1팀,Fielder,브리기테,0
[00:01:28] ,ability_1_used,8.96,1팀,Fielder,브리기테,0
[00:01:28] ,ability_1_used,9.30,2팀,STALK3R,시온,0
[00:01:29] ,ability_1_used,10.00,2팀,HeeSang,시메트라,0
[00:01:30] ,ability_2_used,10.86,2팀,vigilante,키리코,0
[00:01:32] ,ability_1_used,12.91,1팀,HanBin,마우가,0
[00:01:32] ,ability_2_used,13.07,2팀,MAX,시그마,0
[00:01:32] ,ability_2_used,13.14,1팀,SP1NT,벤데타,0
[00:01:32] ,ability_2_used,13.17,1팀,Fielder,브리기테,0
[00:01:33] ,ability_2_used,13.79,2팀,HeeSang,시메트라,0
[00:01:33] ,ability_1_used,14.35,1팀,ChiYo,주노,0
[00:01:33] ,ability_2_used,14.59,1팀,Fielder,브리기테,0
[00:01:33] ,ability_1_used,14.64,1팀,MER1T,시온,0
[00:01:35] ,ability_2_used,15.94,1팀,HanBin,마우가,0
[00:01:36] ,ability_1_used,16.93,2팀,MAX,시그마,0
[00:01:36] ,ability_1_used,17.17,1팀,Fielder,브리기테,0
[00:01:37] ,ability_1_used,17.89,2팀,CH0R0NG,미즈키,0
[00:01:37] ,ability_2_used,18.10,1팀,Fielder,브리기테,0
[00:01:37] ,ability_1_used,18.34,2팀,STALK3R,시온,0
[00:01:38] ,ability_2_used,18.85,2팀,CH0R0NG,미즈키,0
[00:01:38] ,ability_2_used,19.20,1팀,ChiYo,주노,0
[00:01:38] ,ability_1_used,19.73,2팀,HeeSang,시메트라,0
[00:01:40] ,ability_1_used,21.38,1팀,SP1NT,벤데타,0
[00:01:41] ,ability_1_used,21.98,1팀,MER1T,시온,0
[00:01:41] ,ability_1_used,21.98,1팀,HanBin,마우가,0
[00:01:41] ,****,22.35,2팀,HeeSang,시메트라,1팀,HanBin,마우가,Secondary Fire,8.58,0,0
[00:01:41] ,ability_2_used,22.40,1팀,MER1T,시온,0
[00:01:41] ,defensive_assist,22.67,2팀,vigilante,키리코,0
[00:01:41] ,defensive_assist,22.69,2팀,CH0R0NG,미즈키,0
[00:01:42] ,ability_1_used,23.23,1팀,Fielder,브리기테,0
[00:01:42] ,****,23.31,2팀,STALK3R,시온,1팀,SP1NT,벤데타,Secondary Fire,3.88,0,0
[00:01:42] ,****,23.36,1팀,MER1T,시온,2팀,STALK3R,시온,Ability 2,76.75,0,0
[00:01:42] ,ability_1_used,23.54,1팀,ChiYo,주노,0
[00:01:42] ,defensive_assist,23.62,2팀,vigilante,키리코,0
[00:01:42] ,defensive_assist,23.63,2팀,CH0R0NG,미즈키,0
[00:01:45] ,ability_1_used,26.27,2팀,vigilante,키리코,0
[00:01:45] ,ability_2_used,26.37,2팀,MAX,시그마,0
[00:01:46] ,ability_2_used,26.80,2팀,vigilante,키리코,0
[00:01:46] ,****,27.18,1팀,ChiYo,주노,2팀,CH0R0NG,미즈키,Primary Fire,1.15,0,0
[00:01:46] ,offensive_assist,27.36,1팀,Fielder,브리기테,0
[00:01:46] ,defensive_assist,27.36,1팀,Fielder,브리기테,0
[00:01:47] ,ability_1_used,28.38,1팀,MER1T,시온,0
[00:01:47] ,ability_1_used,28.56,1팀,Fielder,브리기테,0
[00:01:48] ,****,29.14,2팀,MAX,시그마,1팀,Fielder,브리기테,Primary Fire,17.60,0,0
[00:01:48] ,defensive_assist,29.25,2팀,vigilante,키리코,0
[00:01:48] ,****,29.25,1팀,MER1T,시온,2팀,HeeSang,시메트라,Primary Fire,35.65,True,0
[00:01:48] ,defensive_assist,29.30,2팀,CH0R0NG,미즈키,0
[00:01:52] ,****,32.86,2팀,MAX,시그마,1팀,MER1T,시온,Primary Fire,10.32,0,0
