[00:00:00] ,match_start,0,네팔,쟁탈,1팀,2팀
[00:00:01] ,round_start,0,1,0,0,0,0
[00:00:08] ,hero_spawn,0,2팀,shu,루시우,0,0
[00:00:09] ,hero_spawn,0,2팀,Viol2t,주노,0,0
[00:00:10] ,hero_spawn,0,1팀,CheckMate,겐지,0,0
[00:00:10] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:10] ,hero_spawn,0,2팀,knife,겐지,0,0
[00:00:18] ,hero_spawn,0,2팀,Bernar,시그마,0,0
[00:00:23] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:29] ,hero_spawn,0,1팀,SP1NT,시온,0,0
[00:00:36] ,hero_swap,0,2팀,Viol2t,제트팩 캣,주노,0
[00:00:48] ,hero_spawn,0,2팀,Proper,시메트라,0,0
[00:00:50] ,hero_swap,0,1팀,CheckMate,리퍼,겐지,0
[00:00:55] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:57] ,hero_swap,0,1팀,CheckMate,시메트라,리퍼,0
[00:00:59] ,hero_swap,0,2팀,Bernar,마우가,시그마,0
[00:01:00] ,hero_swap,0,2팀,shu,키리코,루시우,0
[00:01:09] ,hero_swap,0,2팀,knife,시온,겐지,0
[00:01:13] ,hero_swap,0,2팀,Viol2t,루시우,제트팩 캣,0
[00:01:15] ,setup_complete,0,1,29.99
[00:01:15] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:15] ,ability_1_used,0.02,2팀,Viol2t,루시우,0
[00:01:16] ,ability_2_used,0.46,2팀,Proper,시메트라,0
[00:01:16] ,ability_2_used,1.12,1팀,CheckMate,시메트라,0
[00:01:17] ,ability_2_used,1.82,1팀,ChiYo,루시우,0
[00:01:17] ,ability_2_used,1.95,2팀,Viol2t,루시우,0
[00:01:18] ,ability_1_used,2.38,1팀,HanBin,마우가,0
[00:01:18] ,ability_1_used,2.45,2팀,knife,시온,0
[00:01:18] ,ability_1_used,2.58,2팀,Bernar,마우가,0
[00:01:18] ,ability_2_used,2.85,2팀,knife,시온,0
[00:01:18] ,hero_swap,3.04,2팀,Proper,벤데타,시메트라,3.04
[00:01:18] ,ability_2_used,3.10,1팀,SP1NT,시온,0
[00:01:18] ,hero_swap,3.10,1팀,CheckMate,리퍼,시메트라,3.10
[00:01:19] ,ability_1_used,3.46,2팀,Proper,벤데타,0
[00:01:19] ,ability_2_used,3.58,1팀,CheckMate,리퍼,0
[00:01:26] ,ability_1_used,10.85,2팀,Bernar,마우가,0
[00:01:26] ,ability_2_used,11.15,1팀,HanBin,마우가,0
[00:01:27] ,ability_2_used,11.84,2팀,Proper,벤데타,0
[00:01:27] ,ability_1_used,12.08,1팀,SP1NT,시온,0
[00:01:28] ,****,12.27,2팀,Bernar,마우가,1팀,ChiYo,루시우,Ability 1,16.18,0,0
[00:01:28] ,defensive_assist,12.34,2팀,shu,키리코,0
[00:01:28] ,ability_2_used,12.40,2팀,Bernar,마우가,0
[00:01:29] ,ability_2_used,13.57,2팀,shu,키리코,0
[00:01:29] ,ability_1_used,13.86,1팀,CheckMate,리퍼,0
[00:01:30] ,ability_1_used,14.29,2팀,knife,시온,0
[00:01:30] ,ability_1_used,14.42,1팀,HanBin,마우가,0
[00:01:30] ,ability_2_used,14.88,1팀,Fielder,키리코,0
[00:01:31] ,ability_1_used,15.26,2팀,shu,키리코,0
[00:01:31] ,ability_2_used,15.90,1팀,CheckMate,리퍼,0
[00:01:31] ,ability_1_used,15.92,2팀,Proper,벤데타,0
[00:01:32] ,ability_1_used,16.50,1팀,Fielder,키리코,0
[00:01:33] ,ability_2_used,17.30,2팀,Viol2t,루시우,0
[00:01:34] ,****,18.38,2팀,Viol2t,루시우,1팀,HanBin,마우가,Secondary Fire,28.35,0,0
[00:01:34] ,defensive_assist,18.40,2팀,Viol2t,루시우,0
[00:01:34] ,offensive_assist,18.42,2팀,Bernar,마우가,0
[00:01:34] ,defensive_assist,18.42,2팀,Bernar,마우가,0
[00:01:34] ,****,18.77,1팀,CheckMate,리퍼,2팀,knife,시온,Secondary Fire,41.20,0,0
[00:01:34] ,defensive_assist,18.85,2팀,shu,키리코,0
[00:01:34] ,defensive_assist,18.93,1팀,Fielder,키리코,0
[00:01:35] ,ability_1_used,19.34,2팀,Viol2t,루시우,0
[00:01:36] ,ability_2_used,20.94,2팀,Proper,벤데타,0
[00:01:37] ,ability_2_used,21.26,1팀,SP1NT,시온,0
[00:01:37] ,ability_1_used,21.41,2팀,Viol2t,루시우,0
[00:01:38] ,ability_1_used,22.35,1팀,ChiYo,루시우,0
[00:01:38] ,ability_1_used,22.70,2팀,Viol2t,루시우,0
[00:01:39] ,ability_1_used,23.34,1팀,CheckMate,리퍼,0
[00:01:42] ,ability_1_used,26.27,1팀,SP1NT,시온,0
[00:01:42] ,ability_1_used,26.75,1팀,Fielder,키리코,0
[00:01:42] ,ability_1_used,26.93,2팀,Viol2t,루시우,0
[00:01:43] ,ability_1_used,27.70,2팀,Bernar,마우가,0
[00:01:44] ,ability_1_used,28.48,1팀,ChiYo,루시우,0
[00:01:44] ,ability_1_used,28.98,1팀,HanBin,마우가,0
[00:01:44] ,ability_2_used,29.18,2팀,shu,키리코,0
[00:01:45] ,ability_1_used,29.41,2팀,knife,시온,0
[00:01:45] ,ability_2_used,29.81,2팀,knife,시온,0
[00:01:47] ,ability_2_used,31.49,1팀,CheckMate,리퍼,0
[00:01:47] ,point_progress,31.57,1,All Teams,0,33.38
[00:01:48] ,ability_1_used,32.53,1팀,SP1NT,시온,0
[00:01:48] ,point_progress,32.91,1,All Teams,0,66.98
[00:01:50] ,objective_captured,34.24,1,2팀,0,0,0.01,0
[00:01:50] ,ability_1_used,34.27,1팀,ChiYo,루시우,0
[00:01:52] ,ability_1_used,36.99,1팀,ChiYo,루시우,0
[00:01:53] ,ability_1_used,38.10,2팀,shu,키리코,0
[00:01:54] ,ability_2_used,38.54,1팀,SP1NT,시온,0
[00:01:54] ,ability_1_used,38.75,2팀,Bernar,마우가,0
[00:01:54] ,ability_1_used,39.17,1팀,HanBin,마우가,0
[00:01:55] ,ability_2_used,39.74,1팀,ChiYo,루시우,0
[00:01:55] ,ability_2_used,39.90,2팀,Proper,벤데타,0
[00:01:56] ,ability_1_used,40.37,2팀,Viol2t,루시우,0
[00:01:56] ,ability_1_used,40.62,2팀,knife,시온,0
[00:01:56] ,ability_1_used,40.86,1팀,Fielder,키리코,0
