[00:00:00] ,match_start,0,뉴 정크 시티,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,CheckMate,리퍼,0,0
[00:00:10] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:11] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:11] ,hero_spawn,0,2팀,HeeSang,리퍼,0,0
[00:00:11] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:11] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:19] ,hero_spawn,0,1팀,SP1NT,벤데타,0,0
[00:00:21] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:41] ,hero_spawn,0,2팀,STALK3R,소전,0,0
[00:00:46] ,hero_spawn,0,2팀,MAX,마우가,0,0
[00:00:58] ,hero_swap,0,2팀,HeeSang,시메트라,리퍼,0
[00:00:58] ,hero_swap,0,1팀,SP1NT,시메트라,벤데타,0
[00:01:17] ,hero_swap,0,1팀,CheckMate,솔저: 76,리퍼,0
[00:01:17] ,hero_swap,0,1팀,SP1NT,벤데타,시메트라,0
[00:01:18] ,hero_swap,0,1팀,CheckMate,시메트라,솔저: 76,0
[00:01:22] ,ability_2_used,0,2팀,HeeSang,시메트라,0
[00:01:22] ,setup_complete,0,1,29.99
[00:01:22] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:22] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:24] ,ability_2_used,1.34,1팀,CheckMate,시메트라,0
[00:01:25] ,ability_2_used,2.08,1팀,ChiYo,루시우,0
[00:01:25] ,ability_2_used,2.48,2팀,CH0R0NG,루시우,0
[00:01:25] ,ability_1_used,2.54,2팀,MAX,마우가,0
[00:01:25] ,hero_swap,2.69,2팀,HeeSang,메이,시메트라,2.69
[00:01:25] ,ability_1_used,2.88,1팀,HanBin,마우가,0
[00:01:26] ,ability_1_used,3.17,2팀,STALK3R,소전,0
[00:01:26] ,hero_swap,3.20,1팀,CheckMate,리퍼,시메트라,3.20
[00:01:26] ,hero_swap,3.47,2팀,HeeSang,리퍼,메이,0.78
[00:01:26] ,ability_1_used,3.63,1팀,SP1NT,벤데타,0
[00:01:27] ,ability_2_used,4.10,1팀,CheckMate,리퍼,0
[00:01:27] ,ability_2_used,4.16,2팀,HeeSang,리퍼,0
[00:01:28] ,ability_1_used,5.60,1팀,Fielder,키리코,0
[00:01:28] ,ability_1_used,5.79,2팀,vigilante,키리코,0
[00:01:28] ,ability_1_used,5.87,1팀,CheckMate,리퍼,0
[00:01:31] ,ability_2_used,8.40,2팀,STALK3R,소전,0
[00:01:31] ,ability_1_used,8.62,1팀,ChiYo,루시우,0
[00:01:33] ,ability_1_used,10.26,1팀,ChiYo,루시우,0
[00:01:33] ,ability_1_used,10.94,2팀,CH0R0NG,루시우,0
[00:01:34] ,ability_1_used,11.86,1팀,ChiYo,루시우,0
[00:01:36] ,ability_1_used,13.25,1팀,ChiYo,루시우,0
[00:01:37] ,ability_1_used,14.45,2팀,CH0R0NG,루시우,0
[00:01:38] ,ability_1_used,15.10,1팀,HanBin,마우가,0
[00:01:38] ,ability_1_used,16.00,2팀,STALK3R,소전,0
[00:01:40] ,ability_1_used,17.12,2팀,MAX,마우가,0
[00:01:40] ,ability_2_used,17.22,1팀,CheckMate,리퍼,0
[00:01:40] ,ability_1_used,17.44,2팀,HeeSang,리퍼,0
[00:01:40] ,ability_2_used,17.98,1팀,SP1NT,벤데타,0
[00:01:41] ,ability_1_used,18.82,2팀,CH0R0NG,루시우,0
[00:01:42] ,ability_1_used,19.38,2팀,vigilante,키리코,0
[00:01:42] ,ability_2_used,19.44,1팀,HanBin,마우가,0
[00:01:42] ,ability_1_used,19.68,1팀,ChiYo,루시우,0
[00:01:43] ,ability_2_used,20.56,1팀,ChiYo,루시우,0
[00:01:43] ,ability_1_used,20.77,1팀,SP1NT,벤데타,0
[00:01:43] ,ability_1_used,21.01,2팀,CH0R0NG,루시우,0
[00:01:43] ,ability_1_used,21.02,1팀,CheckMate,리퍼,0
[00:01:44] ,ability_1_used,21.57,1팀,Fielder,키리코,0
[00:01:45] ,ability_2_used,22.35,2팀,CH0R0NG,루시우,0
[00:01:45] ,****,22.58,1팀,SP1NT,벤데타,2팀,HeeSang,리퍼,Primary Fire,7.90,0,0
[00:01:45] ,offensive_assist,22.59,1팀,HanBin,마우가,0
[00:01:45] ,defensive_assist,22.59,1팀,HanBin,마우가,0
[00:01:45] ,ability_2_used,22.61,1팀,Fielder,키리코,0
[00:01:45] ,defensive_assist,22.69,1팀,ChiYo,루시우,0
[00:01:45] ,defensive_assist,22.72,1팀,Fielder,키리코,0
[00:01:47] ,ability_2_used,24.06,2팀,STALK3R,소전,0
[00:01:47] ,ability_1_used,24.70,2팀,MAX,마우가,0
[00:01:47] ,ability_1_used,24.96,1팀,HanBin,마우가,0
[00:01:48] ,ability_1_used,26.03,2팀,STALK3R,소전,0
[00:01:50] ,ability_2_used,27.74,2팀,MAX,마우가,0
[00:01:50] ,ability_2_used,27.94,2팀,vigilante,키리코,0
[00:01:53] ,ability_1_used,30.40,2팀,MAX,마우가,0
[00:01:54] ,ability_1_used,31.10,1팀,HanBin,마우가,0
[00:01:55] ,ability_2_used,32.34,1팀,SP1NT,벤데타,0
[00:01:56] ,ability_1_used,33.17,1팀,CheckMate,리퍼,0
[00:01:56] ,ability_1_used,33.20,2팀,HeeSang,리퍼,0
[00:01:58] ,****,35.18,1팀,HanBin,마우가,2팀,CH0R0NG,루시우,0,2.37,0,0
[00:01:58] ,defensive_assist,35.30,1팀,Fielder,키리코,0
[00:01:58] ,ability_2_used,35.78,2팀,HeeSang,리퍼,0
[00:01:58] ,ability_2_used,36.02,1팀,ChiYo,루시우,0
[00:01:59] ,ability_2_used,36.90,1팀,HanBin,마우가,0
[00:02:00] ,ability_1_used,37.20,1팀,SP1NT,벤데타,0
[00:02:00] ,ability_1_used,37.70,2팀,MAX,마우가,0
[00:02:01] ,ability_2_used,38.27,1팀,Fielder,키리코,0
[00:02:02] ,ability_1_used,39.33,2팀,vigilante,키리코,0
[00:02:02] ,ability_1_used,39.81,2팀,STALK3R,소전,0
