[00:00:00] ,match_start,0,뉴 퀸 스트리트,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,SP1NT,벤데타,0,0
[00:00:09] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:10] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:13] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:15] ,hero_swap,0,1팀,ChiYo,메르시,루시우,0
[00:00:16] ,hero_swap,0,1팀,ChiYo,루시우,메르시,0
[00:00:26] ,hero_spawn,0,2팀,STALK3R,파라,0,0
[00:00:29] ,hero_spawn,0,2팀,vigilante,제트팩 캣,0,0
[00:00:29] ,hero_spawn,0,2팀,MAX,마우가,0,0
[00:00:31] ,hero_swap,0,2팀,STALK3R,소전,파라,0
[00:00:38] ,hero_swap,0,2팀,MAX,D.Va,마우가,0
[00:00:42] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:53] ,hero_spawn,0,1팀,CheckMate,리퍼,0,0
[00:00:58] ,hero_swap,0,2팀,vigilante,키리코,제트팩 캣,0
[00:01:00] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:01:14] ,ability_2_used,0,2팀,HeeSang,시메트라,0
[00:01:14] ,ability_1_used,0,1팀,ChiYo,루시우,0
[00:01:14] ,setup_complete,0,1,599.99
[00:01:14] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:15] ,ability_2_used,0.77,1팀,ChiYo,루시우,0
[00:01:15] ,ability_2_used,0.82,1팀,SP1NT,벤데타,0
[00:01:15] ,ability_1_used,1.57,1팀,HanBin,마우가,0
[00:01:16] ,ability_2_used,2.06,1팀,CheckMate,리퍼,0
[00:01:16] ,ability_1_used,2.08,1팀,SP1NT,벤데타,0
[00:01:16] ,ability_2_used,2.64,2팀,CH0R0NG,루시우,0
[00:01:16] ,ability_1_used,2.75,2팀,MAX,D.Va,0
[00:01:17] ,ability_1_used,2.88,1팀,Fielder,키리코,0
[00:01:17] ,ability_1_used,3.20,2팀,STALK3R,소전,0
[00:01:19] ,ability_1_used,5.31,2팀,vigilante,키리코,0
[00:01:21] ,ability_2_used,7.25,2팀,MAX,D.Va,0
[00:01:23] ,ability_1_used,9.33,2팀,HeeSang,시메트라,0
[00:01:25] ,ability_1_used,11.46,2팀,HeeSang,시메트라,0
[00:01:26] ,ability_2_used,12.24,2팀,STALK3R,소전,0
[00:01:28] ,ability_1_used,14.59,1팀,ChiYo,루시우,0
[00:01:30] ,ability_1_used,15.90,1팀,HanBin,마우가,0
[00:01:30] ,ability_2_used,15.97,1팀,SP1NT,벤데타,0
[00:01:30] ,ability_2_used,16.35,1팀,CheckMate,리퍼,0
[00:01:30] ,ability_2_used,16.46,1팀,ChiYo,루시우,0
[00:01:31] ,ability_2_used,16.77,2팀,HeeSang,시메트라,0
[00:01:31] ,ability_1_used,16.91,2팀,STALK3R,소전,0
[00:01:31] ,ability_1_used,17.06,2팀,CH0R0NG,루시우,0
[00:01:31] ,ability_1_used,17.70,1팀,SP1NT,벤데타,0
[00:01:32] ,ability_2_used,18.32,2팀,CH0R0NG,루시우,0
[00:01:33] ,ability_1_used,18.77,1팀,CheckMate,리퍼,0
[00:01:34] ,ability_2_used,19.86,1팀,Fielder,키리코,0
[00:01:34] ,ability_1_used,19.92,1팀,ChiYo,루시우,0
[00:01:34] ,ability_1_used,20.27,2팀,CH0R0NG,루시우,0
[00:01:34] ,ability_2_used,20.40,2팀,MAX,D.Va,0
[00:01:35] ,ability_1_used,21.33,1팀,ChiYo,루시우,0
[00:01:36] ,ability_1_used,22.11,2팀,MAX,D.Va,0
[00:01:37] ,ability_2_used,23.04,1팀,HanBin,마우가,0
[00:01:37] ,ability_1_used,23.44,1팀,ChiYo,루시우,0
[00:01:39] ,ability_1_used,25.25,2팀,STALK3R,소전,0
[00:01:39] ,offensive_assist,25.50,2팀,CH0R0NG,루시우,0
[00:01:39] ,defensive_assist,25.50,2팀,CH0R0NG,루시우,0
[00:01:39] ,****,25.50,2팀,HeeSang,시메트라,1팀,ChiYo,루시우,Secondary Fire,78.39,0,0
[00:01:40] ,defensive_assist,25.94,2팀,vigilante,키리코,0
[00:01:40] ,ability_2_used,26.38,1팀,SP1NT,벤데타,0
[00:01:40] ,ability_1_used,26.67,1팀,Fielder,키리코,0
[00:01:40] ,****,26.75,2팀,STALK3R,소전,1팀,Fielder,키리코,Secondary Fire,48.82,0,0
[00:01:41] ,offensive_assist,26.90,2팀,CH0R0NG,루시우,0
[00:01:41] ,defensive_assist,26.90,2팀,CH0R0NG,루시우,0
[00:01:41] ,ability_1_used,27.09,2팀,vigilante,키리코,0
[00:01:41] ,ability_1_used,27.20,1팀,HanBin,마우가,0
[00:01:41] ,ability_2_used,27.57,2팀,vigilante,키리코,0
[00:01:42] ,ability_2_used,28.14,2팀,STALK3R,소전,0
[00:01:42] ,ability_1_used,28.26,2팀,MAX,D.Va,0
[00:01:43] ,ability_2_used,29.39,2팀,MAX,D.Va,0
[00:01:43] ,ability_1_used,29.42,1팀,CheckMate,리퍼,0
[00:01:43] ,****,29.58,1팀,SP1NT,벤데타,2팀,STALK3R,소전,Primary Fire,89.46,0,0
[00:01:46] ,ability_1_used,31.78,1팀,SP1NT,벤데타,0
[00:01:46] ,****,31.94,2팀,vigilante,키리코,1팀,SP1NT,벤데타,0,5.08,0,0
[00:01:46] ,defensive_assist,32.05,2팀,vigilante,키리코,0
[00:01:47] ,ability_2_used,33.66,2팀,CH0R0NG,루시우,0
[00:01:48] ,****,34.27,2팀,vigilante,키리코,1팀,CheckMate,리퍼,0,28.77,True,0
[00:01:48] ,****,34.35,2팀,CH0R0NG,루시우,1팀,HanBin,마우가,Secondary Fire,10.01,0,0
[00:01:48] ,defensive_assist,34.42,2팀,CH0R0NG,루시우,0
[00:01:48] ,ability_1_used,34.66,2팀,MAX,D.Va,0
[00:01:49] ,ability_1_used,35.36,2팀,CH0R0NG,루시우,0
[00:01:51] ,ability_1_used,37.58,1팀,ChiYo,루시우,0
[00:01:54] ,ability_1_used,40.10,2팀,HeeSang,시메트라,0
[00:01:54] ,ability_1_used,40.58,2팀,STALK3R,소전,0
[00:01:54] ,ability_1_used,40.74,2팀,HeeSang,시메트라,0
[00:01:57] ,ability_2_used,43.68,1팀,ChiYo,루시우,0
[00:01:58] ,ability_2_used,43.86,2팀,HeeSang,시메트라,0
[00:01:58] ,hero_swap,44.02,1팀,CheckMate,트레이서,리퍼,44.02
[00:01:58] ,ability_1_used,44.50,1팀,CheckMate,트레이서,0
[00:01:58] ,ability_1_used,44.53,1팀,SP1NT,벤데타,0
[00:01:58] ,ability_1_used,44.58,1팀,HanBin,마우가,0
[00:01:59] ,hero_swap,45.54,1팀,CheckMate,시메트라,트레이서,1.52
[00:02:00] ,ability_2_used,46.67,2팀,MAX,D.Va,0
[00:02:02] ,ability_1_used,48.51,2팀,STALK3R,소전,0
[00:02:02] ,ability_1_used,48.54,1팀,ChiYo,루시우,0
[00:02:03] ,ability_2_used,48.86,2팀,CH0R0NG,루시우,0
[00:02:03] ,ability_1_used,49.20,2팀,HeeSang,시메트라,0
[00:02:03] ,ability_2_used,49.57,1팀,CheckMate,시메트라,0
