[00:00:00] ,match_start,0,할리우드,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,CheckMate,벤처,0,0
[00:00:09] ,hero_spawn,0,2팀,STALK3R,캐서디,0,0
[00:00:09] ,hero_spawn,0,1팀,ChiYo,일리아리,0,0
[00:00:14] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:14] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:21] ,hero_spawn,0,2팀,MAX,로드호그,0,0
[00:00:31] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:32] ,hero_spawn,0,2팀,vigilante,우양,0,0
[00:00:50] ,hero_swap,0,2팀,MAX,시그마,로드호그,0
[00:00:51] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:01:18] ,hero_swap,0,2팀,CH0R0NG,젠야타,루시우,0
[00:01:25] ,hero_swap,0,1팀,CheckMate,시메트라,벤처,0
[00:01:27] ,hero_swap,0,1팀,ChiYo,루시우,일리아리,0
[00:01:28] ,hero_spawn,0,1팀,SP1NT,캐서디,0,0
[00:01:29] ,hero_swap,0,1팀,HanBin,라마트라,D.Va,0
[00:01:35] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,젠야타,0
[00:01:57] ,hero_swap,0,2팀,CH0R0NG,브리기테,제트팩 캣,0
[00:02:21] ,hero_swap,0,2팀,vigilante,바티스트,우양,0
[00:02:28] ,ability_1_used,0,1팀,ChiYo,루시우,0
[00:02:28] ,setup_complete,0,1,239.99
[00:02:30] ,ability_2_used,2.43,1팀,CheckMate,시메트라,0
[00:02:30] ,ability_1_used,2.69,2팀,STALK3R,캐서디,0
[00:02:31] ,ability_1_used,2.83,1팀,ChiYo,루시우,0
[00:02:31] ,hero_swap,2.96,2팀,CH0R0NG,루시우,브리기테,2.96
[00:02:31] ,ability_1_used,2.96,2팀,CH0R0NG,루시우,0
[00:02:31] ,ability_2_used,3.71,1팀,HanBin,라마트라,0
[00:02:31] ,ability_1_used,3.71,1팀,Fielder,키리코,0
[00:02:32] ,ability_1_used,4.32,1팀,ChiYo,루시우,0
[00:02:37] ,ability_1_used,9.30,1팀,ChiYo,루시우,0
[00:02:37] ,ability_1_used,9.74,2팀,STALK3R,캐서디,0
[00:02:40] ,ability_1_used,12.05,1팀,ChiYo,루시우,0
[00:02:41] ,ability_2_used,12.83,2팀,HeeSang,시메트라,0
[00:02:42] ,ability_1_used,13.76,1팀,ChiYo,루시우,0
[00:02:43] ,ability_1_used,15.70,1팀,CheckMate,시메트라,0
[00:02:44] ,ability_2_used,15.97,2팀,MAX,시그마,0
[00:02:45] ,ability_1_used,16.80,1팀,ChiYo,루시우,0
[00:02:45] ,ability_1_used,17.44,1팀,SP1NT,캐서디,0
[00:02:46] ,ability_2_used,18.08,1팀,SP1NT,캐서디,0
[00:02:46] ,ability_2_used,18.46,2팀,CH0R0NG,루시우,0
[00:02:46] ,ability_1_used,18.74,1팀,ChiYo,루시우,0
[00:02:46] ,ability_2_used,18.75,1팀,ChiYo,루시우,0
[00:02:47] ,ability_2_used,19.17,1팀,CheckMate,시메트라,0
[00:02:47] ,ability_1_used,19.52,2팀,HeeSang,시메트라,0
[00:02:48] ,ability_1_used,20.40,2팀,HeeSang,시메트라,0
[00:02:49] ,ability_1_used,20.91,1팀,HanBin,라마트라,0
[00:02:49] ,****,21.26,2팀,MAX,시그마,1팀,SP1NT,캐서디,Primary Fire,52.24,0,0
[00:02:49] ,defensive_assist,21.26,2팀,CH0R0NG,루시우,0
[00:02:49] ,defensive_assist,21.30,2팀,vigilante,바티스트,0
[00:02:49] ,ability_2_used,21.34,1팀,Fielder,키리코,0
[00:02:50] ,ability_1_used,22.72,2팀,MAX,시그마,0
[00:02:50] ,ability_1_used,22.75,2팀,CH0R0NG,루시우,0
[00:02:51] ,ability_1_used,23.25,1팀,ChiYo,루시우,0
[00:02:52] ,ability_2_used,24.54,2팀,STALK3R,캐서디,0
[00:02:53] ,ability_1_used,25.62,2팀,vigilante,바티스트,0
[00:02:53] ,ability_1_used,25.70,2팀,HeeSang,시메트라,0
[00:02:54] ,****,25.94,2팀,STALK3R,캐서디,1팀,ChiYo,루시우,Primary Fire,60.97,0,0
[00:02:54] ,defensive_assist,25.98,2팀,CH0R0NG,루시우,0
[00:02:54] ,defensive_assist,26.00,2팀,vigilante,바티스트,0
[00:02:54] ,ability_1_used,26.30,1팀,Fielder,키리코,0
[00:02:54] ,ability_2_used,26.54,1팀,HanBin,라마트라,0
[00:02:55] ,ability_1_used,26.99,2팀,STALK3R,캐서디,0
[00:02:55] ,****,27.23,2팀,HeeSang,시메트라,1팀,CheckMate,시메트라,Primary Fire,31.56,0,0
[00:02:55] ,defensive_assist,27.39,2팀,CH0R0NG,루시우,0
[00:02:55] ,defensive_assist,27.41,2팀,vigilante,바티스트,0
[00:02:56] ,ability_2_used,28.70,2팀,vigilante,바티스트,0
[00:02:57] ,****,28.80,2팀,MAX,시그마,1팀,Fielder,키리코,Primary Fire,23.95,0,0
[00:02:57] ,defensive_assist,28.82,2팀,vigilante,바티스트,0
[00:02:57] ,ability_2_used,28.82,2팀,MAX,시그마,0
[00:02:57] ,****,28.96,2팀,CH0R0NG,루시우,1팀,HanBin,라마트라,Melee,23.98,0,0
