[00:00:00] ,match_start,0,남극 반도,쟁탈,1팀,2팀
[00:00:00] ,objective_updated,0,1,0,2
[00:00:01] ,round_start,0,1,0,0,0,2
[00:00:11] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:19] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:23] ,hero_spawn,0,2팀,STALK3R,둠피스트,0,0
[00:00:23] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:25] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:26] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:35] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:39] ,hero_swap,0,2팀,vigilante,아나,키리코,0
[00:00:40] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:42] ,hero_swap,0,1팀,ChiYo,미즈키,브리기테,0
[00:00:42] ,hero_spawn,0,2팀,MAX,시그마,0,0
[00:00:46] ,hero_swap,0,1팀,ChiYo,루시우,미즈키,0
[00:00:46] ,hero_swap,0,2팀,STALK3R,프레야,둠피스트,0
[00:00:50] ,hero_swap,0,1팀,SP1NT,시메트라,트레이서,0
[00:00:55] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:57] ,hero_swap,0,1팀,MER1T,소전,프레야,0
[00:00:58] ,hero_swap,0,1팀,MER1T,프레야,소전,0
[00:01:01] ,hero_swap,0,1팀,MER1T,소전,프레야,0
[00:01:05] ,hero_swap,0,1팀,MER1T,프레야,소전,0
[00:01:08] ,hero_swap,0,1팀,Fielder,미즈키,키리코,0
[00:01:17] ,hero_swap,0,2팀,vigilante,미즈키,아나,0
[00:01:31] ,hero_swap,0,2팀,vigilante,주노,미즈키,0
[00:01:35] ,hero_swap,0,2팀,CH0R0NG,모이라,루시우,0
[00:01:36] ,hero_swap,0,2팀,CH0R0NG,미즈키,모이라,0
[00:01:50] ,hero_swap,0,1팀,ChiYo,브리기테,루시우,0
[00:01:51] ,hero_swap,0,1팀,Fielder,키리코,미즈키,0
[00:01:52] ,setup_complete,0,1,29.99
[00:01:52] ,ability_2_used,0.02,2팀,HeeSang,시메트라,0
[00:01:53] ,ability_2_used,1.02,1팀,SP1NT,시메트라,0
[00:01:55] ,ability_1_used,2.74,2팀,STALK3R,프레야,0
[00:01:55] ,ability_1_used,3.10,1팀,MER1T,프레야,0
[00:01:56] ,hero_swap,3.20,1팀,SP1NT,트레이서,시메트라,3.20
[00:01:56] ,ability_1_used,3.57,1팀,SP1NT,트레이서,0
[00:01:56] ,ability_1_used,3.74,1팀,SP1NT,트레이서,0
[00:01:56] ,ability_1_used,3.92,1팀,SP1NT,트레이서,0
[00:01:56] ,ability_1_used,4.03,2팀,HeeSang,시메트라,0
[00:01:57] ,hero_swap,5.14,2팀,vigilante,키리코,주노,5.14
[00:01:58] ,ability_2_used,5.31,2팀,STALK3R,프레야,0
[00:01:58] ,ability_1_used,5.73,2팀,HeeSang,시메트라,0
[00:01:58] ,ability_2_used,6.18,1팀,MER1T,프레야,0
[00:01:58] ,ability_1_used,6.18,2팀,vigilante,키리코,0
[00:01:59] ,ability_1_used,6.32,2팀,STALK3R,프레야,0
[00:02:00] ,ability_1_used,7.28,1팀,MER1T,프레야,0
[00:02:00] ,ability_2_used,7.87,1팀,ChiYo,브리기테,0
[00:02:01] ,ability_1_used,8.75,2팀,HeeSang,시메트라,0
[00:02:01] ,ability_2_used,8.77,1팀,ChiYo,브리기테,0
[00:02:02] ,ability_1_used,9.74,2팀,STALK3R,프레야,0
[00:02:03] ,ability_2_used,10.98,1팀,ChiYo,브리기테,0
[00:02:04] ,ability_1_used,12.16,1팀,MER1T,프레야,0
[00:02:06] ,ability_2_used,13.20,1팀,ChiYo,브리기테,0
[00:02:06] ,ability_1_used,13.49,1팀,SP1NT,트레이서,0
[00:02:08] ,ability_2_used,15.47,2팀,STALK3R,프레야,0
[00:02:08] ,ability_1_used,15.73,1팀,ChiYo,브리기테,0
[00:02:09] ,ability_1_used,16.24,2팀,STALK3R,프레야,0
[00:02:10] ,ability_1_used,17.22,2팀,STALK3R,프레야,0
[00:02:10] ,ability_1_used,17.36,1팀,MER1T,프레야,0
[00:02:10] ,ability_2_used,18.03,2팀,HeeSang,시메트라,0
[00:02:10] ,ability_1_used,18.11,1팀,SP1NT,트레이서,0
[00:02:12] ,ability_1_used,19.58,1팀,MER1T,프레야,0
[00:02:13] ,ability_1_used,21.09,2팀,CH0R0NG,미즈키,0
[00:02:14] ,ability_1_used,21.79,1팀,SP1NT,트레이서,0
[00:02:15] ,ability_1_used,22.85,2팀,HeeSang,시메트라,0
[00:02:15] ,ability_1_used,23.10,1팀,ChiYo,브리기테,0
[00:02:16] ,ability_1_used,23.50,2팀,STALK3R,프레야,0
[00:02:17] ,ability_1_used,24.29,1팀,SP1NT,트레이서,0
[00:02:17] ,ability_1_used,24.45,1팀,MER1T,프레야,0
[00:02:19] ,ability_2_used,26.66,1팀,ChiYo,브리기테,0
[00:02:21] ,ability_1_used,28.38,1팀,MER1T,프레야,0
[00:02:23] ,ability_1_used,30.38,2팀,STALK3R,프레야,0
[00:02:23] ,ability_2_used,31.12,2팀,HeeSang,시메트라,0
[00:02:25] ,ability_2_used,32.38,1팀,ChiYo,브리기테,0
