[00:00:00] ,match_start,0,아틀리스,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:09] ,hero_spawn,0,1팀,CheckMate,겐지,0,0
[00:00:11] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:15] ,hero_spawn,0,2팀,HeeSang,토르비욘,0,0
[00:00:16] ,hero_spawn,0,1팀,Someone,마우가,0,0
[00:00:23] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:24] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:25] ,hero_swap,0,1팀,Someone,라마트라,마우가,0
[00:00:34] ,hero_spawn,0,2팀,STALK3R,파라,0,0
[00:00:36] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:38] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:40] ,hero_swap,0,1팀,MER1T,소전,프레야,0
[00:00:41] ,hero_swap,0,1팀,CheckMate,트레이서,겐지,0
[00:00:41] ,hero_swap,0,2팀,STALK3R,시온,파라,0
[00:00:50] ,hero_swap,0,2팀,HeeSang,시메트라,토르비욘,0
[00:00:52] ,hero_swap,0,1팀,CheckMate,시메트라,트레이서,0
[00:01:16] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:01:32] ,ability_2_used,0,2팀,HeeSang,시메트라,0
[00:01:32] ,setup_complete,0,1,29.99
[00:01:32] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:33] ,ability_2_used,0.93,1팀,CheckMate,시메트라,0
[00:01:34] ,hero_swap,2.48,2팀,HeeSang,트레이서,시메트라,2.48
[00:01:35] ,hero_swap,2.88,1팀,CheckMate,트레이서,시메트라,2.88
[00:01:35] ,ability_1_used,3.20,1팀,CheckMate,트레이서,0
[00:01:35] ,ability_1_used,3.28,2팀,STALK3R,시온,0
[00:01:35] ,ability_1_used,3.36,1팀,CheckMate,트레이서,0
[00:01:35] ,ability_1_used,3.50,2팀,HeeSang,트레이서,0
[00:01:35] ,ability_1_used,3.50,1팀,CheckMate,트레이서,0
[00:01:35] ,ability_1_used,3.65,2팀,HeeSang,트레이서,0
[00:01:35] ,ability_2_used,3.68,2팀,STALK3R,시온,0
[00:01:36] ,ability_2_used,3.84,2팀,CH0R0NG,루시우,0
[00:01:36] ,ability_1_used,3.95,1팀,MER1T,소전,0
[00:01:39] ,ability_1_used,7.60,2팀,CH0R0NG,루시우,0
[00:01:40] ,ability_1_used,8.14,1팀,CheckMate,트레이서,0
[00:01:41] ,ability_1_used,9.38,2팀,HeeSang,트레이서,0
[00:01:43] ,ability_1_used,11.15,1팀,ChiYo,브리기테,0
[00:01:43] ,ability_1_used,11.25,2팀,vigilante,키리코,0
[00:01:43] ,****,11.42,1팀,ChiYo,브리기테,2팀,STALK3R,시온,Ability 1,64.57,0,0
[00:01:44] ,ability_1_used,12.37,1팀,Someone,라마트라,0
[00:01:45] ,ability_2_used,12.94,1팀,Someone,라마트라,0
[00:01:45] ,ability_2_used,13.06,1팀,ChiYo,브리기테,0
[00:01:45] ,ability_1_used,13.31,2팀,MAX,라마트라,0
[00:01:45] ,ability_2_used,13.39,2팀,vigilante,키리코,0
[00:01:45] ,ability_1_used,13.76,2팀,CH0R0NG,루시우,0
[00:01:46] ,ability_1_used,13.79,1팀,MER1T,소전,0
[00:01:46] ,ability_2_used,14.62,1팀,MER1T,소전,0
[00:01:47] ,ability_1_used,14.86,2팀,HeeSang,트레이서,0
[00:01:47] ,ability_2_used,15.52,1팀,ChiYo,브리기테,0
[00:01:47] ,****,15.78,1팀,MER1T,소전,2팀,vigilante,키리코,Primary Fire,6.24,0,0
[00:01:48] ,defensive_assist,15.98,1팀,Fielder,키리코,0
[00:01:48] ,ability_2_used,16.46,2팀,MAX,라마트라,0
[00:01:49] ,ability_1_used,17.10,2팀,HeeSang,트레이서,0
[00:01:50] ,ability_1_used,18.18,1팀,CheckMate,트레이서,0
[00:01:50] ,ability_2_used,18.19,1팀,Fielder,키리코,0
[00:01:50] ,ability_2_used,18.22,1팀,ChiYo,브리기테,0
[00:01:50] ,ability_1_used,18.30,1팀,CheckMate,트레이서,0
[00:01:51] ,ability_1_used,18.83,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_1_used,18.93,2팀,HeeSang,트레이서,0
[00:01:51] ,****,19.06,1팀,MER1T,소전,2팀,MAX,라마트라,Primary Fire,0.81,0,0
[00:01:51] ,defensive_assist,19.28,1팀,Fielder,키리코,0
[00:01:51] ,offensive_assist,19.33,1팀,Someone,라마트라,0
[00:01:51] ,defensive_assist,19.36,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_1_used,19.44,2팀,HeeSang,트레이서,0
[00:01:51] ,ability_2_used,19.50,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_1_used,19.60,1팀,CheckMate,트레이서,0
[00:01:52] ,****,20.13,1팀,Fielder,키리코,2팀,HeeSang,트레이서,0,105.88,True,0
[00:01:53] ,ability_1_used,20.85,1팀,Fielder,키리코,0
[00:01:53] ,ability_2_used,20.86,2팀,CH0R0NG,루시우,0
[00:01:54] ,****,22.02,1팀,Someone,라마트라,2팀,CH0R0NG,루시우,0,1.43,0,0
[00:01:54] ,defensive_assist,22.18,1팀,ChiYo,브리기테,0
[00:01:55] ,ability_2_used,23.68,1팀,ChiYo,브리기테,0
[00:01:57] ,hero_swap,25.01,2팀,STALK3R,소전,시온,25.01
[00:01:59] ,ability_1_used,27.52,1팀,CheckMate,트레이서,0
[00:01:59] ,ability_1_used,27.66,1팀,CheckMate,트레이서,0
[00:02:00] ,ability_1_used,28.62,1팀,CheckMate,트레이서,0
[00:02:01] ,ability_2_used,29.22,1팀,CheckMate,트레이서,0
[00:02:02] ,ability_2_used,30.11,1팀,Someone,라마트라,0
[00:02:03] ,ability_1_used,31.14,2팀,CH0R0NG,루시우,0
[00:02:04] ,point_progress,31.79,1,2팀,0,33.49
[00:02:04] ,ability_1_used,31.92,2팀,HeeSang,트레이서,0
[00:02:05] ,ability_2_used,33.12,1팀,MER1T,소전,0
[00:02:05] ,point_progress,33.57,1,2팀,0,66.79
[00:02:07] ,ability_1_used,34.93,2팀,STALK3R,소전,0
[00:02:07] ,objective_captured,35.34,1,1팀,0,0.02,0,0
[00:02:07] ,ability_1_used,35.62,1팀,Fielder,키리코,0
[00:02:08] ,ability_1_used,35.95,2팀,HeeSang,트레이서,0
[00:02:08] ,ability_2_used,36.18,2팀,CH0R0NG,루시우,0
[00:02:09] ,ability_2_used,37.04,1팀,ChiYo,브리기테,0
[00:02:09] ,ability_1_used,37.62,2팀,HeeSang,트레이서,0
[00:02:14] ,ability_1_used,41.90,1팀,ChiYo,브리기테,0
[00:02:15] ,ability_1_used,43.25,2팀,CH0R0NG,루시우,0
[00:02:15] ,ability_2_used,43.50,1팀,ChiYo,브리기테,0
[00:02:16] ,ability_1_used,43.87,2팀,HeeSang,트레이서,0
[00:02:16] ,ability_1_used,43.90,1팀,CheckMate,트레이서,0
[00:02:16] ,ability_2_used,44.32,1팀,Someone,라마트라,0
[00:02:16] ,ability_1_used,44.58,2팀,HeeSang,트레이서,0
[00:02:16] ,ability_2_used,44.78,2팀,STALK3R,소전,0
[00:02:19] ,ability_1_used,46.96,2팀,MAX,라마트라,0
[00:02:19] ,ability_1_used,47.55,1팀,Someone,라마트라,0
[00:02:19] ,ability_1_used,47.70,1팀,ChiYo,브리기테,0
[00:02:20] ,ability_1_used,48.26,2팀,HeeSang,트레이서,0
[00:02:20] ,ability_2_used,48.75,2팀,MAX,라마트라,0
[00:02:21] ,ability_2_used,49.65,1팀,ChiYo,브리기테,0
[00:02:21] ,ability_1_used,49.65,2팀,CH0R0NG,루시우,0
[00:02:22] ,ability_2_used,49.94,1팀,MER1T,소전,0
[00:02:22] ,ability_1_used,50.27,1팀,CheckMate,트레이서,0
[00:02:23] ,ability_2_used,50.91,1팀,ChiYo,브리기테,0
[00:02:23] ,ability_1_used,51.01,2팀,HeeSang,트레이서,0
[00:02:23] ,ability_1_used,51.58,2팀,CH0R0NG,루시우,0
[00:02:24] ,ability_1_used,52.40,1팀,CheckMate,트레이서,0
[00:02:24] ,ability_1_used,52.78,2팀,HeeSang,트레이서,0
[00:02:25] ,ability_1_used,52.88,1팀,CheckMate,트레이서,0
[00:02:25] ,ability_1_used,53.37,1팀,CheckMate,트레이서,0
[00:02:26] ,ability_1_used,53.81,1팀,ChiYo,브리기테,0
[00:02:26] ,ability_1_used,54.05,2팀,HeeSang,트레이서,0
[00:02:26] ,ability_1_used,54.19,1팀,MER1T,소전,0
[00:02:26] ,ability_2_used,54.56,1팀,ChiYo,브리기테,0
[00:02:27] ,ability_1_used,55.55,2팀,STALK3R,소전,0
[00:02:28] ,ability_2_used,55.89,2팀,CH0R0NG,루시우,0
[00:02:28] ,ability_2_used,55.98,2팀,vigilante,키리코,0
[00:02:28] ,ability_2_used,56.54,1팀,ChiYo,브리기테,0
[00:02:28] ,ability_2_used,56.56,1팀,Fielder,키리코,0
[00:02:29] ,ability_2_used,57.25,1팀,Someone,라마트라,0
[00:02:30] ,ability_2_used,58.19,2팀,HeeSang,트레이서,0
[00:02:30] ,ability_1_used,58.30,1팀,CheckMate,트레이서,0
[00:02:31] ,ability_1_used,58.86,2팀,vigilante,키리코,0
[00:02:32] ,****,60.53,2팀,STALK3R,소전,1팀,CheckMate,트레이서,Secondary Fire,157,True,0
[00:02:32] ,defensive_assist,60.64,2팀,vigilante,키리코,0
[00:02:33] ,ability_2_used,61.26,2팀,MAX,라마트라,0
[00:02:34] ,ability_1_used,62.14,1팀,MER1T,소전,0
[00:02:34] ,ability_1_used,62.27,1팀,ChiYo,브리기테,0
[00:02:34] ,****,62.37,2팀,CH0R0NG,루시우,1팀,ChiYo,브리기테,Primary Fire,3.77,0,0
[00:02:34] ,defensive_assist,62.62,2팀,CH0R0NG,루시우,0
[00:02:35] ,ability_1_used,63.10,2팀,HeeSang,트레이서,0
[00:02:35] ,ability_1_used,63.20,2팀,STALK3R,소전,0
[00:02:35] ,ability_1_used,63.26,2팀,HeeSang,트레이서,0
[00:02:35] ,****,63.36,1팀,MER1T,소전,2팀,vigilante,키리코,Secondary Fire,30.16,True,0
[00:02:35] ,offensive_assist,63.47,1팀,Someone,라마트라,0
[00:02:35] ,defensive_assist,63.50,1팀,Fielder,키리코,0
[00:02:36] ,ability_1_used,64.49,2팀,MAX,라마트라,0
[00:02:36] ,ability_1_used,64.73,2팀,HeeSang,트레이서,0
[00:02:36] ,ability_1_used,64.75,1팀,Someone,라마트라,0
[00:02:37] ,****,64.86,2팀,STALK3R,소전,1팀,MER1T,소전,Secondary Fire,58.56,0,0
[00:02:37] ,offensive_assist,65.01,2팀,MAX,라마트라,0
[00:02:37] ,ability_1_used,65.55,1팀,Fielder,키리코,0
[00:02:38] ,ability_1_used,66.43,2팀,CH0R0NG,루시우,0
[00:02:39] ,ability_1_used,67.31,2팀,HeeSang,트레이서,0
[00:02:39] ,ability_2_used,67.34,2팀,STALK3R,소전,0
[00:02:40] ,****,68.19,2팀,HeeSang,트레이서,1팀,Fielder,키리코,Primary Fire,4.92,0,0
[00:02:40] ,offensive_assist,68.27,2팀,CH0R0NG,루시우,0
[00:02:42] ,ability_1_used,69.81,2팀,HeeSang,트레이서,0
[00:02:43] ,ability_2_used,71.18,2팀,CH0R0NG,루시우,0
[00:02:43] ,ability_1_used,71.25,2팀,CH0R0NG,루시우,0
[00:02:43] ,****,71.52,1팀,Someone,라마트라,2팀,HeeSang,트레이서,Ability 1,45,0,0
[00:02:44] ,ability_2_used,72.57,1팀,Someone,라마트라,0
[00:02:45] ,ability_1_used,73.18,1팀,CheckMate,트레이서,0
[00:02:45] ,ability_1_used,73.18,1팀,MER1T,소전,0
[00:02:45] ,ability_1_used,73.68,1팀,CheckMate,트레이서,0
[00:02:47] ,****,74.99,2팀,MAX,라마트라,1팀,Someone,라마트라,0,1.81,True,0
[00:02:47] ,offensive_assist,75.31,2팀,CH0R0NG,루시우,0
[00:02:48] ,ability_1_used,76.57,2팀,STALK3R,소전,0
[00:02:48] ,point_progress,76.70,1,2팀,0,33.39
[00:02:51] ,ability_1_used,79.21,2팀,vigilante,키리코,0
[00:02:51] ,point_progress,79.37,1,2팀,0,66.79
[00:02:54] ,point_progress,82.03,1,2팀,0,99.99
[00:02:54] ,objective_captured,82.04,1,2팀,0,66.72,0.02,0
[00:02:54] ,ability_1_used,82.24,2팀,HeeSang,트레이서,0
[00:02:54] ,ability_1_used,82.35,2팀,MAX,라마트라,0
[00:02:54] ,ability_1_used,82.40,2팀,HeeSang,트레이서,0
[00:02:57] ,ability_2_used,85.61,1팀,ChiYo,브리기테,0
[00:02:57] ,ability_1_used,85.76,1팀,Fielder,키리코,0
[00:02:58] ,ability_1_used,86.65,1팀,ChiYo,브리기테,0
[00:02:58] ,ability_1_used,86.67,2팀,STALK3R,소전,0
[00:02:59] ,ability_1_used,87.08,2팀,HeeSang,트레이서,0
[00:02:59] ,ability_2_used,87.50,2팀,STALK3R,소전,0
[00:02:59] ,ability_2_used,87.64,1팀,ChiYo,브리기테,0
[00:03:00] ,ability_1_used,87.90,1팀,CheckMate,트레이서,0
[00:03:02] ,ability_2_used,90.44,2팀,MAX,라마트라,0
[00:03:02] ,ability_1_used,90.72,2팀,CH0R0NG,루시우,0
[00:03:03] ,ability_1_used,91.40,2팀,HeeSang,트레이서,0
[00:03:05] ,ability_1_used,93.37,1팀,ChiYo,브리기테,0
[00:03:08] ,ability_1_used,95.90,2팀,CH0R0NG,루시우,0
[00:03:09] ,ability_1_used,96.94,2팀,HeeSang,트레이서,0
[00:03:10] ,ability_1_used,98.51,1팀,MER1T,소전,0
[00:03:12] ,ability_1_used,100.30,1팀,CheckMate,트레이서,0
[00:03:12] ,ability_2_used,100.70,1팀,ChiYo,브리기테,0
[00:03:13] ,ability_1_used,100.88,2팀,HeeSang,트레이서,0
[00:03:13] ,ability_2_used,100.97,1팀,Someone,라마트라,0
[00:03:14] ,ability_2_used,101.93,1팀,ChiYo,브리기테,0
[00:03:14] ,ability_1_used,102.28,2팀,STALK3R,소전,0
[00:03:14] ,ability_2_used,102.49,2팀,CH0R0NG,루시우,0
[00:03:14] ,ability_1_used,102.52,1팀,Someone,라마트라,0
[00:03:14] ,ability_1_used,102.78,1팀,CheckMate,트레이서,0
[00:03:15] ,ability_1_used,102.88,2팀,CH0R0NG,루시우,0
[00:03:15] ,ability_1_used,103.28,2팀,MAX,라마트라,0
[00:03:15] ,ability_1_used,103.29,2팀,HeeSang,트레이서,0
[00:03:15] ,ability_2_used,103.36,2팀,STALK3R,소전,0
[00:03:16] ,ultimate_charged,104.28,1팀,Someone,라마트라,0,1
[00:03:16] ,ability_2_used,104.51,2팀,MAX,라마트라,0
[00:03:16] ,ability_1_used,104.62,2팀,CH0R0NG,루시우,0
[00:03:17] ,ability_1_used,105.00,1팀,CheckMate,트레이서,0
[00:03:18] ,ability_1_used,105.80,1팀,CheckMate,트레이서,0
[00:03:18] ,ability_2_used,106.46,1팀,CheckMate,트레이서,0
[00:03:18] ,ability_2_used,106.51,1팀,MER1T,소전,0
[00:03:18] ,ultimate_charged,106.65,2팀,HeeSang,트레이서,0,1
[00:03:19] ,ability_2_used,107.24,1팀,ChiYo,브리기테,0
[00:03:19] ,ability_1_used,107.55,1팀,ChiYo,브리기테,0
[00:03:20] ,ability_2_used,108.36,1팀,ChiYo,브리기테,0
[00:03:22] ,ultimate_charged,110.57,1팀,Fielder,키리코,0,1
[00:03:23] ,ability_2_used,110.97,1팀,ChiYo,브리기테,0
[00:03:24] ,ability_1_used,112.30,2팀,CH0R0NG,루시우,0
[00:03:24] ,ability_1_used,112.33,1팀,CheckMate,트레이서,0
[00:03:25] ,ability_1_used,113.51,2팀,HeeSang,트레이서,0
[00:03:27] ,ability_1_used,115.31,2팀,HeeSang,트레이서,0
[00:03:27] ,ability_1_used,115.56,1팀,CheckMate,트레이서,0
[00:03:28] ,ability_1_used,116.12,2팀,HeeSang,트레이서,0
[00:03:29] ,****,117.15,2팀,STALK3R,소전,1팀,CheckMate,트레이서,Secondary Fire,88.12,0,0
[00:03:29] ,ability_2_used,117.21,1팀,Someone,라마트라,0
[00:03:30] ,****,118.20,1팀,MER1T,소전,2팀,HeeSang,트레이서,Primary Fire,6.38,0,0
[00:03:30] ,ultimate_charged,118.38,2팀,MAX,라마트라,0,1
[00:03:30] ,ability_1_used,118.62,2팀,CH0R0NG,루시우,0
[00:03:31] ,ultimate_start,119.72,1팀,Fielder,키리코,0,1
[00:03:31] ,ability_1_used,119.75,1팀,Someone,라마트라,0
[00:03:32] ,ability_1_used,119.80,2팀,STALK3R,소전,0
[00:03:32] ,ability_1_used,119.99,2팀,MAX,라마트라,0
[00:03:32] ,ability_2_used,120.27,1팀,ChiYo,브리기테,0
[00:03:32] ,ability_2_used,120.76,2팀,CH0R0NG,루시우,0
[00:03:33] ,ability_1_used,121.13,1팀,MER1T,소전,0
[00:03:33] ,ability_2_used,121.34,2팀,MAX,라마트라,0
[00:03:34] ,ability_1_used,121.90,1팀,ChiYo,브리기테,0
[00:03:34] ,ability_1_used,122.12,1팀,Fielder,키리코,0
[00:03:34] ,ability_1_used,122.27,2팀,CH0R0NG,루시우,0
[00:03:34] ,ultimate_start,122.52,1팀,Someone,라마트라,0,1
[00:03:34] ,ability_2_used,122.59,2팀,STALK3R,소전,0
[00:03:34] ,****,122.68,1팀,ChiYo,브리기테,2팀,CH0R0NG,루시우,Primary Fire,15.51,0,0
[00:03:34] ,offensive_assist,122.73,1팀,Fielder,키리코,0
[00:03:35] ,ability_2_used,122.95,1팀,Fielder,키리코,0
[00:03:35] ,defensive_assist,123.15,1팀,ChiYo,브리기테,0
[00:03:35] ,ability_2_used,123.27,1팀,ChiYo,브리기테,0
[00:03:35] ,ultimate_charged,123.69,2팀,vigilante,키리코,0,1
[00:03:35] ,ability_2_used,123.69,1팀,MER1T,소전,0
[00:03:36] ,ultimate_start,124.78,2팀,vigilante,키리코,0,1
[00:03:37] ,ultimate_charged,125.34,1팀,ChiYo,브리기테,0,1
[00:03:38] ,ultimate_charged,126.06,1팀,MER1T,소전,0,1
[00:03:38] ,ability_2_used,126.15,2팀,vigilante,키리코,0
[00:03:38] ,ability_2_used,126.43,1팀,Someone,라마트라,0
[00:03:39] ,ability_1_used,127.66,1팀,ChiYo,브리기테,0
[00:03:40] ,ability_1_used,127.79,1팀,CheckMate,트레이서,0
[00:03:40] ,ability_1_used,127.93,1팀,CheckMate,트레이서,0
[00:03:40] ,ability_1_used,128.04,1팀,CheckMate,트레이서,0
[00:03:40] ,ultimate_start,128.15,1팀,MER1T,소전,0,1
[00:03:40] ,ultimate_start,128.30,2팀,MAX,라마트라,0,1
[00:03:40] ,ability_2_used,128.52,1팀,ChiYo,브리기테,0
[00:03:40] ,ability_1_used,128.63,2팀,STALK3R,소전,0
[00:03:41] ,****,129.53,1팀,Someone,라마트라,2팀,STALK3R,소전,Ability 2,0.83,0,0
[00:03:41] ,offensive_assist,129.75,1팀,Fielder,키리코,0
[00:03:41] ,defensive_assist,129.75,1팀,Fielder,키리코,0
[00:03:42] ,defensive_assist,129.79,1팀,ChiYo,브리기테,0
[00:03:42] ,ability_1_used,130.23,2팀,CH0R0NG,루시우,0
[00:03:42] ,****,130.28,1팀,Someone,라마트라,2팀,vigilante,키리코,Ultimate,64.07,0,0
[00:03:42] ,ability_2_used,130.36,1팀,ChiYo,브리기테,0
[00:03:42] ,****,130.63,1팀,MER1T,소전,2팀,MAX,라마트라,Primary Fire,0.02,0,0
[00:03:42] ,ultimate_end,130.63,2팀,MAX,라마트라,0,1
[00:03:42] ,offensive_assist,130.70,1팀,Someone,라마트라,0
[00:03:42] ,offensive_assist,130.71,1팀,ChiYo,브리기테,0
[00:03:42] ,defensive_assist,130.71,1팀,ChiYo,브리기테,0
[00:03:42] ,defensive_assist,130.71,1팀,ChiYo,브리기테,0
[00:03:42] ,offensive_assist,130.73,1팀,Fielder,키리코,0
[00:03:42] ,offensive_assist,130.73,1팀,Fielder,키리코,0
[00:03:42] ,defensive_assist,130.73,1팀,Fielder,키리코,0
[00:03:42] ,defensive_assist,130.73,1팀,Fielder,키리코,0
[00:03:43] ,ability_1_used,130.83,2팀,HeeSang,트레이서,0
[00:03:43] ,ultimate_end,130.92,1팀,Fielder,키리코,0,1
[00:03:43] ,ability_1_used,131.02,2팀,HeeSang,트레이서,0
[00:03:43] ,ultimate_end,131.39,1팀,Someone,라마트라,0,1
[00:03:44] ,ability_2_used,131.85,1팀,ChiYo,브리기테,0
[00:03:44] ,point_progress,131.96,1,2팀,0,33.35
[00:03:44] ,ability_1_used,132.32,1팀,CheckMate,트레이서,0
[00:03:45] ,ability_1_used,133.31,1팀,MER1T,소전,0
[00:03:45] ,point_progress,133.31,1,2팀,0,66.95
[00:03:46] ,objective_captured,134.64,1,1팀,0,66.74,75.13,0
[00:03:48] ,ultimate_end,135.98,2팀,vigilante,키리코,0,1
[00:03:48] ,ability_1_used,136.08,1팀,Fielder,키리코,0
[00:03:49] ,ultimate_end,136.89,1팀,MER1T,소전,0,1
[00:03:50] ,ability_1_used,138.09,1팀,CheckMate,트레이서,0
[00:03:50] ,ability_1_used,138.29,1팀,CheckMate,트레이서,0
[00:03:54] ,ability_1_used,142.11,2팀,MAX,라마트라,0
[00:03:54] ,ability_1_used,142.14,2팀,STALK3R,소전,0
[00:03:58] ,ability_2_used,145.87,1팀,MER1T,소전,0
[00:03:58] ,ability_1_used,146.29,2팀,HeeSang,트레이서,0
[00:04:00] ,ability_2_used,148.64,2팀,CH0R0NG,루시우,0
[00:04:01] ,ability_2_used,149.55,1팀,Someone,라마트라,0
[00:04:02] ,ultimate_charged,149.95,2팀,STALK3R,소전,0,1
[00:04:03] ,ability_1_used,151.15,2팀,CH0R0NG,루시우,0
[00:04:03] ,ultimate_charged,151.25,2팀,CH0R0NG,루시우,0,1
[00:04:03] ,ability_1_used,151.31,2팀,STALK3R,소전,0
[00:04:04] ,ability_1_used,152.28,2팀,HeeSang,트레이서,0
[00:04:04] ,ability_1_used,152.60,1팀,CheckMate,트레이서,0
[00:04:05] ,ability_1_used,152.85,2팀,HeeSang,트레이서,0
[00:04:06] ,ultimate_charged,154.10,1팀,CheckMate,트레이서,0,1
[00:04:06] ,ability_2_used,154.24,1팀,ChiYo,브리기테,0
[00:04:06] ,ability_1_used,154.79,1팀,CheckMate,트레이서,0
[00:04:07] ,ability_2_used,154.84,2팀,STALK3R,소전,0
[00:04:07] ,ability_2_used,155.22,2팀,MAX,라마트라,0
[00:04:08] ,ability_1_used,155.84,1팀,CheckMate,트레이서,0
[00:04:08] ,ability_1_used,155.96,2팀,HeeSang,트레이서,0
[00:04:08] ,ability_1_used,156.45,2팀,HeeSang,트레이서,0
[00:04:09] ,ability_1_used,157.35,2팀,vigilante,키리코,0
[00:04:09] ,ability_2_used,157.40,2팀,HeeSang,트레이서,0
[00:04:10] ,ability_1_used,158.26,1팀,Someone,라마트라,0
[00:04:11] ,ability_1_used,158.85,2팀,MAX,라마트라,0
[00:04:11] ,ability_1_used,159.24,2팀,HeeSang,트레이서,0
[00:04:11] ,ability_1_used,159.45,1팀,CheckMate,트레이서,0
[00:04:11] ,ability_1_used,159.67,1팀,MER1T,소전,0
[00:04:12] ,ability_2_used,160.25,1팀,CheckMate,트레이서,0
[00:04:12] ,ability_1_used,160.45,1팀,ChiYo,브리기테,0
[00:04:12] ,ability_1_used,160.55,1팀,Fielder,키리코,0
[00:04:13] ,ability_2_used,161.58,1팀,Someone,라마트라,0
[00:04:13] ,ability_1_used,161.72,1팀,CheckMate,트레이서,0
[00:04:14] ,ability_2_used,162.73,2팀,vigilante,키리코,0
[00:04:16] ,ability_1_used,164.15,2팀,HeeSang,트레이서,0
[00:04:16] ,ultimate_start,164.30,2팀,CH0R0NG,루시우,0,1
[00:04:16] ,ability_1_used,164.36,2팀,vigilante,키리코,0
[00:04:17] ,ability_1_used,165.54,1팀,ChiYo,브리기테,0
[00:04:18] ,ultimate_start,166.22,2팀,STALK3R,소전,0,1
[00:04:18] ,ability_2_used,166.46,1팀,ChiYo,브리기테,0
[00:04:18] ,ability_1_used,166.59,2팀,HeeSang,트레이서,0
[00:04:18] ,ability_2_used,166.68,1팀,MER1T,소전,0
[00:04:19] ,ultimate_start,166.94,1팀,ChiYo,브리기테,0,1
[00:04:19] ,****,167.00,2팀,HeeSang,트레이서,1팀,Someone,라마트라,Primary Fire,0.93,0,0
[00:04:19] ,ability_1_used,167.29,1팀,CheckMate,트레이서,0
[00:04:19] ,defensive_assist,167.42,2팀,vigilante,키리코,0
[00:04:20] ,ability_1_used,168.11,2팀,STALK3R,소전,0
[00:04:20] ,ability_2_used,168.11,2팀,MAX,라마트라,0
[00:04:20] ,ability_1_used,168.15,1팀,Fielder,키리코,0
[00:04:20] ,ability_1_used,168.55,1팀,MER1T,소전,0
[00:04:21] ,ability_1_used,168.83,1팀,CheckMate,트레이서,0
[00:04:21] ,ability_2_used,169.27,1팀,ChiYo,브리기테,0
[00:04:21] ,ability_2_used,169.35,1팀,Fielder,키리코,0
[00:04:21] ,ultimate_start,169.51,1팀,CheckMate,트레이서,0,1
[00:04:21] ,ultimate_end,169.71,1팀,CheckMate,트레이서,0,1
[00:04:22] ,ability_1_used,169.85,1팀,CheckMate,트레이서,0
[00:04:22] ,point_progress,170.23,1,2팀,0,33.46
[00:04:22] ,****,170.65,1팀,CheckMate,트레이서,2팀,STALK3R,소전,Ultimate,55,0,0
[00:04:22] ,ultimate_end,170.65,2팀,STALK3R,소전,0,1
[00:04:23] ,ultimate_end,171.07,2팀,CH0R0NG,루시우,0,1
[00:04:23] ,ability_1_used,171.10,2팀,HeeSang,트레이서,0
[00:04:23] ,ability_1_used,171.29,2팀,HeeSang,트레이서,0
[00:04:23] ,****,171.56,2팀,HeeSang,트레이서,1팀,MER1T,소전,Primary Fire,2,True,0
[00:04:23] ,offensive_assist,171.68,2팀,CH0R0NG,루시우,0
[00:04:23] ,defensive_assist,171.68,2팀,CH0R0NG,루시우,0
[00:04:23] ,ability_2_used,171.76,2팀,CH0R0NG,루시우,0
