[00:00:00] ,match_start,0,도라도,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,2팀,HeeSang,겐지,0,0
[00:00:12] ,hero_spawn,0,2팀,CH0R0NG,벤데타,0,0
[00:00:16] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:17] ,hero_spawn,0,2팀,MAX,둠피스트,0,0
[00:00:21] ,hero_spawn,0,2팀,vigilante,시온,0,0
[00:00:27] ,hero_spawn,0,2팀,STALK3R,파라,0,0
[00:00:43] ,hero_spawn,0,1팀,HanBin,시그마,0,0
[00:00:57] ,hero_swap,0,2팀,HeeSang,트레이서,겐지,0
[00:00:59] ,hero_spawn,0,1팀,Fielder,제트팩 캣,0,0
[00:01:01] ,hero_swap,0,1팀,Fielder,키리코,제트팩 캣,0
[00:01:01] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:01:11] ,hero_swap,0,1팀,HanBin,해저드,시그마,0
[00:01:15] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:46] ,hero_swap,0,1팀,HanBin,라마트라,해저드,0
[00:01:48] ,hero_swap,0,1팀,HanBin,시그마,라마트라,0
[00:01:48] ,hero_swap,0,1팀,HanBin,라마트라,시그마,0
[00:01:49] ,hero_swap,0,1팀,HanBin,시그마,라마트라,0
[00:01:50] ,hero_swap,0,1팀,HanBin,라마트라,시그마,0
[00:01:53] ,hero_swap,0,2팀,MAX,오리사,둠피스트,0
[00:02:05] ,hero_swap,0,1팀,HanBin,해저드,라마트라,0
[00:02:15] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,벤데타,0
[00:02:15] ,hero_swap,0,2팀,STALK3R,프레야,파라,0
[00:02:19] ,hero_swap,0,2팀,vigilante,아나,시온,0
[00:02:25] ,setup_complete,0,1,239.99
[00:02:25] ,ability_1_used,0.02,2팀,CH0R0NG,제트팩 캣,0
[00:02:25] ,ability_1_used,0.13,1팀,MER1T,프레야,0
[00:02:26] ,ability_1_used,0.91,1팀,MER1T,프레야,0
[00:02:26] ,ability_1_used,1.04,2팀,HeeSang,트레이서,0
[00:02:26] ,ability_2_used,1.10,2팀,MAX,오리사,0
[00:02:28] ,ability_2_used,2.61,2팀,STALK3R,프레야,0
[00:02:28] ,ability_1_used,3.17,2팀,STALK3R,프레야,0
[00:02:29] ,ability_1_used,3.58,2팀,STALK3R,프레야,0
[00:02:30] ,ability_1_used,4.29,1팀,HanBin,해저드,0
[00:02:30] ,ability_1_used,4.61,2팀,HeeSang,트레이서,0
[00:02:31] ,ability_1_used,5.76,1팀,MER1T,프레야,0
[00:02:32] ,ability_1_used,6.46,2팀,CH0R0NG,제트팩 캣,0
[00:02:33] ,ability_2_used,7.63,1팀,MER1T,프레야,0
[00:02:34] ,ability_1_used,8.93,2팀,HeeSang,트레이서,0
[00:02:34] ,ability_1_used,9.14,1팀,MER1T,프레야,0
[00:02:35] ,ability_1_used,9.31,2팀,HeeSang,트레이서,0
[00:02:35] ,ability_2_used,10.06,1팀,ChiYo,브리기테,0
[00:02:36] ,ability_1_used,10.29,2팀,CH0R0NG,제트팩 캣,0
[00:02:36] ,ability_2_used,10.61,1팀,HanBin,해저드,0
[00:02:37] ,ability_1_used,11.36,1팀,ChiYo,브리기테,0
[00:02:38] ,ability_1_used,12.48,2팀,STALK3R,프레야,0
[00:02:40] ,ability_2_used,14.32,2팀,STALK3R,프레야,0
[00:02:40] ,ability_1_used,14.70,1팀,MER1T,프레야,0
[00:02:40] ,ability_1_used,15.04,2팀,HeeSang,트레이서,0
[00:02:41] ,ability_2_used,15.49,1팀,ChiYo,브리기테,0
[00:02:41] ,ability_1_used,15.54,1팀,HanBin,해저드,0
[00:02:41] ,ability_1_used,15.71,1팀,SP1NT,트레이서,0
[00:02:41] ,ability_1_used,15.73,2팀,STALK3R,프레야,0
[00:02:42] ,ability_2_used,16.54,1팀,ChiYo,브리기테,0
[00:02:43] ,ability_1_used,17.70,1팀,ChiYo,브리기테,0
[00:02:44] ,ability_2_used,19.14,1팀,MER1T,프레야,0
[00:02:45] ,ability_1_used,19.34,1팀,SP1NT,트레이서,0
[00:02:45] ,ability_1_used,19.66,2팀,STALK3R,프레야,0
[00:02:46] ,ability_1_used,20.83,1팀,SP1NT,트레이서,0
[00:02:47] ,ability_2_used,22.22,1팀,ChiYo,브리기테,0
[00:02:48] ,ability_1_used,22.78,1팀,ChiYo,브리기테,0
[00:02:49] ,ability_1_used,23.41,1팀,MER1T,프레야,0
[00:02:49] ,ability_1_used,23.57,2팀,HeeSang,트레이서,0
[00:02:49] ,ability_1_used,24.08,2팀,HeeSang,트레이서,0
[00:02:49] ,ability_2_used,24.13,2팀,CH0R0NG,제트팩 캣,0
[00:02:49] ,ability_1_used,24.27,2팀,STALK3R,프레야,0
[00:02:50] ,ability_2_used,24.90,2팀,MAX,오리사,0
[00:02:51] ,ability_1_used,25.31,1팀,SP1NT,트레이서,0
[00:02:51] ,ability_2_used,25.62,1팀,HanBin,해저드,0
[00:02:52] ,hero_swap,26.45,2팀,STALK3R,시온,프레야,26.45
[00:02:52] ,ability_2_used,26.64,1팀,ChiYo,브리기테,0
[00:02:52] ,ability_1_used,26.72,1팀,MER1T,프레야,0
[00:02:52] ,ability_1_used,26.83,2팀,STALK3R,시온,0
[00:02:52] ,ability_1_used,27.04,2팀,HeeSang,트레이서,0
[00:02:53] ,ability_1_used,27.52,1팀,ChiYo,브리기테,0
[00:02:54] ,ability_1_used,29.04,2팀,HeeSang,트레이서,0
[00:02:55] ,ability_2_used,29.46,2팀,vigilante,아나,0
[00:02:55] ,ability_1_used,29.68,1팀,MER1T,프레야,0
[00:02:55] ,ability_2_used,29.84,2팀,HeeSang,트레이서,0
[00:02:56] ,ability_1_used,30.59,1팀,HanBin,해저드,0
[00:02:56] ,ability_1_used,30.70,1팀,SP1NT,트레이서,0
[00:02:57] ,ability_2_used,31.41,1팀,ChiYo,브리기테,0
[00:02:57] ,ability_2_used,31.66,2팀,STALK3R,시온,0
