[00:00:00] ,match_start,0,쓰레기촌,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:11] ,hero_spawn,0,1팀,sugarfree,트레이서,0,0
[00:00:18] ,hero_spawn,0,1팀,Admiral,브리기테,0,0
[00:00:19] ,hero_spawn,0,2팀,CheckMate,시메트라,0,0
[00:00:24] ,hero_spawn,0,2팀,ChiYo,미즈키,0,0
[00:00:24] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:26] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:28] ,hero_spawn,0,1팀,Lethal,소전,0,0
[00:00:28] ,hero_spawn,0,1팀,Hawk,시그마,0,0
[00:00:29] ,hero_spawn,0,1팀,UltraViolet,키리코,0,0
[00:00:31] ,hero_swap,0,1팀,Hawk,라마트라,시그마,0
[00:00:43] ,setup_complete,0,1,239.99
[00:00:44] ,hero_spawn,0.19,2팀,MER1T,위도우메이커,0,0.19
[00:00:44] ,ability_1_used,0.50,1팀,sugarfree,트레이서,0
[00:00:44] ,ability_1_used,0.86,2팀,MER1T,위도우메이커,0
[00:00:45] ,hero_swap,1.47,2팀,Fielder,아나,키리코,1.47
[00:00:46] ,ability_1_used,2.77,2팀,ChiYo,미즈키,0
[00:00:46] ,ability_2_used,2.80,2팀,MER1T,위도우메이커,0
[00:00:46] ,ability_1_used,2.86,1팀,sugarfree,트레이서,0
[00:00:48] ,ability_2_used,4.34,2팀,Someone,시그마,0
[00:00:49] ,ability_1_used,5.38,1팀,sugarfree,트레이서,0
[00:00:51] ,ability_2_used,7.92,2팀,Fielder,아나,0
[00:00:54] ,ability_1_used,10.21,1팀,sugarfree,트레이서,0
[00:00:54] ,hero_swap,10.98,2팀,Fielder,키리코,아나,9.50
[00:00:55] ,ability_1_used,11.46,2팀,Fielder,키리코,0
[00:00:58] ,ability_1_used,14.78,2팀,MER1T,위도우메이커,0
[00:01:00] ,payload_progress,17.09,1,2팀,0,10.02
[00:01:01] ,ability_1_used,17.92,1팀,sugarfree,트레이서,0
[00:01:03] ,ability_1_used,19.76,1팀,sugarfree,트레이서,0
[00:01:04] ,ability_2_used,20.74,1팀,Admiral,브리기테,0
[00:01:05] ,ability_1_used,21.79,1팀,sugarfree,트레이서,0
[00:01:05] ,hero_swap,22.11,2팀,MER1T,소전,위도우메이커,21.92
[00:01:07] ,ability_1_used,23.90,1팀,Admiral,브리기테,0
[00:01:07] ,ability_1_used,24.06,2팀,MER1T,소전,0
[00:01:10] ,ability_2_used,26.99,1팀,Admiral,브리기테,0
[00:01:10] ,ability_2_used,27.04,1팀,Hawk,라마트라,0
[00:01:10] ,ability_2_used,27.09,2팀,MER1T,소전,0
[00:01:11] ,ability_1_used,27.55,2팀,CheckMate,시메트라,0
[00:01:11] ,ability_1_used,27.63,1팀,sugarfree,트레이서,0
[00:01:12] ,ability_1_used,28.29,2팀,CheckMate,시메트라,0
[00:01:12] ,ability_1_used,28.58,1팀,UltraViolet,키리코,0
[00:01:12] ,ability_1_used,28.77,1팀,Admiral,브리기테,0
[00:01:12] ,ability_1_used,28.82,1팀,sugarfree,트레이서,0
[00:01:14] ,ability_2_used,30.21,1팀,Lethal,소전,0
[00:01:14] ,ability_2_used,30.62,1팀,Admiral,브리기테,0
[00:01:15] ,ability_1_used,31.79,2팀,ChiYo,미즈키,0
[00:01:16] ,ability_2_used,32.35,1팀,sugarfree,트레이서,0
[00:01:16] ,ability_1_used,32.56,1팀,Lethal,소전,0
[00:01:18] ,ability_1_used,34.43,1팀,sugarfree,트레이서,0
[00:01:18] ,ability_1_used,34.54,1팀,Admiral,브리기테,0
[00:01:19] ,ability_1_used,35.47,2팀,MER1T,소전,0
[00:01:19] ,ability_1_used,35.82,2팀,CheckMate,시메트라,0
[00:01:19] ,ability_1_used,36.06,1팀,sugarfree,트레이서,0
[00:01:20] ,ability_2_used,36.78,1팀,Admiral,브리기테,0
[00:01:21] ,ability_2_used,37.95,2팀,CheckMate,시메트라,0
[00:01:22] ,ability_1_used,38.90,1팀,Hawk,라마트라,0
[00:01:22] ,ability_1_used,39.17,2팀,Fielder,키리코,0
[00:01:23] ,ability_1_used,39.41,1팀,UltraViolet,키리코,0
[00:01:23] ,****,40.16,2팀,CheckMate,시메트라,1팀,Admiral,브리기테,Secondary Fire,60.50,0,0
[00:01:24] ,defensive_assist,40.43,2팀,Fielder,키리코,0
[00:01:24] ,defensive_assist,40.53,2팀,ChiYo,미즈키,0
[00:01:24] ,ability_1_used,40.66,1팀,sugarfree,트레이서,0
[00:01:25] ,ability_1_used,41.31,1팀,sugarfree,트레이서,0
[00:01:26] ,ability_2_used,42.81,1팀,Hawk,라마트라,0
[00:01:26] ,ability_1_used,43.13,1팀,sugarfree,트레이서,0
[00:01:27] ,****,43.97,2팀,CheckMate,시메트라,1팀,sugarfree,트레이서,Secondary Fire,3,0,0
[00:01:28] ,ability_1_used,44.21,2팀,ChiYo,미즈키,0
[00:01:28] ,defensive_assist,44.29,2팀,ChiYo,미즈키,0
[00:01:28] ,ability_1_used,44.62,2팀,MER1T,소전,0
[00:01:29] ,ability_1_used,45.29,1팀,Lethal,소전,0
[00:01:29] ,ability_2_used,45.53,1팀,UltraViolet,키리코,0
[00:01:29] ,payload_progress,45.61,1,2팀,0,20.01
[00:01:30] ,ability_2_used,46.19,1팀,Lethal,소전,0
[00:01:30] ,ability_1_used,46.70,2팀,CheckMate,시메트라,0
[00:01:30] ,ability_2_used,47.10,2팀,MER1T,소전,0
[00:01:31] ,ability_1_used,47.66,1팀,UltraViolet,키리코,0
[00:01:31] ,ability_2_used,48.01,2팀,ChiYo,미즈키,0
[00:01:34] ,****,50.48,2팀,MER1T,소전,1팀,Lethal,소전,Primary Fire,2.60,0,0
[00:01:35] ,****,51.87,2팀,MER1T,소전,1팀,UltraViolet,키리코,Secondary Fire,18,0,0
[00:01:36] ,ability_1_used,52.85,1팀,sugarfree,트레이서,0
[00:01:36] ,ability_1_used,52.93,2팀,Fielder,키리코,0
[00:01:37] ,ability_1_used,53.68,1팀,Hawk,라마트라,0
[00:01:37] ,ability_1_used,53.97,1팀,sugarfree,트레이서,0
[00:01:38] ,ability_2_used,54.35,2팀,Someone,시그마,0
[00:01:39] ,ability_2_used,55.76,1팀,Hawk,라마트라,0
[00:01:40] ,ability_1_used,56.56,2팀,ChiYo,미즈키,0
[00:01:40] ,ability_2_used,56.77,1팀,Admiral,브리기테,0
[00:01:41] ,ability_2_used,57.28,1팀,Admiral,브리기테,0
[00:01:41] ,ability_2_used,57.81,1팀,Admiral,브리기테,0
[00:01:42] ,ability_1_used,58.73,1팀,Admiral,브리기테,0
[00:01:43] ,ability_1_used,59.50,1팀,sugarfree,트레이서,0
[00:01:43] ,ability_1_used,59.97,1팀,sugarfree,트레이서,0
[00:01:44] ,payload_progress,60.75,1,2팀,0,30.02
[00:01:46] ,ability_2_used,62.99,1팀,Admiral,브리기테,0
[00:01:48] ,ability_1_used,64.17,1팀,Admiral,브리기테,0
[00:01:48] ,ability_1_used,64.32,1팀,sugarfree,트레이서,0
[00:01:48] ,objective_updated,64.32,1,0,1
[00:01:48] ,objective_captured,64.32,1,2팀,1,0,0,325.67
[00:01:48] ,ability_1_used,64.53,2팀,MER1T,소전,0
[00:01:48] ,ability_2_used,64.69,2팀,ChiYo,미즈키,0
[00:01:49] ,ability_1_used,65.21,1팀,UltraViolet,키리코,0
[00:01:49] ,ability_2_used,65.90,1팀,sugarfree,트레이서,0
[00:01:50] ,ability_2_used,66.37,2팀,Someone,시그마,0
[00:01:51] ,ability_1_used,67.23,1팀,sugarfree,트레이서,0
[00:01:51] ,ability_1_used,67.76,1팀,sugarfree,트레이서,0
[00:01:52] ,ability_1_used,68.61,1팀,sugarfree,트레이서,0
[00:01:54] ,ability_2_used,70.25,1팀,Hawk,라마트라,0
[00:01:54] ,ability_1_used,71.07,1팀,Lethal,소전,0
[00:01:57] ,ability_1_used,73.39,2팀,Fielder,키리코,0
[00:01:57] ,ability_1_used,73.95,1팀,Admiral,브리기테,0
[00:01:58] ,ability_1_used,74.56,2팀,MER1T,소전,0
[00:02:04] ,ability_2_used,80.86,1팀,Admiral,브리기테,0
[00:02:04] ,ability_1_used,81.05,1팀,sugarfree,트레이서,0
[00:02:04] ,ability_2_used,81.10,2팀,MER1T,소전,0
[00:02:05] ,ability_1_used,81.24,1팀,sugarfree,트레이서,0
[00:02:05] ,ability_2_used,82.09,2팀,CheckMate,시메트라,0
[00:02:07] ,ability_1_used,83.72,1팀,Admiral,브리기테,0
[00:02:07] ,ability_2_used,84.00,1팀,Hawk,라마트라,0
[00:02:08] ,ability_2_used,85.10,1팀,Lethal,소전,0
[00:02:09] ,ability_1_used,85.53,2팀,MER1T,소전,0
[00:02:09] ,ability_2_used,85.68,1팀,Admiral,브리기테,0
