[00:00:00] ,match_start,0,사모아,쟁탈,1팀,2팀
[00:00:01] ,round_start,0,1,0,0,0,0
[00:00:08] ,hero_spawn,0,1팀,kellex,루시우,0,0
[00:00:09] ,hero_spawn,0,1팀,FiNN,마우가,0,0
[00:00:16] ,hero_spawn,0,2팀,Someone,레킹볼,0,0
[00:00:19] ,hero_spawn,0,1팀,LBBD7,프레야,0,0
[00:00:19] ,hero_spawn,0,2팀,SP1NT,트레이서,0,0
[00:00:21] ,hero_spawn,0,2팀,ChiYo,제트팩 캣,0,0
[00:00:28] ,hero_swap,0,1팀,FiNN,키리코,마우가,0
[00:00:47] ,hero_swap,0,1팀,kellex,제트팩 캣,루시우,0
[00:00:52] ,hero_spawn,0,1팀,Risk,레킹볼,0,0
[00:00:55] ,hero_swap,0,2팀,ChiYo,시온,제트팩 캣,0
[00:00:57] ,hero_spawn,0,1팀,AlphaYi,시에라,0,0
[00:01:00] ,hero_swap,0,1팀,LBBD7,안란,프레야,0
[00:01:01] ,hero_swap,0,1팀,FiNN,주노,키리코,0
[00:01:05] ,hero_swap,0,1팀,AlphaYi,시메트라,시에라,0
[00:01:07] ,hero_swap,0,1팀,kellex,라이프위버,제트팩 캣,0
[00:01:10] ,hero_swap,0,2팀,SP1NT,D.Va,트레이서,0
[00:01:10] ,hero_spawn,0,2팀,MER1T,소전,0,0
[00:01:12] ,hero_swap,0,1팀,kellex,루시우,라이프위버,0
[00:01:12] ,hero_swap,0,2팀,Someone,라마트라,레킹볼,0
[00:01:13] ,hero_swap,0,2팀,ChiYo,미즈키,시온,0
[00:01:13] ,hero_swap,0,2팀,SP1NT,루시우,D.Va,0
[00:01:13] ,hero_swap,0,1팀,kellex,우양,루시우,0
[00:01:16] ,hero_swap,0,1팀,kellex,미즈키,우양,0
[00:01:17] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:01:19] ,hero_swap,0,1팀,kellex,일리아리,미즈키,0
[00:01:21] ,hero_swap,0,2팀,ChiYo,제트팩 캣,미즈키,0
[00:01:21] ,hero_swap,0,1팀,kellex,키리코,일리아리,0
[00:01:24] ,hero_swap,0,1팀,kellex,아나,키리코,0
[00:01:26] ,hero_swap,0,2팀,SP1NT,라이프위버,루시우,0
[00:01:28] ,hero_swap,0,1팀,kellex,루시우,아나,0
[00:01:30] ,hero_swap,0,1팀,Risk,마우가,레킹볼,0
[00:01:31] ,hero_swap,0,1팀,LBBD7,소전,안란,0
[00:01:34] ,hero_swap,0,2팀,SP1NT,시온,라이프위버,0
[00:01:45] ,hero_swap,0,2팀,SP1NT,시메트라,시온,0
[00:01:47] ,hero_swap,0,2팀,ChiYo,브리기테,제트팩 캣,0
[00:01:53] ,hero_swap,0,1팀,AlphaYi,벤데타,시메트라,0
[00:01:55] ,hero_swap,0,1팀,FiNN,젠야타,주노,0
[00:01:56] ,hero_swap,0,1팀,FiNN,주노,젠야타,0
[00:01:59] ,ability_1_used,0,1팀,kellex,루시우,0
[00:01:59] ,ability_2_used,0,1팀,FiNN,주노,0
[00:01:59] ,setup_complete,0,1,29.99
[00:01:59] ,ability_1_used,0.85,1팀,Risk,마우가,0
[00:02:00] ,ability_2_used,0.90,2팀,SP1NT,시메트라,0
[00:02:00] ,ability_1_used,0.93,1팀,AlphaYi,벤데타,0
[00:02:00] ,ability_1_used,1.89,1팀,LBBD7,소전,0
[00:02:01] ,ability_2_used,2.18,1팀,AlphaYi,벤데타,0
[00:02:01] ,ability_2_used,2.61,1팀,kellex,루시우,0
[00:02:02] ,hero_swap,3.28,2팀,SP1NT,트레이서,시메트라,3.28
