[00:00:00] ,match_start,0,네온 교차로,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,eisgnom,레킹볼,0,0
[00:00:10] ,hero_spawn,0,2팀,CheckMate,시메트라,0,0
[00:00:11] ,hero_spawn,0,1팀,Seicoe,안란,0,0
[00:00:16] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:24] ,hero_spawn,0,1팀,Landon,키리코,0,0
[00:00:28] ,hero_swap,0,1팀,Seicoe,시메트라,안란,0
[00:00:29] ,hero_swap,0,1팀,Landon,미즈키,키리코,0
[00:00:30] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:32] ,hero_spawn,0,2팀,MER1T,소전,0,0
[00:00:41] ,hero_spawn,0,1팀,kevster,프레야,0,0
[00:00:54] ,hero_spawn,0,1팀,FiXa,루시우,0,0
[00:01:01] ,hero_swap,0,1팀,Landon,키리코,미즈키,0
[00:01:06] ,hero_swap,0,1팀,eisgnom,시그마,레킹볼,0
[00:01:06] ,hero_spawn,0,2팀,ChiYo,미즈키,0,0
[00:01:15] ,hero_swap,0,2팀,ChiYo,일리아리,미즈키,0
[00:01:16] ,hero_swap,0,2팀,ChiYo,미즈키,일리아리,0
[00:01:18] ,hero_swap,0,2팀,ChiYo,제트팩 캣,미즈키,0
[00:01:21] ,hero_swap,0,2팀,ChiYo,미즈키,제트팩 캣,0
[00:01:36] ,hero_swap,0,2팀,MER1T,캐서디,소전,0
[00:01:39] ,hero_swap,0,2팀,ChiYo,제트팩 캣,미즈키,0
[00:01:42] ,hero_swap,0,2팀,ChiYo,미즈키,제트팩 캣,0
[00:02:07] ,hero_swap,0,1팀,FiXa,미즈키,루시우,0
[00:02:19] ,setup_complete,0,1,239.99
[00:02:19] ,ability_2_used,0.02,1팀,eisgnom,시그마,0
[00:02:20] ,hero_swap,0.06,2팀,Fielder,루시우,키리코,0.06
[00:02:20] ,ability_1_used,0.06,2팀,Fielder,루시우,0
[00:02:20] ,ability_2_used,0.21,2팀,Fielder,루시우,0
[00:02:20] ,ability_1_used,0.90,1팀,kevster,프레야,0
[00:02:21] ,ability_1_used,1.73,1팀,kevster,프레야,0
[00:02:22] ,hero_swap,2.18,2팀,Fielder,키리코,루시우,2.11
[00:02:23] ,ability_1_used,3.31,2팀,Fielder,키리코,0
[00:02:29] ,ability_2_used,9.73,1팀,kevster,프레야,0
[00:02:30] ,ability_1_used,10.27,2팀,CheckMate,시메트라,0
[00:02:30] ,ability_1_used,10.67,1팀,kevster,프레야,0
[00:02:31] ,ability_1_used,11.07,1팀,kevster,프레야,0
[00:02:31] ,ability_1_used,11.87,2팀,MER1T,캐서디,0
[00:02:31] ,ability_2_used,12.00,2팀,CheckMate,시메트라,0
[00:02:33] ,ability_1_used,13.52,1팀,FiXa,미즈키,0
[00:02:33] ,ability_1_used,13.60,2팀,ChiYo,미즈키,0
[00:02:34] ,ability_2_used,14.37,2팀,ChiYo,미즈키,0
[00:02:34] ,ability_1_used,14.53,1팀,Landon,키리코,0
[00:02:34] ,ability_2_used,14.93,2팀,Someone,시그마,0
[00:02:35] ,ability_1_used,15.94,1팀,kevster,프레야,0
[00:02:35] ,ability_1_used,15.98,1팀,eisgnom,시그마,0
[00:02:36] ,ability_2_used,16.26,1팀,Seicoe,시메트라,0
[00:02:36] ,ability_2_used,16.27,1팀,FiXa,미즈키,0
[00:02:37] ,ability_2_used,17.17,1팀,eisgnom,시그마,0
[00:02:37] ,ability_2_used,17.63,2팀,Fielder,키리코,0
[00:02:38] ,ability_1_used,18.24,2팀,Someone,시그마,0
[00:02:38] ,ability_1_used,18.29,2팀,MER1T,캐서디,0
[00:02:38] ,ability_2_used,18.82,2팀,MER1T,캐서디,0
[00:02:40] ,****,20.93,1팀,Seicoe,시메트라,2팀,MER1T,캐서디,Primary Fire,0.54,0,0
[00:02:42] ,ability_1_used,22.08,1팀,kevster,프레야,0
[00:02:42] ,ability_1_used,22.10,1팀,Landon,키리코,0
[00:02:42] ,ability_1_used,22.37,1팀,Seicoe,시메트라,0
[00:02:42] ,ability_2_used,22.54,1팀,Landon,키리코,0
[00:02:42] ,ability_2_used,22.75,1팀,kevster,프레야,0
[00:02:43] ,ability_1_used,24.03,2팀,CheckMate,시메트라,0
[00:02:44] ,ability_1_used,24.54,1팀,FiXa,미즈키,0
[00:02:46] ,ability_1_used,26.06,1팀,kevster,프레야,0
[00:02:47] ,****,27.26,1팀,Landon,키리코,2팀,Someone,시그마,0,76.46,True,0
[00:02:47] ,defensive_assist,27.38,1팀,FiXa,미즈키,0
[00:02:47] ,defensive_assist,27.42,1팀,Landon,키리코,0
[00:02:48] ,ability_1_used,28.10,2팀,ChiYo,미즈키,0
[00:02:48] ,ability_2_used,28.59,2팀,CheckMate,시메트라,0
[00:02:49] ,ability_2_used,29.55,1팀,FiXa,미즈키,0
[00:02:49] ,ability_1_used,29.82,1팀,kevster,프레야,0
[00:02:50] ,ability_2_used,30.13,1팀,Seicoe,시메트라,0
[00:02:50] ,ability_1_used,31.04,1팀,Seicoe,시메트라,0
[00:02:51] ,ability_2_used,31.66,2팀,ChiYo,미즈키,0
[00:02:51] ,ability_1_used,31.95,2팀,MER1T,캐서디,0
[00:02:52] ,ability_2_used,32.14,2팀,Fielder,키리코,0
[00:02:52] ,ability_2_used,32.16,1팀,eisgnom,시그마,0
[00:02:52] ,ability_1_used,32.74,2팀,Fielder,키리코,0
[00:02:53] ,ability_1_used,33.18,1팀,kevster,프레야,0
[00:02:55] ,ability_1_used,35.89,1팀,FiXa,미즈키,0
[00:02:56] ,ability_1_used,36.16,1팀,Seicoe,시메트라,0
[00:02:56] ,ability_2_used,36.86,1팀,kevster,프레야,0
[00:02:58] ,ability_1_used,38.22,1팀,kevster,프레야,0
[00:02:59] ,****,39.10,1팀,FiXa,미즈키,2팀,MER1T,캐서디,Primary Fire,0.82,0,0
[00:03:02] ,ability_1_used,42.14,1팀,Landon,키리코,0
[00:03:03] ,ability_2_used,43.94,1팀,eisgnom,시그마,0
[00:03:03] ,ability_1_used,44.03,2팀,Fielder,키리코,0
[00:03:04] ,ability_1_used,44.59,2팀,ChiYo,미즈키,0
[00:03:05] ,ability_1_used,45.22,2팀,Someone,시그마,0
[00:03:05] ,ability_1_used,45.52,1팀,kevster,프레야,0
[00:03:05] ,ability_2_used,45.79,1팀,FiXa,미즈키,0
[00:03:08] ,ability_2_used,48.70,1팀,kevster,프레야,0
[00:03:09] ,ability_1_used,49.37,1팀,Landon,키리코,0
[00:03:09] ,ability_1_used,49.77,1팀,kevster,프레야,0
[00:03:09] ,ability_1_used,50.03,2팀,MER1T,캐서디,0
[00:03:11] ,ability_1_used,52.00,1팀,Seicoe,시메트라,0
[00:03:13] ,ability_1_used,53.41,1팀,kevster,프레야,0
[00:03:13] ,ability_1_used,53.44,1팀,FiXa,미즈키,0
[00:03:16] ,ability_1_used,56.91,1팀,kevster,프레야,0
[00:03:18] ,ability_2_used,58.64,1팀,eisgnom,시그마,0
[00:03:19] ,ultimate_charged,59.13,1팀,kevster,프레야,0,1
[00:03:21] ,ability_1_used,61.29,1팀,Seicoe,시메트라,0
[00:03:22] ,ability_2_used,62.57,2팀,CheckMate,시메트라,0
[00:03:25] ,ability_2_used,65.15,1팀,kevster,프레야,0
[00:03:25] ,ability_1_used,65.53,1팀,FiXa,미즈키,0
[00:03:25] ,ability_1_used,65.74,2팀,MER1T,캐서디,0
[00:03:26] ,ability_1_used,66.45,1팀,kevster,프레야,0
[00:03:26] ,ability_1_used,66.62,1팀,Landon,키리코,0
[00:03:27] ,ultimate_charged,67.65,2팀,ChiYo,미즈키,0,1
[00:03:27] ,ability_2_used,67.77,1팀,Landon,키리코,0
[00:03:31] ,ultimate_charged,71.66,1팀,eisgnom,시그마,0,1
[00:03:31] ,ultimate_start,71.79,1팀,kevster,프레야,0,1
[00:03:32] ,ability_2_used,72.33,1팀,Seicoe,시메트라,0
[00:03:32] ,ultimate_end,72.43,1팀,kevster,프레야,0,1
[00:03:32] ,ability_1_used,72.69,1팀,kevster,프레야,0
[00:03:33] ,ability_1_used,73.12,1팀,kevster,프레야,0
[00:03:33] ,ability_1_used,73.15,2팀,Fielder,키리코,0
[00:03:33] ,ability_2_used,73.60,2팀,Fielder,키리코,0
[00:03:34] ,****,74.89,2팀,MER1T,캐서디,1팀,kevster,프레야,Primary Fire,61.09,True,0
[00:03:34] ,ability_1_used,74.99,2팀,MER1T,캐서디,0
[00:03:35] ,defensive_assist,75.31,2팀,ChiYo,미즈키,0
[00:03:35] ,defensive_assist,75.33,2팀,Fielder,키리코,0
[00:03:35] ,ability_2_used,75.36,1팀,eisgnom,시그마,0
[00:03:35] ,ability_1_used,75.84,2팀,ChiYo,미즈키,0
[00:03:36] ,ability_1_used,76.40,1팀,Seicoe,시메트라,0
[00:03:37] ,ultimate_start,77.12,1팀,eisgnom,시그마,0,1
[00:03:37] ,ability_1_used,77.23,1팀,FiXa,미즈키,0
[00:03:37] ,ability_1_used,77.49,2팀,CheckMate,시메트라,0
[00:03:37] ,ability_2_used,77.87,1팀,FiXa,미즈키,0
[00:03:38] ,ability_2_used,78.59,2팀,CheckMate,시메트라,0
[00:03:38] ,ultimate_start,78.86,2팀,ChiYo,미즈키,0,1
[00:03:39] ,ability_2_used,79.64,2팀,ChiYo,미즈키,0
[00:03:40] ,****,80.54,2팀,CheckMate,시메트라,1팀,FiXa,미즈키,Secondary Fire,55.05,0,0
[00:03:40] ,defensive_assist,80.94,2팀,ChiYo,미즈키,0
[00:03:40] ,defensive_assist,80.97,2팀,Fielder,키리코,0
[00:03:40] ,ability_1_used,80.99,2팀,MER1T,캐서디,0
[00:03:41] ,ability_1_used,81.12,1팀,Landon,키리코,0
[00:03:41] ,ability_2_used,81.48,2팀,MER1T,캐서디,0
[00:03:44] ,ability_1_used,84.36,2팀,Fielder,키리코,0
[00:03:45] ,ultimate_end,85.36,2팀,ChiYo,미즈키,0,1
[00:03:45] ,ultimate_charged,85.45,2팀,Fielder,키리코,0,1
[00:03:45] ,ability_1_used,85.58,2팀,CheckMate,시메트라,0
[00:03:45] ,ability_2_used,85.66,2팀,Someone,시그마,0
[00:03:46] ,ultimate_end,86.06,1팀,eisgnom,시그마,0,1
[00:03:46] ,ability_2_used,86.16,1팀,Landon,키리코,0
[00:03:46] ,ability_1_used,86.43,2팀,MER1T,캐서디,0
[00:03:46] ,****,86.51,1팀,eisgnom,시그마,2팀,MER1T,캐서디,Primary Fire,25.42,0,0
[00:03:46] ,ability_2_used,86.84,1팀,eisgnom,시그마,0
[00:03:47] ,ability_1_used,87.39,1팀,FiXa,미즈키,0
[00:03:47] ,****,87.48,2팀,Someone,시그마,1팀,Seicoe,시메트라,Primary Fire,5.68,0,0
[00:03:47] ,defensive_assist,87.52,2팀,ChiYo,미즈키,0
[00:03:47] ,ability_1_used,87.68,1팀,kevster,프레야,0
[00:03:48] ,ability_1_used,88.25,2팀,ChiYo,미즈키,0
[00:03:48] ,ability_1_used,88.38,1팀,Landon,키리코,0
[00:03:49] ,ultimate_charged,89.61,1팀,Landon,키리코,0,1
[00:03:49] ,point_progress,89.61,1,2팀,0,33.37
[00:03:49] ,ultimate_start,89.96,1팀,Landon,키리코,0,1
[00:03:51] ,ability_1_used,91.20,1팀,kevster,프레야,0
[00:03:51] ,ability_2_used,91.39,2팀,Fielder,키리코,0
[00:03:52] ,ability_2_used,92.59,2팀,CheckMate,시메트라,0
[00:03:52] ,ability_1_used,92.88,1팀,kevster,프레야,0
[00:03:55] ,ability_2_used,96.01,1팀,Landon,키리코,0
[00:03:56] ,ability_2_used,96.94,2팀,ChiYo,미즈키,0
[00:03:57] ,ability_1_used,97.13,1팀,eisgnom,시그마,0
[00:03:57] ,ability_2_used,97.18,2팀,Someone,시그마,0
[00:03:57] ,ability_1_used,97.37,2팀,MER1T,캐서디,0
[00:03:57] ,****,97.98,2팀,Someone,시그마,1팀,eisgnom,시그마,Ability 2,4.18,0,0
[00:03:58] ,defensive_assist,98.33,2팀,Fielder,키리코,0
[00:03:58] ,defensive_assist,98.35,2팀,ChiYo,미즈키,0
[00:03:59] ,ability_1_used,99.05,2팀,Someone,시그마,0
[00:03:59] ,ability_1_used,99.45,1팀,kevster,프레야,0
[00:03:59] ,ultimate_end,99.95,1팀,Landon,키리코,0,1
[00:03:59] ,ability_2_used,99.98,1팀,FiXa,미즈키,0
[00:03:59] ,ultimate_charged,100.01,1팀,Seicoe,시메트라,0,1
[00:04:01] ,point_progress,101.44,1,2팀,0,66.66
[00:04:01] ,ability_1_used,101.48,1팀,FiXa,미즈키,0
[00:04:02] ,ability_1_used,102.33,2팀,CheckMate,시메트라,0
[00:04:02] ,ability_2_used,102.68,1팀,kevster,프레야,0
[00:04:03] ,ultimate_charged,103.72,2팀,Someone,시그마,0,1
[00:04:03] ,ability_1_used,103.87,2팀,MER1T,캐서디,0
[00:04:05] ,ability_1_used,105.61,1팀,Seicoe,시메트라,0
[00:04:06] ,ability_1_used,106.44,1팀,kevster,프레야,0
[00:04:08] ,objective_updated,108.15,1,0,1
[00:04:08] ,objective_captured,108.15,1,2팀,1,0,0,281.83
[00:04:09] ,ability_1_used,109.10,1팀,Landon,키리코,0
[00:04:10] ,ability_1_used,110.27,2팀,MER1T,캐서디,0
[00:04:10] ,ability_1_used,110.92,2팀,Fielder,키리코,0
