[00:00:00] ,match_start,0,샴발리 수도원,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,knife,시에라,0,0
[00:00:08] ,hero_spawn,0,1팀,shu,키리코,0,0
[00:00:12] ,hero_swap,0,1팀,knife,리퍼,시에라,0
[00:00:12] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:13] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:14] ,hero_spawn,0,1팀,Proper,파라,0,0
[00:00:15] ,hero_spawn,0,1팀,Bernar,마우가,0,0
[00:00:25] ,hero_spawn,0,2팀,CheckMate,솔저: 76,0,0
[00:00:32] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:34] ,hero_spawn,0,1팀,Viol2t,제트팩 캣,0,0
[00:00:40] ,hero_swap,0,1팀,shu,캐서디,키리코,0
[00:00:40] ,hero_spawn,0,2팀,MER1T,바스티온,0,0
[00:00:44] ,hero_swap,0,2팀,MER1T,한조,바스티온,0
[00:00:44] ,hero_swap,0,1팀,shu,바티스트,캐서디,0
[00:00:45] ,hero_swap,0,1팀,Bernar,라마트라,마우가,0
[00:00:46] ,hero_swap,0,1팀,Viol2t,미즈키,제트팩 캣,0
[00:00:50] ,hero_swap,0,1팀,Bernar,시그마,라마트라,0
[00:01:05] ,hero_swap,0,1팀,knife,소전,리퍼,0
[00:01:07] ,hero_swap,0,1팀,Proper,시에라,파라,0
[00:01:20] ,hero_swap,0,1팀,Proper,제트팩 캣,시에라,0
[00:01:27] ,hero_swap,0,1팀,knife,도미나,소전,0
[00:01:33] ,hero_swap,0,1팀,Proper,자리야,제트팩 캣,0
[00:01:57] ,hero_swap,0,2팀,CheckMate,시메트라,솔저: 76,0
[00:01:57] ,hero_swap,0,1팀,knife,소전,도미나,0
[00:02:03] ,hero_swap,0,1팀,Proper,파라,자리야,0
[00:02:06] ,setup_complete,0,1,239.99
[00:02:06] ,ability_1_used,0.02,2팀,ChiYo,루시우,0
[00:02:06] ,ability_2_used,0.02,2팀,ChiYo,루시우,0
[00:02:06] ,ability_2_used,0.02,1팀,Bernar,시그마,0
[00:02:07] ,hero_swap,0.24,2팀,ChiYo,브리기테,루시우,0.24
[00:02:07] ,ability_1_used,0.85,2팀,MER1T,한조,0
[00:02:08] ,ability_1_used,1.30,1팀,Proper,파라,0
[00:02:08] ,ability_1_used,2.10,2팀,Someone,시그마,0
[00:02:10] ,ability_2_used,3.92,2팀,MER1T,한조,0
[00:02:14] ,ability_1_used,7.28,1팀,Viol2t,미즈키,0
[00:02:14] ,hero_swap,7.78,2팀,MER1T,캐서디,한조,7.78
[00:02:20] ,ability_2_used,13.34,2팀,ChiYo,브리기테,0
[00:02:25] ,ability_2_used,18.22,2팀,Fielder,키리코,0
[00:02:25] ,ability_1_used,18.26,1팀,Proper,파라,0
[00:02:25] ,ability_1_used,18.45,1팀,Bernar,시그마,0
[00:02:26] ,ability_1_used,20.03,2팀,MER1T,캐서디,0
[00:02:28] ,hero_swap,21.60,2팀,Fielder,주노,키리코,21.60
[00:02:28] ,ability_1_used,22.10,2팀,Fielder,주노,0
[00:02:33] ,ability_1_used,26.91,2팀,ChiYo,브리기테,0
[00:02:36] ,ability_2_used,29.46,2팀,ChiYo,브리기테,0
[00:02:37] ,ability_2_used,30.37,1팀,Proper,파라,0
[00:02:38] ,ability_1_used,32.10,2팀,Fielder,주노,0
[00:02:39] ,ability_2_used,32.24,2팀,ChiYo,브리기테,0
[00:02:40] ,ability_2_used,34.06,2팀,CheckMate,시메트라,0
[00:02:43] ,ability_2_used,36.40,2팀,Fielder,주노,0
[00:02:43] ,ability_1_used,36.61,2팀,MER1T,캐서디,0
[00:02:44] ,ability_2_used,37.38,2팀,ChiYo,브리기테,0
[00:02:44] ,ability_1_used,37.78,2팀,CheckMate,시메트라,0
[00:02:45] ,ability_1_used,38.13,1팀,Proper,파라,0
[00:02:45] ,ability_2_used,38.26,1팀,knife,소전,0
[00:02:45] ,ability_2_used,38.56,2팀,Someone,시그마,0
[00:02:45] ,ability_2_used,38.85,1팀,Proper,파라,0
[00:02:46] ,ability_1_used,39.23,2팀,CheckMate,시메트라,0
[00:02:46] ,ability_1_used,39.54,1팀,shu,바티스트,0
[00:02:46] ,ability_1_used,39.92,2팀,CheckMate,시메트라,0
[00:02:47] ,ability_1_used,40.19,1팀,Viol2t,미즈키,0
[00:02:47] ,ability_1_used,40.48,2팀,Someone,시그마,0
[00:02:47] ,ability_2_used,40.56,1팀,Viol2t,미즈키,0
[00:02:47] ,ability_1_used,40.58,1팀,knife,소전,0
[00:02:47] ,ability_2_used,40.83,1팀,Bernar,시그마,0
[00:02:47] ,ability_2_used,40.96,2팀,ChiYo,브리기테,0
[00:02:47] ,****,41.09,1팀,Viol2t,미즈키,2팀,MER1T,캐서디,Primary Fire,1.70,0,0
[00:02:48] ,defensive_assist,41.41,1팀,shu,바티스트,0
[00:02:48] ,defensive_assist,41.44,1팀,Viol2t,미즈키,0
[00:02:49] ,ability_2_used,42.97,2팀,ChiYo,브리기테,0
[00:02:51] ,****,44.67,1팀,Viol2t,미즈키,2팀,CheckMate,시메트라,Melee,34.01,0,0
[00:02:51] ,defensive_assist,44.72,1팀,shu,바티스트,0
[00:02:51] ,defensive_assist,44.73,1팀,Viol2t,미즈키,0
[00:02:52] ,ability_2_used,45.68,1팀,shu,바티스트,0
[00:02:53] ,****,46.13,1팀,Bernar,시그마,2팀,Someone,시그마,Melee,27.08,0,0
[00:02:53] ,defensive_assist,46.59,1팀,shu,바티스트,0
[00:02:53] ,defensive_assist,46.61,1팀,Viol2t,미즈키,0
[00:02:54] ,****,47.97,1팀,Bernar,시그마,2팀,ChiYo,브리기테,Primary Fire,50.35,0,0
[00:02:54] ,defensive_assist,47.98,1팀,shu,바티스트,0
[00:02:54] ,defensive_assist,48.00,1팀,Viol2t,미즈키,0
[00:02:54] ,ability_1_used,48.08,2팀,Fielder,주노,0
[00:02:56] ,****,49.58,1팀,Proper,파라,2팀,Fielder,주노,Primary Fire,100.05,0,0
[00:02:56] ,defensive_assist,49.87,1팀,shu,바티스트,0
[00:02:56] ,defensive_assist,49.89,1팀,Viol2t,미즈키,0
[00:02:58] ,ability_1_used,51.49,1팀,knife,소전,0
[00:03:00] ,ability_1_used,53.45,1팀,Proper,파라,0
[00:03:00] ,ability_1_used,53.92,2팀,MER1T,캐서디,0
[00:03:07] ,ability_1_used,60.85,2팀,Fielder,주노,0
[00:03:09] ,ability_1_used,62.29,2팀,CheckMate,시메트라,0
[00:03:10] ,ability_1_used,63.85,1팀,Viol2t,미즈키,0
[00:03:11] ,ability_1_used,64.27,2팀,MER1T,캐서디,0
[00:03:12] ,ability_2_used,65.20,2팀,ChiYo,브리기테,0
[00:03:12] ,ability_2_used,65.93,2팀,Someone,시그마,0
[00:03:15] ,ability_2_used,68.80,2팀,ChiYo,브리기테,0
[00:03:17] ,ability_2_used,70.22,2팀,ChiYo,브리기테,0
[00:03:20] ,ability_1_used,73.58,1팀,knife,소전,0
[00:03:24] ,ability_2_used,77.44,1팀,Proper,파라,0
[00:03:24] ,ability_2_used,77.84,2팀,ChiYo,브리기테,0
[00:03:25] ,ability_1_used,78.32,1팀,Proper,파라,0
[00:03:25] ,ability_1_used,79.04,2팀,Someone,시그마,0
[00:03:29] ,ability_2_used,82.20,2팀,CheckMate,시메트라,0
[00:03:29] ,ability_2_used,82.84,2팀,ChiYo,브리기테,0
[00:03:30] ,ability_2_used,83.48,2팀,Fielder,주노,0
[00:03:31] ,ability_2_used,84.27,1팀,knife,소전,0
[00:03:31] ,ability_1_used,84.38,2팀,CheckMate,시메트라,0
[00:03:32] ,ability_2_used,85.53,2팀,ChiYo,브리기테,0
[00:03:32] ,ability_2_used,85.60,2팀,Someone,시그마,0
[00:03:33] ,ultimate_charged,87.00,1팀,Proper,파라,0,1
[00:03:33] ,ability_2_used,87.02,1팀,shu,바티스트,0
[00:03:34] ,ability_2_used,87.37,1팀,Viol2t,미즈키,0
