[00:00:00] ,match_start,0,아이헨발데,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:06] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:08] ,hero_spawn,0,1팀,shu,키리코,0,0
[00:00:09] ,hero_spawn,0,2팀,CheckMate,위도우메이커,0,0
[00:00:10] ,hero_spawn,0,1팀,Viol2t,미즈키,0,0
[00:00:11] ,hero_swap,0,2팀,Fielder,우양,키리코,0
[00:00:12] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:12] ,hero_spawn,0,1팀,Bernar,시그마,0,0
[00:00:13] ,hero_swap,0,1팀,Viol2t,루시우,미즈키,0
[00:00:15] ,hero_swap,0,1팀,Viol2t,제트팩 캣,루시우,0
[00:00:15] ,hero_spawn,0,2팀,MER1T,캐서디,0,0
[00:00:17] ,hero_spawn,0,2팀,ChiYo,바티스트,0,0
[00:00:20] ,hero_swap,0,1팀,shu,아나,키리코,0
[00:00:20] ,hero_swap,0,2팀,MER1T,시온,캐서디,0
[00:00:23] ,hero_swap,0,1팀,Bernar,라마트라,시그마,0
[00:00:24] ,hero_spawn,0,1팀,knife,소전,0,0
[00:00:31] ,hero_swap,0,2팀,Fielder,모이라,우양,0
[00:00:43] ,hero_swap,0,1팀,knife,벤처,소전,0
[00:00:43] ,hero_swap,0,1팀,knife,소전,벤처,0
[00:00:46] ,hero_swap,0,1팀,knife,캐서디,소전,0
[00:00:58] ,hero_swap,0,1팀,Viol2t,우양,제트팩 캣,0
[00:01:00] ,hero_swap,0,1팀,knife,소전,캐서디,0
[00:01:18] ,hero_swap,0,1팀,Viol2t,미즈키,우양,0
[00:01:19] ,hero_spawn,0,1팀,Proper,트레이서,0,0
[00:01:20] ,hero_swap,0,2팀,MER1T,트레이서,시온,0
[00:01:21] ,hero_swap,0,1팀,Viol2t,우양,미즈키,0
[00:01:27] ,hero_swap,0,2팀,Fielder,주노,모이라,0
[00:01:28] ,hero_swap,0,2팀,CheckMate,시메트라,위도우메이커,0
[00:01:29] ,hero_swap,0,2팀,ChiYo,루시우,바티스트,0
[00:01:32] ,hero_swap,0,2팀,Fielder,키리코,주노,0
[00:01:33] ,hero_swap,0,2팀,Fielder,주노,키리코,0
[00:01:34] ,hero_swap,0,1팀,Proper,에코,트레이서,0
[00:01:34] ,hero_swap,0,2팀,MER1T,바스티온,트레이서,0
[00:01:34] ,hero_swap,0,2팀,ChiYo,브리기테,루시우,0
[00:01:36] ,ability_2_used,0,2팀,Fielder,주노,0
[00:01:36] ,setup_complete,0,1,239.99
[00:01:36] ,ability_2_used,0.02,1팀,Bernar,라마트라,0
[00:01:36] ,ability_1_used,0.50,1팀,Proper,에코,0
[00:01:40] ,hero_swap,4.38,2팀,Fielder,키리코,주노,4.38
[00:01:41] ,ability_1_used,5.31,2팀,Fielder,키리코,0
[00:01:42] ,ability_1_used,6.46,2팀,Someone,시그마,0
[00:01:43] ,hero_swap,6.83,2팀,ChiYo,주노,브리기테,6.83
[00:01:44] ,ability_1_used,8.29,2팀,ChiYo,주노,0
[00:01:46] ,ability_1_used,10.10,1팀,Proper,에코,0
[00:01:47] ,ability_2_used,10.80,2팀,CheckMate,시메트라,0
[00:01:56] ,ability_1_used,19.79,1팀,Proper,에코,0
[00:01:58] ,ability_1_used,21.68,2팀,ChiYo,주노,0
[00:01:58] ,ability_2_used,21.79,2팀,CheckMate,시메트라,0
[00:01:58] ,ability_1_used,21.97,1팀,Bernar,라마트라,0
[00:01:59] ,ability_1_used,23.02,2팀,MER1T,바스티온,0
[00:01:59] ,ability_1_used,23.15,2팀,Someone,시그마,0
[00:01:59] ,ability_2_used,23.23,2팀,ChiYo,주노,0
[00:02:00] ,ability_2_used,23.58,1팀,Viol2t,우양,0
[00:02:00] ,ability_2_used,23.89,1팀,knife,소전,0
[00:02:00] ,ability_2_used,24.14,1팀,Bernar,라마트라,0
[00:02:00] ,ability_1_used,24.38,1팀,Viol2t,우양,0
[00:02:01] ,****,25.14,1팀,knife,소전,2팀,ChiYo,주노,Primary Fire,1,True,0
[00:02:01] ,defensive_assist,25.50,1팀,shu,아나,0
[00:02:02] ,ability_2_used,25.66,1팀,shu,아나,0
[00:02:02] ,ability_2_used,26.08,2팀,Someone,시그마,0
[00:02:03] ,ability_1_used,26.64,2팀,CheckMate,시메트라,0
[00:02:03] ,ability_2_used,27.23,2팀,Fielder,키리코,0
[00:02:04] ,ability_2_used,27.55,1팀,Proper,에코,0
[00:02:04] ,ability_1_used,28.27,2팀,CheckMate,시메트라,0
[00:02:04] ,****,28.42,1팀,Viol2t,우양,2팀,Someone,시그마,0,14.93,0,0
[00:02:05] ,defensive_assist,28.80,1팀,shu,아나,0
[00:02:05] ,ability_1_used,29.04,1팀,Proper,에코,0
[00:02:07] ,ability_1_used,31.02,1팀,knife,소전,0
[00:02:07] ,****,31.10,1팀,Proper,에코,2팀,MER1T,바스티온,Secondary Fire,18.03,0,0
[00:02:08] ,offensive_assist,31.60,1팀,shu,아나,0
[00:02:08] ,defensive_assist,31.60,1팀,shu,아나,0
[00:02:08] ,ability_1_used,32.35,2팀,Fielder,키리코,0
[00:02:10] ,****,33.60,1팀,Proper,에코,2팀,CheckMate,시메트라,Primary Fire,10.22,True,0
[00:02:10] ,offensive_assist,33.89,1팀,shu,아나,0
[00:02:10] ,defensive_assist,33.89,1팀,shu,아나,0
[00:02:10] ,****,34.35,1팀,Proper,에코,2팀,Fielder,키리코,Primary Fire,25.82,0,0
[00:02:10] ,defensive_assist,34.37,1팀,shu,아나,0
[00:02:14] ,ability_1_used,38.18,1팀,Proper,에코,0
[00:02:17] ,hero_swap,41.52,2팀,MER1T,캐서디,바스티온,41.52
[00:02:22] ,ability_1_used,46.19,2팀,Fielder,키리코,0
[00:02:23] ,ability_1_used,47.54,1팀,Proper,에코,0
[00:02:24] ,ability_2_used,48.08,1팀,knife,소전,0
[00:02:26] ,ability_1_used,50.24,2팀,MER1T,캐서디,0
[00:02:27] ,ability_2_used,51.37,1팀,Bernar,라마트라,0
[00:02:29] ,ability_1_used,53.18,1팀,knife,소전,0
[00:02:34] ,ability_1_used,58.21,2팀,MER1T,캐서디,0
[00:02:34] ,ability_1_used,58.38,2팀,Fielder,키리코,0
[00:02:36] ,ability_1_used,59.61,1팀,Proper,에코,0
[00:02:37] ,ability_2_used,61.34,2팀,CheckMate,시메트라,0
[00:02:37] ,ability_1_used,61.34,1팀,Bernar,라마트라,0
[00:02:37] ,ultimate_charged,61.36,1팀,Proper,에코,0,1
[00:02:38] ,****,62.49,1팀,Bernar,라마트라,2팀,MER1T,캐서디,Ability 1,38.40,0,0
[00:02:39] ,defensive_assist,62.56,1팀,shu,아나,0
[00:02:39] ,ability_2_used,62.65,2팀,ChiYo,주노,0
[00:02:39] ,ability_1_used,62.72,2팀,Someone,시그마,0
[00:02:39] ,ability_2_used,63.09,2팀,Fielder,키리코,0
[00:02:40] ,ability_2_used,63.73,1팀,Bernar,라마트라,0
[00:02:40] ,ability_2_used,63.77,2팀,Someone,시그마,0
[00:02:40] ,ability_2_used,63.98,1팀,knife,소전,0
[00:02:41] ,ability_1_used,64.88,2팀,ChiYo,주노,0
[00:02:41] ,ability_1_used,64.94,1팀,Viol2t,우양,0
[00:02:41] ,****,65.42,2팀,Fielder,키리코,1팀,knife,소전,0,92.47,True,0
[00:02:42] ,defensive_assist,65.87,2팀,Fielder,키리코,0
[00:02:42] ,ability_1_used,65.90,2팀,CheckMate,시메트라,0
[00:02:42] ,ability_2_used,66.06,1팀,shu,아나,0
[00:02:43] ,ability_1_used,67.05,2팀,CheckMate,시메트라,0
[00:02:43] ,ability_2_used,67.10,1팀,Proper,에코,0
[00:02:45] ,****,68.80,1팀,Viol2t,우양,2팀,Someone,시그마,0,45.59,0,0
[00:02:45] ,defensive_assist,69.12,1팀,shu,아나,0
[00:02:46] ,ability_1_used,69.61,2팀,CheckMate,시메트라,0
[00:02:49] ,****,72.86,1팀,Bernar,라마트라,2팀,Fielder,키리코,0,1.84,0,0
[00:02:50] ,ability_1_used,73.68,2팀,MER1T,캐서디,0
[00:02:50] ,ability_1_used,74.13,2팀,ChiYo,주노,0
[00:02:51] ,ability_1_used,74.99,1팀,Proper,에코,0
[00:02:51] ,ability_2_used,75.07,2팀,CheckMate,시메트라,0
[00:02:52] ,****,75.84,2팀,ChiYo,주노,2팀,ChiYo,주노,0,154.26,0,True
[00:02:52] ,ability_2_used,75.92,1팀,Bernar,라마트라,0
[00:02:53] ,ability_1_used,76.99,1팀,Viol2t,우양,0
[00:02:56] ,ability_1_used,79.60,1팀,knife,소전,0
[00:02:59] ,ability_1_used,82.73,2팀,Fielder,키리코,0
[00:03:02] ,ability_1_used,86.40,2팀,ChiYo,주노,0
[00:03:02] ,ability_1_used,86.48,1팀,Proper,에코,0
[00:03:04] ,ability_2_used,88.09,2팀,Fielder,키리코,0
[00:03:09] ,ability_1_used,92.86,2팀,Fielder,키리코,0
[00:03:14] ,ability_2_used,97.76,1팀,shu,아나,0
[00:03:14] ,ability_1_used,98.27,1팀,knife,소전,0
[00:03:14] ,ability_1_used,98.54,1팀,Proper,에코,0
[00:03:15] ,ability_2_used,98.88,1팀,Bernar,라마트라,0
[00:03:15] ,ability_1_used,99.34,1팀,shu,아나,0
[00:03:17] ,ability_1_used,100.62,2팀,ChiYo,주노,0
