[00:00:00] ,match_start,0,이스페란사,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:09] ,hero_spawn,0,1팀,Proper,바스티온,0,0
[00:00:10] ,hero_spawn,0,1팀,shu,키리코,0,0
[00:00:11] ,hero_swap,0,1팀,Proper,시온,바스티온,0
[00:00:13] ,hero_spawn,0,2팀,CheckMate,겐지,0,0
[00:00:14] ,hero_spawn,0,2팀,Someone,마우가,0,0
[00:00:17] ,hero_spawn,0,1팀,Bernar,마우가,0,0
[00:00:23] ,hero_spawn,0,1팀,knife,소전,0,0
[00:00:24] ,hero_spawn,0,1팀,Viol2t,브리기테,0,0
[00:00:34] ,hero_swap,0,2팀,CheckMate,트레이서,겐지,0
[00:00:35] ,hero_swap,0,1팀,Viol2t,루시우,브리기테,0
[00:00:44] ,hero_swap,0,1팀,Viol2t,제트팩 캣,루시우,0
[00:00:46] ,hero_swap,0,1팀,Viol2t,루시우,제트팩 캣,0
[00:00:48] ,hero_swap,0,2팀,CheckMate,리퍼,트레이서,0
[00:00:50] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:50] ,hero_spawn,0,2팀,MER1T,소전,0,0
[00:00:50] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:53] ,hero_swap,0,1팀,Bernar,라마트라,마우가,0
[00:01:06] ,hero_swap,0,1팀,Viol2t,미즈키,루시우,0
[00:01:23] ,hero_swap,0,1팀,Viol2t,루시우,미즈키,0
[00:01:31] ,hero_swap,0,1팀,Bernar,마우가,라마트라,0
[00:01:33] ,hero_swap,0,2팀,MER1T,시온,소전,0
[00:01:41] ,hero_swap,0,1팀,Proper,트레이서,시온,0
[00:01:44] ,hero_swap,0,2팀,MER1T,소전,시온,0
[00:01:51] ,hero_swap,0,1팀,Proper,시온,트레이서,0
[00:02:03] ,setup_complete,0,1,599.99
[00:02:03] ,ability_1_used,0.02,1팀,Viol2t,루시우,0
[00:02:03] ,ability_1_used,0.02,2팀,ChiYo,루시우,0
[00:02:04] ,ability_1_used,0.61,1팀,Bernar,마우가,0
[00:02:04] ,ability_2_used,0.78,1팀,Viol2t,루시우,0
[00:02:04] ,ability_1_used,1.34,2팀,MER1T,소전,0
[00:02:04] ,ability_1_used,1.34,1팀,knife,소전,0
[00:02:04] ,ability_2_used,1.44,2팀,CheckMate,리퍼,0
[00:02:04] ,ability_1_used,1.44,1팀,Proper,시온,0
[00:02:04] ,ability_1_used,1.47,2팀,Someone,마우가,0
[00:02:05] ,ability_2_used,1.89,1팀,Proper,시온,0
[00:02:05] ,ability_2_used,2,2팀,ChiYo,루시우,0
[00:02:06] ,ability_1_used,3.12,2팀,Fielder,키리코,0
[00:02:06] ,ability_1_used,3.23,2팀,CheckMate,리퍼,0
[00:02:07] ,ability_1_used,3.90,1팀,shu,키리코,0
[00:02:12] ,ability_1_used,8.66,1팀,Bernar,마우가,0
[00:02:12] ,ability_1_used,8.72,1팀,Proper,시온,0
[00:02:12] ,ability_1_used,9.28,2팀,Someone,마우가,0
[00:02:13] ,ability_1_used,9.82,1팀,knife,소전,0
[00:02:14] ,ability_1_used,11.44,2팀,Fielder,키리코,0
[00:02:15] ,ability_1_used,12.54,1팀,shu,키리코,0
[00:02:16] ,ability_2_used,13.42,1팀,knife,소전,0
[00:02:19] ,ability_1_used,15.89,2팀,ChiYo,루시우,0
[00:02:20] ,ability_1_used,17.42,1팀,knife,소전,0
[00:02:21] ,ability_1_used,17.58,2팀,ChiYo,루시우,0
[00:02:22] ,ability_1_used,19.12,2팀,ChiYo,루시우,0
[00:02:23] ,ability_1_used,20.35,1팀,Proper,시온,0
[00:02:24] ,ability_1_used,21.17,2팀,ChiYo,루시우,0
[00:02:30] ,ability_1_used,27.04,2팀,ChiYo,루시우,0
[00:02:31] ,ability_1_used,28.29,2팀,ChiYo,루시우,0
[00:02:35] ,ability_1_used,32.32,2팀,ChiYo,루시우,0
[00:02:36] ,ability_1_used,32.83,1팀,Proper,시온,0
[00:02:38] ,ability_2_used,35.17,2팀,MER1T,소전,0
[00:02:39] ,ability_1_used,36.34,2팀,ChiYo,루시우,0
[00:02:39] ,ability_1_used,36.35,2팀,MER1T,소전,0
[00:02:40] ,ability_2_used,37.04,2팀,ChiYo,루시우,0
[00:02:40] ,ability_1_used,37.22,1팀,Viol2t,루시우,0
[00:02:41] ,ability_2_used,38.03,1팀,knife,소전,0
[00:02:42] ,ability_1_used,38.96,2팀,ChiYo,루시우,0
[00:02:43] ,ability_2_used,39.73,2팀,CheckMate,리퍼,0
[00:02:43] ,ability_2_used,39.92,1팀,Bernar,마우가,0
[00:02:43] ,ability_2_used,40.06,1팀,shu,키리코,0
[00:02:43] ,ability_2_used,40.46,1팀,Viol2t,루시우,0
[00:02:44] ,ability_2_used,41.41,2팀,Someone,마우가,0
[00:02:44] ,ability_1_used,41.46,1팀,Viol2t,루시우,0
[00:02:45] ,ability_2_used,42.21,1팀,Proper,시온,0
[00:02:46] ,ability_2_used,43.01,2팀,Fielder,키리코,0
[00:02:46] ,ability_1_used,43.34,1팀,shu,키리코,0
[00:02:47] ,ability_1_used,43.63,2팀,Someone,마우가,0
[00:02:47] ,ability_1_used,43.84,1팀,knife,소전,0
[00:02:47] ,ability_1_used,44.53,2팀,ChiYo,루시우,0
[00:02:48] ,ability_1_used,45.42,1팀,Bernar,마우가,0
[00:02:49] ,ability_1_used,45.60,2팀,CheckMate,리퍼,0
[00:02:49] ,ability_1_used,45.65,2팀,ChiYo,루시우,0
[00:02:49] ,****,46.34,2팀,MER1T,소전,1팀,Proper,시온,Secondary Fire,61.15,0,0
[00:02:50] ,offensive_assist,46.61,2팀,Someone,마우가,0
[00:02:50] ,defensive_assist,46.67,2팀,Fielder,키리코,0
[00:02:50] ,ability_1_used,47.31,2팀,MER1T,소전,0
[00:02:51] ,ability_1_used,47.90,2팀,ChiYo,루시우,0
[00:02:52] ,****,48.59,2팀,CheckMate,리퍼,1팀,Bernar,마우가,Primary Fire,112.29,0,0
[00:02:52] ,offensive_assist,48.93,2팀,ChiYo,루시우,0
[00:02:52] ,defensive_assist,48.93,2팀,ChiYo,루시우,0
[00:02:52] ,offensive_assist,48.97,2팀,Someone,마우가,0
[00:02:52] ,defensive_assist,48.97,2팀,Someone,마우가,0
[00:02:52] ,ability_1_used,49.01,2팀,ChiYo,루시우,0
[00:02:52] ,defensive_assist,49.02,2팀,Fielder,키리코,0
[00:02:53] ,****,50.40,1팀,shu,키리코,2팀,MER1T,소전,0,52.43,0,0
[00:02:54] ,defensive_assist,50.78,1팀,shu,키리코,0
[00:02:54] ,defensive_assist,50.83,1팀,Viol2t,루시우,0
[00:02:54] ,ability_1_used,51.47,2팀,ChiYo,루시우,0
[00:02:55] ,****,51.92,1팀,shu,키리코,2팀,Fielder,키리코,0,52.84,0,0
[00:02:57] ,ability_1_used,53.66,1팀,shu,키리코,0
[00:02:57] ,****,53.84,1팀,knife,소전,2팀,Someone,마우가,Secondary Fire,17.17,0,0
[00:02:57] ,ability_1_used,54.00,1팀,knife,소전,0
[00:02:57] ,defensive_assist,54.06,1팀,shu,키리코,0
[00:02:57] ,offensive_assist,54.13,1팀,Bernar,마우가,0
[00:02:57] ,defensive_assist,54.13,1팀,Bernar,마우가,0
[00:02:58] ,ability_2_used,54.73,2팀,ChiYo,루시우,0
[00:02:59] ,ability_2_used,55.66,1팀,Viol2t,루시우,0
[00:02:59] ,ability_2_used,55.74,1팀,shu,키리코,0
[00:02:59] ,ability_2_used,56.06,1팀,knife,소전,0
[00:02:59] ,ability_1_used,56.35,2팀,CheckMate,리퍼,0
[00:03:01] ,****,58.46,1팀,knife,소전,2팀,ChiYo,루시우,Secondary Fire,59,0,0
[00:03:02] ,defensive_assist,58.77,1팀,shu,키리코,0
[00:03:02] ,ability_1_used,58.93,1팀,Bernar,마우가,0
[00:03:02] ,ability_1_used,59.09,1팀,Proper,시온,0
[00:03:02] ,ability_2_used,59.45,2팀,CheckMate,리퍼,0
[00:03:02] ,ability_2_used,59.49,1팀,Proper,시온,0
[00:03:05] ,****,62.09,1팀,shu,키리코,2팀,CheckMate,리퍼,0,20.10,0,0
[00:03:05] ,defensive_assist,62.13,1팀,Viol2t,루시우,0
[00:03:05] ,defensive_assist,62.53,1팀,shu,키리코,0
[00:03:07] ,ability_1_used,63.92,1팀,Viol2t,루시우,0
[00:03:08] ,ability_1_used,65.39,1팀,Proper,시온,0
[00:03:10] ,ability_1_used,66.69,1팀,Bernar,마우가,0
[00:03:10] ,ability_1_used,66.80,2팀,MER1T,소전,0
[00:03:13] ,ability_1_used,70.54,2팀,ChiYo,루시우,0
[00:03:14] ,ability_2_used,70.86,1팀,Viol2t,루시우,0
[00:03:14] ,ability_1_used,71.05,2팀,CheckMate,리퍼,0
[00:03:14] ,ability_2_used,71.05,2팀,ChiYo,루시우,0
[00:03:14] ,ability_1_used,71.39,1팀,Proper,시온,0
[00:03:17] ,ability_2_used,73.95,2팀,CheckMate,리퍼,0
[00:03:22] ,ability_1_used,79.10,2팀,ChiYo,루시우,0
[00:03:25] ,ability_1_used,82.19,2팀,Someone,마우가,0
[00:03:27] ,ability_1_used,84.09,2팀,ChiYo,루시우,0
[00:03:33] ,ability_1_used,90.08,2팀,ChiYo,루시우,0
[00:03:35] ,ability_2_used,92.06,2팀,CheckMate,리퍼,0
[00:03:36] ,ability_1_used,93.07,2팀,ChiYo,루시우,0
[00:03:36] ,ability_2_used,93.40,1팀,knife,소전,0
[00:03:37] ,ability_1_used,94.56,2팀,ChiYo,루시우,0
[00:03:48] ,ability_1_used,105.07,2팀,ChiYo,루시우,0
[00:03:49] ,ability_2_used,105.75,2팀,ChiYo,루시우,0
[00:03:49] ,ultimate_charged,106.14,2팀,Fielder,키리코,0,1
[00:03:50] ,ability_2_used,107.07,2팀,MER1T,소전,0
[00:03:53] ,ability_2_used,109.72,1팀,knife,소전,0
[00:03:54] ,ability_1_used,110.86,2팀,ChiYo,루시우,0
[00:03:54] ,ability_1_used,111.02,2팀,Someone,마우가,0
[00:03:56] ,ultimate_charged,113.00,1팀,Viol2t,루시우,0,1
[00:03:57] ,ability_2_used,114.07,1팀,Proper,시온,0
[00:03:58] ,ability_1_used,114.91,1팀,Viol2t,루시우,0
[00:03:58] ,ability_2_used,115.55,1팀,Viol2t,루시우,0
[00:03:58] ,ability_1_used,115.56,1팀,Bernar,마우가,0
[00:03:59] ,ability_1_used,115.63,1팀,knife,소전,0
[00:03:59] ,ability_1_used,115.79,2팀,MER1T,소전,0
[00:03:59] ,ultimate_start,116.07,1팀,Viol2t,루시우,0,1
[00:03:59] ,ultimate_start,116.31,2팀,Fielder,키리코,0,1
[00:03:59] ,ability_2_used,116.38,2팀,Someone,마우가,0
[00:04:00] ,ability_1_used,116.92,2팀,CheckMate,리퍼,0
[00:04:00] ,ability_2_used,117.42,2팀,Fielder,키리코,0
[00:04:01] ,ultimate_charged,117.72,2팀,ChiYo,루시우,0,1
[00:04:01] ,ultimate_charged,117.72,1팀,Bernar,마우가,0,1
[00:04:01] ,ability_2_used,117.82,1팀,Bernar,마우가,0
[00:04:01] ,ultimate_start,118.12,2팀,ChiYo,루시우,0,1
[00:04:01] ,ability_1_used,118.46,2팀,Someone,마우가,0
[00:04:01] ,ability_1_used,118.51,2팀,ChiYo,루시우,0
[00:04:01] ,ultimate_charged,118.54,1팀,knife,소전,0,1
[00:04:02] ,ultimate_start,119.56,1팀,Bernar,마우가,0,1
[00:04:03] ,ultimate_start,119.61,1팀,knife,소전,0,1
[00:04:04] ,ability_1_used,121.56,2팀,ChiYo,루시우,0
[00:04:05] ,ability_2_used,122.23,2팀,MER1T,소전,0
[00:04:05] ,ability_2_used,122.51,1팀,shu,키리코,0
[00:04:06] ,ultimate_end,122.86,1팀,Viol2t,루시우,0,1
[00:04:06] ,ability_1_used,123.05,2팀,ChiYo,루시우,0
[00:04:06] ,ultimate_end,123.08,1팀,Bernar,마우가,0,1
[00:04:07] ,ultimate_charged,123.61,1팀,shu,키리코,0,1
[00:04:07] ,ability_1_used,123.63,1팀,Bernar,마우가,0
[00:04:07] ,****,124.33,2팀,MER1T,소전,1팀,Bernar,마우가,Ability 2,0.48,0,0
[00:04:07] ,ability_1_used,124.43,2팀,MER1T,소전,0
[00:04:07] ,ability_1_used,124.52,2팀,CheckMate,리퍼,0
[00:04:08] ,offensive_assist,124.59,2팀,ChiYo,루시우,0
[00:04:08] ,defensive_assist,124.59,2팀,ChiYo,루시우,0
[00:04:08] ,offensive_assist,124.63,2팀,Fielder,키리코,0
[00:04:08] ,defensive_assist,124.63,2팀,Fielder,키리코,0
[00:04:08] ,offensive_assist,124.65,2팀,Someone,마우가,0
[00:04:08] ,defensive_assist,124.65,2팀,Someone,마우가,0
[00:04:08] ,ability_1_used,125.00,2팀,Someone,마우가,0
[00:04:08] ,ultimate_end,125.35,2팀,ChiYo,루시우,0,1
[00:04:08] ,ability_2_used,125.37,2팀,Fielder,키리코,0
[00:04:09] ,ultimate_charged,125.67,2팀,Someone,마우가,0,1
[00:04:09] ,ability_2_used,125.88,2팀,ChiYo,루시우,0
[00:04:09] ,ultimate_start,126.23,2팀,Someone,마우가,0,1
[00:04:10] ,ability_2_used,126.62,1팀,knife,소전,0
[00:04:10] ,ultimate_end,127.23,2팀,Fielder,키리코,0,1
[00:04:10] ,****,127.34,2팀,CheckMate,리퍼,1팀,Proper,시온,Primary Fire,6.13,True,0
[00:04:10] ,offensive_assist,127.40,2팀,ChiYo,루시우,0
[00:04:10] ,defensive_assist,127.40,2팀,ChiYo,루시우,0
[00:04:10] ,offensive_assist,127.45,2팀,Fielder,키리코,0
[00:04:10] ,defensive_assist,127.45,2팀,Fielder,키리코,0
[00:04:10] ,offensive_assist,127.47,2팀,Someone,마우가,0
[00:04:11] ,ultimate_end,128.35,1팀,knife,소전,0,1
[00:04:12] ,ability_1_used,128.57,2팀,ChiYo,루시우,0
[00:04:13] ,ultimate_end,129.87,2팀,Someone,마우가,0,1
[00:04:13] ,ability_1_used,130.14,1팀,Viol2t,루시우,0
[00:04:13] ,ability_1_used,130.52,2팀,Someone,마우가,0
[00:04:14] ,ability_2_used,131.05,1팀,Viol2t,루시우,0
[00:04:14] ,ability_1_used,131.47,1팀,Viol2t,루시우,0
[00:04:15] ,ability_1_used,131.74,1팀,knife,소전,0
[00:04:15] ,****,131.91,2팀,CheckMate,리퍼,1팀,Viol2t,루시우,Primary Fire,45.40,0,0
[00:04:15] ,offensive_assist,132.11,2팀,ChiYo,루시우,0
[00:04:15] ,defensive_assist,132.11,2팀,ChiYo,루시우,0
[00:04:15] ,offensive_assist,132.16,2팀,Fielder,키리코,0
[00:04:15] ,defensive_assist,132.16,2팀,Fielder,키리코,0
[00:04:15] ,****,132.27,2팀,ChiYo,루시우,1팀,shu,키리코,Melee,38.12,0,0
