[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,Proud,소전,0,0
[00:00:10] ,hero_spawn,0,1팀,skewed,도미나,0,0
[00:00:11] ,hero_spawn,0,1팀,Bliss,루시우,0,0
[00:00:11] ,hero_swap,0,1팀,skewed,키리코,도미나,0
[00:00:12] ,hero_spawn,0,1팀,ZEST,트레이서,0,0
[00:00:13] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:14] ,hero_spawn,0,2팀,CheckMate,벤데타,0,0
[00:00:21] ,hero_swap,0,1팀,Bliss,일리아리,루시우,0
[00:00:31] ,hero_swap,0,1팀,ZEST,시메트라,트레이서,0
[00:00:32] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:40] ,hero_spawn,0,1팀,Jasm1ne,로드호그,0,0
[00:00:42] ,hero_swap,0,1팀,Proud,바스티온,소전,0
[00:00:47] ,hero_spawn,0,2팀,Someone,라마트라,0,0
[00:00:51] ,hero_swap,0,1팀,Bliss,루시우,일리아리,0
[00:00:53] ,hero_swap,0,1팀,Jasm1ne,도미나,로드호그,0
[00:00:57] ,hero_spawn,0,2팀,MER1T,소전,0,0
[00:00:58] ,hero_swap,0,2팀,CheckMate,시메트라,벤데타,0
[00:01:09] ,hero_swap,0,2팀,Fielder,주노,키리코,0
[00:01:10] ,ability_1_used,0,2팀,ChiYo,루시우,0
[00:01:10] ,setup_complete,0,1,599.99
[00:01:10] ,ability_2_used,0.02,1팀,ZEST,시메트라,0
[00:01:10] ,ability_1_used,0.02,1팀,Bliss,루시우,0
[00:01:10] ,ability_2_used,0.14,2팀,Fielder,주노,0
[00:01:11] ,ability_2_used,1.86,2팀,CheckMate,시메트라,0
[00:01:12] ,hero_swap,2.61,2팀,Fielder,키리코,주노,2.61
[00:01:12] ,ability_2_used,2.67,2팀,ChiYo,루시우,0
[00:01:12] ,ability_2_used,2.77,1팀,Bliss,루시우,0
[00:01:14] ,ability_1_used,4.72,2팀,MER1T,소전,0
[00:01:15] ,ability_1_used,5.68,1팀,ZEST,시메트라,0
[00:01:16] ,ability_1_used,6.74,1팀,ZEST,시메트라,0
[00:01:16] ,ability_1_used,6.75,2팀,Fielder,키리코,0
[00:01:17] ,ability_1_used,7.44,1팀,ZEST,시메트라,0
[00:01:17] ,ability_1_used,7.44,2팀,CheckMate,시메트라,0
[00:01:19] ,ability_1_used,9.20,2팀,CheckMate,시메트라,0
[00:01:21] ,ability_2_used,11.84,1팀,Jasm1ne,도미나,0
[00:01:22] ,ability_1_used,12.58,2팀,ChiYo,루시우,0
[00:01:22] ,ability_1_used,12.85,1팀,Bliss,루시우,0
[00:01:24] ,ability_1_used,14.24,1팀,Bliss,루시우,0
[00:01:24] ,ability_1_used,14.93,2팀,ChiYo,루시우,0
[00:01:24] ,ability_2_used,14.98,1팀,ZEST,시메트라,0
[00:01:26] ,ability_2_used,16.30,2팀,MER1T,소전,0
[00:01:26] ,ability_1_used,16.70,1팀,Proud,바스티온,0
[00:01:26] ,ability_1_used,16.78,2팀,ChiYo,루시우,0
[00:01:27] ,ability_2_used,17.12,2팀,Someone,라마트라,0
[00:01:28] ,ability_2_used,18.29,2팀,ChiYo,루시우,0
[00:01:28] ,ability_1_used,18.30,2팀,MER1T,소전,0
[00:01:28] ,ability_1_used,18.40,2팀,Fielder,키리코,0
[00:01:29] ,ability_1_used,19.71,1팀,Bliss,루시우,0
[00:01:31] ,ability_1_used,21.26,1팀,Bliss,루시우,0
[00:01:33] ,ability_1_used,23.86,2팀,ChiYo,루시우,0
[00:01:34] ,ability_1_used,24.30,1팀,ZEST,시메트라,0
[00:01:34] ,ability_1_used,24.35,1팀,Bliss,루시우,0
[00:01:35] ,ability_2_used,25.09,1팀,Jasm1ne,도미나,0
[00:01:36] ,ability_2_used,26.26,2팀,CheckMate,시메트라,0
[00:01:36] ,ability_1_used,26.26,2팀,ChiYo,루시우,0
[00:01:36] ,ability_1_used,26.38,1팀,Bliss,루시우,0
[00:01:36] ,ability_1_used,26.72,2팀,Someone,라마트라,0
[00:01:37] ,ability_2_used,27.33,1팀,Bliss,루시우,0
[00:01:37] ,ability_2_used,27.68,2팀,Fielder,키리코,0
[00:01:37] ,ability_1_used,27.86,1팀,Bliss,루시우,0
[00:01:38] ,ability_1_used,28.58,1팀,Jasm1ne,도미나,0
[00:01:38] ,ability_2_used,28.75,1팀,ZEST,시메트라,0
[00:01:38] ,ability_2_used,28.80,1팀,skewed,키리코,0
[00:01:39] ,ability_2_used,29.17,2팀,Someone,라마트라,0
[00:01:39] ,ability_1_used,29.31,2팀,MER1T,소전,0
[00:01:43] ,ability_2_used,33.92,2팀,MER1T,소전,0
[00:01:44] ,ability_2_used,34.06,2팀,ChiYo,루시우,0
[00:01:44] ,****,34.06,2팀,CheckMate,시메트라,1팀,Proud,바스티온,Primary Fire,13.06,0,0
[00:01:44] ,defensive_assist,34.38,2팀,Fielder,키리코,0
