[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:07] ,hero_spawn,0,2팀,Proper,시메트라,0,0
[00:00:07] ,hero_spawn,0,2팀,Viol2t,주노,0,0
[00:00:07] ,hero_spawn,0,2팀,knife,트레이서,0,0
[00:00:08] ,hero_spawn,0,1팀,SP1NT,안란,0,0
[00:00:08] ,hero_spawn,0,2팀,shu,키리코,0,0
[00:00:09] ,hero_swap,0,2팀,knife,캐서디,트레이서,0
[00:00:10] ,hero_spawn,0,2팀,Mealgaru,도미나,0,0
[00:00:10] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:10] ,hero_swap,0,2팀,shu,미즈키,키리코,0
[00:00:13] ,hero_swap,0,1팀,SP1NT,시메트라,안란,0
[00:00:18] ,hero_spawn,0,1팀,MER1T,캐서디,0,0
[00:00:24] ,hero_swap,0,2팀,Viol2t,루시우,주노,0
[00:00:41] ,hero_swap,0,2팀,Mealgaru,D.Va,도미나,0
[00:00:43] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:48] ,hero_swap,0,2팀,Mealgaru,윈스턴,D.Va,0
[00:00:49] ,hero_swap,0,2팀,Mealgaru,도미나,윈스턴,0
[00:00:50] ,setup_complete,0,1,29.99
[00:00:50] ,hero_swap,0.11,2팀,Viol2t,주노,루시우,0.11
[00:00:53] ,hero_swap,2.80,1팀,SP1NT,안란,시메트라,2.80
[00:00:55] ,hero_swap,4.90,2팀,Viol2t,키리코,주노,4.78
[00:01:23] ,****,33.06,2팀,knife,캐서디,1팀,MER1T,캐서디,Primary Fire,17.20,True,0
[00:01:23] ,defensive_assist,33.39,2팀,Viol2t,키리코,0
[00:01:23] ,defensive_assist,33.46,2팀,shu,미즈키,0
[00:01:25] ,point_progress,35.04,1,2팀,0,33.38
[00:01:27] ,****,36.93,2팀,Viol2t,키리코,1팀,ChiYo,미즈키,0,80.83,True,0
[00:01:32] ,point_progress,41.82,1,2팀,0,33.40
[00:01:33] ,point_progress,43.38,1,2팀,0,66.60
[00:01:34] ,objective_captured,44.72,1,2팀,0,0,0.02,0
[00:01:48] ,hero_swap,57.79,1팀,Fielder,주노,키리코,57.79
[00:02:20] ,****,90.41,1팀,SP1NT,안란,2팀,Viol2t,키리코,Secondary Fire,1.13,0,0
[00:02:21] ,offensive_assist,90.76,1팀,HanBin,마우가,0
[00:02:21] ,defensive_assist,90.76,1팀,HanBin,마우가,0
[00:02:21] ,defensive_assist,90.81,1팀,ChiYo,미즈키,0
[00:02:21] ,****,91.50,2팀,knife,캐서디,1팀,SP1NT,안란,Primary Fire,30,0,0
[00:02:21] ,offensive_assist,91.68,2팀,Viol2t,키리코,0
[00:02:21] ,defensive_assist,91.68,2팀,Viol2t,키리코,0
[00:02:21] ,defensive_assist,91.71,2팀,shu,미즈키,0
[00:02:30] ,****,100.35,1팀,ChiYo,미즈키,2팀,Mealgaru,도미나,Melee,38.50,0,0
[00:02:30] ,defensive_assist,100.67,1팀,ChiYo,미즈키,0
[00:02:32] ,****,102.06,1팀,HanBin,마우가,2팀,knife,캐서디,0,0.10,0,0
[00:02:32] ,defensive_assist,102.08,1팀,ChiYo,미즈키,0
[00:02:34] ,point_progress,104.30,1,2팀,0,33.59
[00:02:35] ,****,104.88,1팀,ChiYo,미즈키,2팀,shu,미즈키,Primary Fire,18.70,0,0
[00:02:35] ,defensive_assist,104.89,1팀,ChiYo,미즈키,0
[00:02:35] ,offensive_assist,105.34,1팀,HanBin,마우가,0
[00:02:35] ,defensive_assist,105.34,1팀,HanBin,마우가,0
[00:02:36] ,point_progress,105.96,1,2팀,0,66.89
[00:02:37] ,point_progress,107.31,1,2팀,0,99.99
[00:02:37] ,objective_captured,107.32,1,1팀,0,0.02,89.44,0
[00:02:39] ,****,109.42,1팀,MER1T,캐서디,2팀,Proper,시메트라,Primary Fire,104,True,0
[00:02:39] ,defensive_assist,109.59,1팀,ChiYo,미즈키,0
[00:02:47] ,ultimate_charged,117.02,2팀,knife,캐서디,0,1
[00:02:47] ,ultimate_charged,117.55,2팀,Viol2t,키리코,0,1
[00:03:07] ,ultimate_charged,136.80,1팀,SP1NT,안란,0,1
[00:03:07] ,ultimate_start,137.49,1팀,SP1NT,안란,0,1
[00:03:08] ,ultimate_start,138.30,2팀,Viol2t,키리코,0,1
[00:03:09] ,ultimate_charged,138.78,1팀,MER1T,캐서디,0,1
[00:03:09] ,****,139.57,1팀,SP1NT,안란,2팀,Proper,시메트라,Ultimate,55,0,0
[00:03:09] ,offensive_assist,139.66,1팀,HanBin,마우가,0
[00:03:09] ,defensive_assist,139.69,1팀,ChiYo,미즈키,0
[00:03:10] ,ultimate_end,140.29,1팀,SP1NT,안란,0,1
[00:03:13] ,****,143.50,1팀,HanBin,마우가,2팀,shu,미즈키,0,2.41,0,0
[00:03:14] ,defensive_assist,143.90,1팀,ChiYo,미즈키,0
[00:03:14] ,ultimate_charged,144.34,1팀,HanBin,마우가,0,1
[00:03:16] ,ultimate_charged,146.24,2팀,Mealgaru,도미나,0,1
[00:03:17] ,****,146.88,2팀,knife,캐서디,1팀,HanBin,마우가,Melee,18.95,0,0
[00:03:17] ,defensive_assist,147.15,2팀,shu,미즈키,0
[00:03:17] ,offensive_assist,147.17,2팀,Viol2t,키리코,0
[00:03:17] ,defensive_assist,147.17,2팀,Viol2t,키리코,0
[00:03:19] ,ultimate_charged,149.01,1팀,ChiYo,미즈키,0,1
[00:03:19] ,ultimate_end,149.51,2팀,Viol2t,키리코,0,1
[00:03:26] ,ultimate_start,155.86,1팀,ChiYo,미즈키,0,1
[00:03:28] ,ultimate_start,158.18,2팀,Mealgaru,도미나,0,1
[00:03:32] ,****,161.88,2팀,knife,캐서디,1팀,ChiYo,미즈키,Primary Fire,30.11,0,0
[00:03:32] ,****,162.14,1팀,SP1NT,안란,2팀,Mealgaru,도미나,0,6.49,0,0
[00:03:32] ,offensive_assist,162.20,2팀,Viol2t,키리코,0
[00:03:32] ,defensive_assist,162.20,2팀,Viol2t,키리코,0
[00:03:32] ,defensive_assist,162.25,1팀,ChiYo,미즈키,0
[00:03:32] ,ultimate_end,162.38,1팀,ChiYo,미즈키,0,1
[00:03:33] ,ultimate_end,163.22,2팀,Mealgaru,도미나,0,1
[00:03:34] ,****,164.63,1팀,MER1T,캐서디,2팀,Viol2t,키리코,Primary Fire,96.68,True,0
[00:03:36] ,ultimate_charged,166.63,2팀,shu,미즈키,0,1
[00:03:37] ,ultimate_charged,166.83,2팀,Proper,시메트라,0,1
[00:03:37] ,ultimate_start,167.58,2팀,shu,미즈키,0,1
[00:03:38] ,ultimate_charged,168.49,1팀,Fielder,주노,0,1
[00:03:39] ,ultimate_start,169.00,1팀,Fielder,주노,0,1
[00:03:42] ,ultimate_start,172.68,1팀,HanBin,마우가,0,1
[00:03:44] ,ultimate_end,174.09,2팀,shu,미즈키,0,1
[00:03:44] ,hero_swap,174.17,2팀,Mealgaru,마우가,도미나,174.17
[00:03:45] ,****,174.89,1팀,MER1T,캐서디,2팀,Proper,시메트라,Primary Fire,175.56,True,0
[00:03:46] ,****,175.85,1팀,SP1NT,안란,2팀,knife,캐서디,Secondary Fire,4.63,0,0
[00:03:46] ,offensive_assist,175.85,1팀,HanBin,마우가,0
[00:03:46] ,defensive_assist,175.85,1팀,HanBin,마우가,0
[00:03:46] ,defensive_assist,175.87,1팀,ChiYo,미즈키,0
[00:03:46] ,****,176.46,1팀,MER1T,캐서디,2팀,shu,미즈키,Primary Fire,19.92,0,0
[00:03:47] ,offensive_assist,176.80,1팀,HanBin,마우가,0
[00:03:47] ,ultimate_end,177.52,1팀,Fielder,주노,0,1
[00:03:48] ,ultimate_end,177.85,1팀,HanBin,마우가,0,1
[00:03:51] ,objective_updated,181.65,2,0,1
